,title,total,last,length
0,Demography of the United States,953590153,151325798,134746
1,United States,670988667,123202624,387435
2,New York,206642986,18976457,170158
3,History of California 1900 to present,193830522,33871648,152123
4,California,193795119,33871648,199941
5,Demographics of California,193795119,33871648,80267
6,Pennsylvania,148808540,12281054,152582
7,Hispanic and Latino Americans,147486919,35305818,229909
8,Texas,135011364,20851820,217370
9,Demographics of Texas,135011364,20851820,22037
10,Illinois,123198785,12419293,159555
11,Ohio,118248219,11353140,113431
12,New York City,91233214,8008278,330291
13,Michigan,86765395,9938444,148749
14,Florida,78761241,15982378,196295
15,New Jersey,72406054,8414350,192056
16,North Carolina,66705785,8049313,158049
17,History of North Carolina,66705785,8049313,91039
18,Northern California,66008709,11490926,67132
19,Long Island,65640303,7448618,102304
20,New York metropolitan area,64148700,21361797,213497
21,Georgia (U.S. state),64119168,8186453,120395
22,Virginia,62366338,7078515,197628
23,Indiana,61596501,6080485,140754
24,Missouri,60830392,5595211,122025
25,"Los Angeles County, California",59680992,9519338,110059
26,Demographics of Los Angeles County,59680992,9519338,107245
27,History of the Jews in the United States,54417375,5532000,127821
28,"Cook County, Illinois",53751426,5376741,63299
29,Tennessee,53379746,5689283,133508
30,Wisconsin,50744595,5363675,124956
31,New Jersey in the 20th century,48943521,7364823,21121
32,Kentucky,46942432,4041769,166017
33,Alabama,45275343,4447100,184790
34,San Francisco Bay Area,43514995,6783760,131724
35,Maryland,43214932,5296486,156174
36,Demographics of Minnesota,43155133,4919479,23889
37,Demographics of Louisiana,41121022,4468976,25025
38,Louisiana,41019429,4468976,153609
39,Demographics of South Carolina,37426715,4012012,26220
40,South Carolina,37426695,4012012,92718
41,Iowa,37377251,2926324,136772
42,Chicago,37326161,2896016,208509
43,Washington (state),37044254,5894121,155337
44,Mississippi,32085971,2844658,150735
45,Connecticut,32039671,3405565,183299
46,Oklahoma,29960704,3450654,190118
47,Demographics of Oklahoma,29960704,3450654,16676
48,Demographics of Metro Detroit,29870498,4752557,16565
49,Manhattan,28939074,1585873,255328
50,Kansas,28221814,2688418,119096
51,Arkansas,27491493,2673400,133319
52,Demographics of Arkansas,27491493,2673400,9356
53,Greater St. Louis,27407020,2730984,36314
54,Philadelphia,26085774,1526006,180130
55,Colorado,25920268,4301262,158825
56,"Philadelphia County, Pennsylvania",25262235,1517550,28410
