"Geography",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880
"Adak city",333,326,316,"-","-","-","-","-","-","-","-","-","-","-","-"
"Akhiok city",73,71,80,77,105,"-",84,72,"-","-","-",106,"-","-","-"
"Akiak city",363,346,309,285,198,"-",187,168,209,228,150,"-","-","-","-"
"Akutan city",1041,1027,713,589,169,"-",107,86,80,71,66,"-","-","-","-"
"Alakanuk city",726,677,652,544,522,414,278,140,61,"-","-","-","-","-","-"
"Aleknagik city",226,219,221,185,154,"-","-","-","-","-","-","-","-","-","-"
"Allakaket city",104,105,97,170,163,"-",115,79,105,"-","-","-","-","-","-"
"Ambler city",265,258,309,311,192,"-",70,"-","-","-","-","-","-","-","-"
"Anaktuvuk Pass city",337,324,282,259,203,99,35,66,"-","-","-","-","-","-","-"
"Anchorage municipality",301010,291826,260283,226338,1744431,48081,44237,11254,3495,2277,1856,"-","-","-","-"
"Anderson city",271,246,367,628,517,362,"-","-","-","-","-","-","-","-","-"
"Angoon city",446,459,572,638,465,400,395,429,342,319,114,"-","-","-","-"
"Aniak city",526,501,572,540,341,"-",308,142,122,"-","-","-","-","-","-"
"Anvik city",85,85,104,82,114,83,120,99,110,79,140,151,166,191,"-"
"Atka city",65,61,92,73,"-","-",119,85,89,103,56,"-","-","-","-"
"Atqasuk city",241,233,228,216,"-","-","-","-","-","-","-","-","-","-","-"
"Barrow city",4393,4212,4581,3469,2267,2104,1314,951,363,330,322,446,"-","-","-"
"Bethel city",6415,6080,5471,4674,3576,2416,1258,651,376,278,221,110,"-","-","-"
"Bettles city",12,12,43,36,"-","-",77,47,10,23,"-","-","-","-","-"
"Brevig Mission city",399,388,276,198,138,123,"-","-","-","-","-","-","-","-","-"
"Buckland city",428,416,406,318,177,104,87,108,115,104,52,"-","-","-","-"
"Chefornak city",439,418,394,320,230,"-",133,106,"-","-","-","-","-","-","-"
"Chevak city",1006,938,765,598,466,387,315,230,43,"-","-","-","-","-","-"
"Chignik city",91,91,79,188,"-","-",99,253,224,"-","-","-","-","-","-"
"Chuathbaluk city",124,118,119,97,105,"-","-","-","-","-","-","-","-","-","-"
"Clark's Point city",64,62,75,60,79,"-",138,128,22,25,"-","-","-","-","-"
"Coffman Cove city",182,178,199,186,"-","-","-","-","-","-","-","-","-","-","-"
"Cold Bay city",125,108,88,148,"-","-",86,"-","-","-","-","-","-","-","-"
"Cordova city",2226,2239,2454,2110,1879,1164,1128,1165,938,980,955,1152,"-","-","-"
"Craig city",1254,1201,1397,1260,527,272,273,374,505,231,212,"-","-","-","-"
"Deering city",125,122,136,157,150,"-",95,174,230,183,73,100,"-","-","-"
"Delta Junction city",943,958,840,652,945,703,"-","-","-","-","-","-","-","-","-"
"Dillingham city",2396,2329,2466,2017,1563,914,424,577,278,85,182,165,"-","-","-"
"Diomede city",118,115,146,178,139,"-",88,103,"-","-","-","-","-","-","-"
"Eagle city",85,86,129,168,110,36,92,55,73,54,98,178,383,"-","-"
"Eek city",311,296,280,254,228,"-",200,141,170,"-","-","-","-","-","-"
"Egegik city",109,109,116,122,75,148,150,119,125,86,83,"-","-","-","-"
"Ekwok city",119,115,130,77,77,"-","-","-","-","-","-","-","-","-","-"
"Elim city",339,330,313,264,211,"-","-","-","-",97,162,"-","-","-","-"
"Emmonak city",826,762,767,642,567,439,"-","-","-","-","-","-","-","-","-"
"Fairbanks city",32469,31535,30224,30843,22645,14771,13311,5771,3455,2101,1155,3541,"-","-","-"
"False Pass city",40,35,64,68,70,62,41,42,"-","-","-","-","-","-","-"
"Fort Yukon city",573,583,595,580,619,448,701,446,274,304,319,321,156,"-","-"
"Galena city",468,470,675,833,765,"-",261,176,44,67,"-","-","-","-","-"
"Gambell city",700,681,649,525,445,372,358,309,296,250,48,221,"-","-","-"
"Golovin city",160,156,144,127,87,"-","-","-","-",135,"-","-","-","-","-"
"Goodnews Bay city",255,243,230,241,168,"-","-","-","-","-","-","-","-","-","-"
"Grayling city",193,194,194,208,209,139,"-","-","-","-","-","-","-","-","-"
"Gustavus city",426,442,429,258,98,64,107,82,"-","-","-","-","-","-","-"
"Haines city",,,1811,1238,993,463,392,338,357,344,314,446,85,"-","-"
"Holy Cross city",177,178,227,277,241,199,256,157,226,337,"-","-","-","-","-"
"Homer city",5415,5020,3946,3660,2209,1083,1247,307,325,"-","-","-","-","-","-"
"Hoonah city",734,759,860,795,680,748,686,563,716,514,402,462,447,"-","-"
"Hooper Bay city",1173,1093,1014,845,627,490,460,307,299,209,"-","-","-","-","-"
