"Geography","County",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Adona","Perry County",205,209,187,146,230,204,154,194,218,200,241,0,0,0,0,0,0,0
"Alexander","Pulaski County",2864,2901,614,201,223,272,177,194,134,141,111,141,173,146,0,0,0,0
"Alicia","Lawrence County",120,124,145,157,246,246,236,299,333,342,297,168,150,0,0,0,0,0
"Allport","Lonoke County",114,115,127,188,295,307,0,0,0,0,0,0,0,0,0,0,0,0
"Alma","Crawford County",5560,5419,4160,2959,2755,1613,1370,1228,774,731,779,565,440,486,504,0,0,0
"Almyra","Arkansas County",276,283,319,311,294,220,240,235,233,287,323,252,0,0,0,0,0,0
"Alpena","Boone County",394,392,371,319,344,309,283,304,313,361,250,0,0,0,0,0,0,0
"Altheimer","Jefferson County",909,984,1192,972,1231,1037,979,680,494,475,450,0,0,0,0,0,0,0
"Altus","Franklin County",736,758,817,433,441,418,392,431,541,595,709,659,500,469,224,0,0,0
"Amagon","Jackson County",94,98,95,108,126,136,234,181,0,0,0,0,0,0,0,0,0,0
"Amity","Clark County",704,723,762,526,859,614,543,591,608,608,680,813,0,211,140,0,0,0
"Anthonyville","Crittenden County",154,161,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antoine","Pike County",114,117,156,160,194,182,163,209,233,210,0,0,0,0,0,0,0,0
"Arkadelphia","Clark County",10649,10714,10912,10014,10005,9841,8069,6819,5078,3380,3311,2745,2739,2455,1506,948,905,248
"Arkansas City","Desha County",336,366,589,523,668,615,783,1018,1446,1432,1482,1485,1091,0,503,0,0,0
"Ash Flat","Sharp County",1064,1082,977,667,524,211,192,265,315,0,0,0,0,0,0,0,0,0
"Ashdown","Little River County",4503,4723,4781,5150,4218,3522,2725,2738,2332,1607,2052,1247,400,0,0,0,0,0
"Atkins","Pope County",3049,3016,2878,2834,3002,2015,1391,1291,1322,1364,1529,1258,745,660,519,0,0,0
"Aubrey","Lee County",159,170,221,204,267,351,0,0,0,0,0,0,0,0,0,0,0,0
"Augusta","Woodruff County",2105,2199,2665,2759,3496,2777,2272,2317,2235,2243,1731,1520,1040,519,702,0,0,0
"Austin city (Austin Station)","Lonoke County",3091,2038,605,235,269,236,210,154,145,123,163,177,196,0,0,0,0,0
"Avoca","Benton County",509,488,423,269,256,173,0,0,0,0,0,0,0,0,0,0,0,0
"Bald Knob","White County",2892,2897,3210,2653,2756,2094,1705,2022,1445,1273,958,617,707,0,221,0,0,0
"Banks","Bradley County",121,124,120,88,216,189,233,240,248,199,347,244,0,0,0,0,0,0
"Barling","Sebastian County",4720,4649,4176,4078,3761,1739,770,0,0,0,0,0,0,0,0,0,0,0
"Bassett","Mississippi County",164,173,168,199,243,265,0,0,0,0,0,0,0,0,0,0,0,0
"Batesville","Independence County",10497,10248,9445,9187,8447,7209,6207,6414,5267,4484,4299,3399,2327,2150,1264,881,920,848
"Bauxite","Saline County",506,487,432,412,433,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay","Craighead County",1796,1801,1800,1660,1605,751,627,500,357,300,0,0,0,0,0,0,0,0
"Bearden","Ouachita County",916,966,1125,1021,1191,1272,1268,1300,961,1147,687,439,341,0,0,0,0,0
"Beaver","Carroll County",101,100,95,57,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"Beebe","White County",7971,7315,4930,4455,3599,2805,1697,1192,1189,1108,995,873,904,0,428,0,0,0
"Beedeville","Jackson County",103,107,105,141,183,144,0,0,0,0,0,0,0,0,0,0,0,0
"Bella Vista","Benton County",27688,26461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellefonte","Boone County",476,454,400,361,393,300,0,0,0,0,0,0,0,0,296,0,0,0
"Belleville","Yell County",437,441,371,390,571,379,273,372,411,401,410,335,552,247,0,0,0,0
"Ben Lomond","Sevier County",148,145,126,157,155,155,157,284,406,0,0,431,0,0,0,0,0,0
"Benton","Saline County",33625,30681,21906,18177,17717,16499,10399,6277,3502,3445,2933,1708,1025,647,452,0,0,0
"Bentonville","Benton County",41613,35301,19730,11257,8756,5508,3649,2942,2359,2203,2313,1956,1843,1677,696,0,0,0
"Bergman","Boone County",445,439,407,324,320,249,0,0,0,0,0,0,0,0,0,0,0,0
"Berryville","Carroll County",5375,5356,4433,3212,2966,2271,1999,1753,1482,1286,1474,785,551,549,253,0,0,0
"Bethel Heights","Benton County",2473,2372,714,281,296,284,0,0,0,0,0,0,0,0,0,0,0,0
"Big Flat","Baxter County",103,105,104,93,150,189,217,197,210,0,0,0,0,0,0,0,0,0
"Bigelow","Perry County",309,315,329,340,373,258,231,292,377,338,589,292,0,0,0,0,0,0
"Biggers","Randolph County",339,347,355,337,363,372,274,333,456,466,447,435,0,0,0,0,0,0
"Birdsong","Mississippi County",39,41,40,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Oak","Craighead County",261,262,286,277,309,272,220,261,329,302,0,0,0,0,0,0,0,0
"Black Rock","Lawrence County",635,662,717,736,848,498,554,662,769,751,835,1078,1400,761,0,0,0,0
"Black Springs","Montgomery County",97,99,114,97,92,72,0,0,97,0,0,0,0,0,67,0,0,0
"Blevins","Hempstead County",311,315,365,253,314,265,198,271,331,291,0,0,0,0,0,0,0,0
"Blue Eye","Carroll County",30,30,36,38,43,53,69,0,0,0,0,0,0,0,0,0,0,0
"Blue Mountain","Logan County",122,124,132,146,112,108,94,122,171,145,0,0,0,0,0,0,0,0
"Bluff City","Nevada County",121,124,158,227,292,244,0,0,0,0,0,0,0,0,0,0,0,0
"Blytheville","Mississippi County",14884,15620,18272,22906,23844,24752,20797,16234,10652,10098,6447,3849,302,0,0,0,0,0
"Bodcaw","Nevada County",134,138,154,161,197,158,0,0,0,0,0,0,0,0,0,0,0,0
"Bonanza","Sebastian County",550,575,514,520,553,342,247,361,486,406,516,811,906,0,0,0,0,0
"Bono","Craighead County",2159,2131,1512,1220,967,428,339,352,248,209,0,0,0,0,0,0,0,0
"Booneville","Logan County",3933,3990,4117,3804,3718,3239,2690,2433,2324,2099,2199,1631,988,496,275,0,0,0
"Bradford","White County",756,759,800,874,950,826,779,720,681,675,342,382,223,0,68,0,0,0
"Bradley","Lafayette County",577,628,563,585,790,706,712,444,409,363,290,123,0,0,0,0,0,0
"Branch","Franklin County",360,367,357,299,353,325,258,308,390,318,370,271,0,0,0,0,0,0
"Briarcliff","Baxter County",233,236,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brinkley","Monroe County",2960,3188,3940,4234,4909,5275,4636,4173,3409,3046,2714,1740,1648,1510,325,0,0,0
"Brookland","Craighead County",3111,1642,1332,919,840,465,301,334,276,270,326,0,0,0,0,0,0,0
"Bryant","Saline County",19625,16688,9764,5269,2682,1199,737,387,173,162,132,91,113,0,0,0,0,0
"Buckner","Lafayette County",256,275,396,325,436,392,289,335,450,264,360,240,400,312,0,0,0,0
"Bull Shoals","Marion County",1951,1950,2000,1534,1312,430,268,0,0,0,0,0,0,0,0,0,0,0
"Burdette","Mississippi County",181,191,129,148,328,173,115,122,110,155,100,0,0,0,0,0,0,0
"Cabot","Lonoke County",25627,23776,15261,8319,4806,2903,1321,1147,741,684,477,441,294,0,154,0,0,0
"Caddo Valley","Clark County",611,635,563,389,388,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldwell","St. Francis County",507,555,465,334,283,292,0,0,0,0,0,0,0,0,0,0,0,0
"Cale","Nevada County",77,79,75,70,110,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calico Rock","Izard County",1692,1545,991,938,1046,723,773,963,738,659,479,401,0,0,0,0,0,0
"Calion","Union County",470,494,516,558,638,535,544,536,712,924,0,0,0,0,0,0,0,0
"Camden","Ouachita County",11569,12183,13154,14380,15356,15147,15823,11372,8975,7273,3238,3995,2840,2571,1503,1612,2219,894
"Cammack Village","Pulaski County",754,768,831,828,920,1165,1355,987,0,0,0,0,0,0,0,0,0,0
"Campbell Station","Jackson County",246,255,228,247,297,218,140,0,0,0,0,0,0,0,0,0,0,0
"Caraway","Craighead County",1263,1279,1349,1178,1165,952,821,970,477,425,0,0,0,0,0,0,0,0
"Carlisle","Lonoke County",2202,2214,2304,2253,2567,2048,1514,1396,1080,907,602,516,212,185,159,0,0,0
"Carthage","Dallas County",328,343,442,452,568,566,528,533,687,558,532,386,0,0,0,0,0,0
"Casa","Perry County",168,171,209,200,179,208,184,184,245,269,300,310,0,0,0,0,0,0
"Cash","Craighead County",360,342,294,214,285,265,141,188,186,0,0,0,0,0,0,0,0,0
"Caulksville","Logan County",209,213,233,224,234,208,0,0,0,0,0,0,0,0,81,0,0,0
"Cave City","Split (Independence/Sharp)",1869,1904,1946,1503,1634,807,540,442,427,296,243,278,0,0,0,0,0,0
"Cave Springs","Benton County",2455,1729,1103,465,429,469,281,267,285,192,0,0,0,0,0,0,0,0
"Cedarville","Crawford County",1370,1394,1133,0,0,0,52,43,111,58,0,0,0,0,0,0,0,0
"Centerton","Benton County",11193,9515,2146,491,425,312,177,200,219,206,212,0,0,0,0,0,0,0
"Central City","Sebastian County",493,502,531,419,339,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charleston","Franklin County",2500,2494,2965,2128,1748,1497,1036,968,958,851,734,576,0,370,393,0,0,0
"Cherokee Village","Split (Fulton/Sharp)",4596,4671,4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cherry Valley","Cross County",616,651,704,659,729,556,455,521,0,0,0,0,0,0,0,0,0,0
"Chester","Crawford County",160,159,99,125,139,82,99,120,207,196,223,162,174,222,0,0,0,0
"Chidester","Ouachita County",276,287,335,489,342,232,348,425,508,399,280,211,0,0,0,0,0,0
"Clarendon","Monroe County",1542,1664,1960,2072,2361,2563,2293,2547,2551,2149,2638,2037,1840,1060,400,0,0,0
