"Place","County","State",2014,2010
"Apache Junction","Maricopa/Pinal County","Arizona",38131,35840
"Avondale","Maricopa County","Arizona",79646,76238
"Benson","Cochise County","Arizona",4927,5105
"Bisbee","Cochise County","Arizona",5308,5575
"Buckeye","Maricopa County","Arizona",59470,50876
"Bullhead City","Mohave County","Arizona",39364,39540
"Camp Verde","Yavapai County","Arizona",11097,10873
"Carefree","Maricopa County","Arizona",3526,3363
"Casa Grande","Pinal County","Arizona",51478,48571
"Cave Creek","Maricopa County","Arizona",5253,5015
"Chandler","Maricopa County","Arizona",254276,236123
"Chino Valley","Yavapai County","Arizona",11019,10817
"Clarkdale","Yavapai County","Arizona",4165,4097
"Clifton","Greenlee County","Arizona",3626,3311
"Colorado City","Mohave County","Arizona",4792,4821
"Coolidge","Pinal County","Arizona",12209,11825
"Cottonwood","Yavapai County","Arizona",11595,11265
"Dewey-Humboldt","Yavapai County","Arizona",3971,3894
"Douglas","Cochise County","Arizona",16744,17378
"Duncan","Greenlee County","Arizona",783,696
"Eagar","Apache County","Arizona",4913,4885
"El Mirage","Maricopa County","Arizona",33532,31797
"Eloy","Pinal County","Arizona",16738,16631
"Flagstaff","Coconino County","Arizona",68785,65870
"Florence","Pinal County","Arizona",26912,25536
"Fountain Hills","Maricopa County","Arizona",23573,22489
"Fredonia","Coconino County","Arizona",1317,1314
"Gila Bend","Maricopa County","Arizona",2001,1922
"Gilbert","Maricopa County","Arizona",239277,208453
"Glendale","Maricopa County","Arizona",237517,226721
"Globe","Gila County","Arizona",7375,7532
"Goodyear","Maricopa County","Arizona",75664,65275
"Guadalupe","Maricopa County","Arizona",6106,5523
"Hayden","Gila/Pinal County","Arizona",648,662
"Holbrook","Navajo County","Arizona",5016,5053
"Huachuca City","Cochise County","Arizona",1775,1853
"Jerome","Yavapai County","Arizona",451,444
"Kearny","Pinal County","Arizona",2017,1950
"Kingman","Mohave County","Arizona",28549,28068
"Lake Havasu City","Mohave County","Arizona",53103,52527
"Litchfield Park","Maricopa County","Arizona",5392,5476
"Mammoth","Pinal County","Arizona",1472,1426
"Marana","Pima County","Arizona",39888,34961
"Maricopa","Pinal County","Arizona",47442,43482
"Mesa","Maricopa County","Arizona",464704,439041
"Miami","Gila County","Arizona",1781,1837
"Nogales","Santa Cruz County","Arizona",20407,20837
"Oro Valley","Pima County","Arizona",42018,41011
"Page","Coconino County","Arizona",7440,7247
"Paradise Valley","Maricopa County","Arizona",13663,12820
"Parker","La Paz County","Arizona",3057,3083
"Patagonia","Santa Cruz County","Arizona",898,913
"Payson","Gila County","Arizona",15245,15301
"Peoria","Maricopa County","Arizona",166934,154065
"Phoenix","Maricopa County","Arizona",1537058,1445632
"Pima","Graham County","Arizona",2477,2387
"Pinetop-Lakeside","Navajo County","Arizona",4318,4282
"Prescott","Yavapai County","Arizona",40958,39843
"Prescott Valley","Yavapai County","Arizona",41075,38822
"Quartzsite","La Paz County","Arizona",3613,3677
"Queen Creek","Maricopa/Pinal County","Arizona",32236,26361
"Safford","Graham County","Arizona",9744,9566
"Sahuarita","Pima County","Arizona",27547,25259
"St. Johns","Apache County","Arizona",3497,3480
"San Luis","Yuma County","Arizona",31091,25505
"Scottsdale","Maricopa County","Arizona",230512,217385
"Sedona","Coconino/Yavapai County","Arizona",10281,10031
"Show Low","Navajo County","Arizona",10841,10660
"Sierra Vista","Cochise County","Arizona",43806,43888
"Snowflake","Navajo County","Arizona",5644,5590
"Somerton","Yuma County","Arizona",14912,14287
"South Tucson","Pima County","Arizona",5730,5652
"Springerville","Apache County","Arizona",1964,1961
"Star Valley","Gila County","Arizona",2276,2310
"Superior","Pinal County","Arizona",2916,2837
"Surprise","Maricopa County","Arizona",126275,117517
"Taylor","Navajo County","Arizona",4144,4112
"Tempe","Maricopa County","Arizona",172816,161719
"Thatcher","Graham County","Arizona",5023,4865
"Tolleson","Maricopa County","Arizona",6929,6545
"Tombstone","Cochise County","Arizona",1322,1380
"Tucson","Pima County","Arizona",527972,520116
"Tusayan","Coconino County","Arizona",576,558
"Wellton","Yuma County","Arizona",2956,2882
"Wickenburg","Maricopa/Yavapai County","Arizona",6685,6363
"Willcox","Cochise County","Arizona",3607,3757
"Williams","Coconino County","Arizona",3094,3023
"Winkelman","Gila/Pinal County","Arizona",346,353
"Winslow","Navajo County","Arizona",9604,9655
"Youngtown","Maricopa County","Arizona",6542,6156
"Yuma","Yuma County","Arizona",93400,93064
