"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Adelanto","San Bernardino County","California",32728,31765,18130,8517,2164,2115,0,0,0,0,0,0,0,0,0,0,0,0
"Agoura Hills","Los Angeles County","California",20843,20330,20537,20390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda","Alameda County","California",77660,73812,72259,76459,63852,70968,63855,64430,36256,35033,28806,23383,16464,11165,5708,1557,460,0
"Albany","Alameda County","California",19488,18539,16444,16327,15130,15561,14804,17590,11493,8569,2462,808,0,0,0,0,0,0
"Alhambra","Los Angeles County","California",85569,83089,85804,82106,64767,62125,54807,51359,38935,29472,9096,5021,0,0,0,0,0,0
"Aliso Viejo","Orange County","California",50231,47823,40166,7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alturas","Modoc County","California",2618,2827,2892,3231,3025,2799,2819,2819,2090,2338,979,916,0,0,148,0,0,0
"Amador City","Amador County","California",186,185,196,196,136,156,202,151,249,171,377,0,0,0,824,0,0,0
"American Canyon","Napa County","California",20470,19454,9774,7706,5712,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaheim","Orange County","California",346997,336265,328014,266406,219494,166408,104184,14556,11031,10995,5526,2628,1456,1273,833,881,0,0
"Anderson","Shasta County","California",10209,9932,9022,8299,7381,5492,4492,0,0,0,0,0,0,0,0,0,0,0
"Angels","Calaveras County","California",3756,3836,3004,2409,2302,1710,1121,1147,1163,915,941,0,0,0,330,0,0,0
"Antioch","Contra Costa County","California",108930,102372,90532,62195,42683,28060,17305,11051,5106,3563,1936,1124,674,635,626,0,0,0
"Apple Valley","San Bernardino County","California",71595,69135,54239,46079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcadia","Los Angeles County","California",58232,56364,53054,48290,45993,45138,41005,23066,9122,5216,2239,696,0,0,0,0,0,0
"Arcata","Humboldt County","California",17730,17231,16651,15197,12849,8985,5235,3729,1855,1709,1486,1121,952,962,0,0,0,0
"Arroyo Grande","San Luis Obispo County","California",17908,17252,15851,14378,11290,7454,3291,1723,1090,892,760,0,0,0,0,0,0,0
"Artesia","Los Angeles County","California",16895,16522,16380,15464,14301,14757,9993,0,0,0,0,0,0,0,0,0,0,0
"Arvin","Kern County","California",20583,19304,12956,9286,6863,5199,5310,5007,0,0,0,0,0,0,0,0,0,0
"Atascadero","San Luis Obispo County","California",29134,28310,26411,23138,16232,10293,5983,3443,0,0,0,0,0,0,0,0,0,0
"Atherton","San Mateo County","California",7147,6914,7194,7163,7797,8085,7717,3630,1908,1324,0,0,0,0,0,0,0,0
"Atwater","Merced County","California",29022,28168,23113,22282,17530,11640,7318,2856,1235,917,0,0,0,0,0,0,0,0
"Auburn","Placer County","California",13960,13330,12462,10592,7540,6570,5586,4653,5013,2661,2289,2376,2050,1595,1229,0,0,0
"Avalon","Los Angeles County","California",3802,3728,3127,2918,2022,1520,1536,1506,1637,1897,586,0,0,0,0,0,0,0
"Avenal","Kings County","California",13308,15505,14674,9770,4137,3035,3147,0,0,0,0,0,0,0,0,0,0,0
"Azusa","Los Angeles County","California",48799,46361,44712,41333,29380,25217,20497,11042,5209,4808,2460,1477,863,0,0,0,0,0
"Bakersfield","Kern County","California",368759,347483,247057,174820,105611,69515,56848,34784,29252,26015,18638,12727,4836,2626,801,0,0,0
"Baldwin Park","Los Angeles County","California",77119,75390,75837,69330,50554,47285,33951,0,0,0,0,0,0,0,0,0,0,0
"Banning","Riverside County","California",30769,29603,23562,20570,14020,12034,10250,7034,3874,2752,0,0,0,0,0,0,0,0
"Barstow","San Bernardino County","California",23498,22639,21119,21472,17690,17442,11644,6135,0,0,0,0,0,0,0,0,0,0
"Beaumont","Riverside County","California",42277,36877,11384,9685,6818,5484,4288,3152,2208,1332,857,0,0,0,0,0,0,0
"Bell","Los Angeles County","California",36217,35477,36664,34365,25450,21836,19450,15430,11264,7884,0,0,0,0,0,0,0,0
"Bell Gardens","Los Angeles County","California",43146,42072,44054,42355,34117,29308,26467,0,0,0,0,0,0,0,0,0,0,0
"Bellflower","Los Angeles County","California",78236,76616,72878,61815,53441,52334,45909,0,0,0,0,0,0,0,0,0,0,0
"Belmont","San Mateo County","California",27073,25835,25123,24127,24505,23538,15996,5567,1229,984,0,0,0,0,0,0,0,0
"Belvedere","Marin County","California",2129,2068,2125,2147,2401,2599,2148,800,457,500,616,481,434,0,0,0,0,0
"Benicia","Solano County","California",27930,26997,26865,24437,15376,7349,6070,7284,2419,2913,2693,2360,2751,2361,1794,0,0,0
"Berkeley","Alameda County","California",118853,112580,102743,102724,103328,114091,111268,113805,85547,82109,56036,40434,13214,5101,0,0,0,0
"Beverly Hills","Los Angeles County","California",34871,34109,33784,31971,32646,33416,30817,29032,26823,17429,674,0,0,0,0,0,0,0
"Big Bear Lake","San Bernardino County","California",5173,5019,5438,5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biggs","Butte County","California",1711,1707,1793,1581,1413,1115,831,784,547,463,683,403,0,0,0,0,0,0
"Bishop","Inyo County","California",3841,3879,3575,3475,3333,3498,2875,2891,1490,1159,1304,1199,0,0,0,0,0,0
"Blue Lake","Humboldt County","California",1243,1253,1135,1235,1201,1112,1234,824,503,555,441,507,0,0,0,0,0,0
