"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860
"Aguilar","Las Animas County","Colorado",479,538,593,520,624,699,777,1038,1397,1383,1236,858,698,0,0,0,0
"Akron","Washington County","Colorado",1694,1702,1711,1599,1716,1775,1890,1605,1417,1135,1401,647,351,559,0,0,0
"Alamosa","Alamosa County","Colorado",9531,8780,7960,7579,6830,6985,6205,5354,5613,5107,3171,3013,1141,973,802,0,0
"Alma","Park County","Colorado",275,270,179,148,132,73,107,149,469,110,127,301,297,367,446,0,0
"Antonito","Conejos County","Colorado",775,781,873,875,1103,1113,1045,1255,1220,858,946,681,347,315,0,0,0
"Arriba","Lincoln County","Colorado",194,193,244,220,236,254,296,367,286,337,334,0,0,0,0,0,0
"Arvada","Adams/Jefferson County","Colorado",113574,106433,102153,89235,84576,49844,19242,2359,1482,1276,915,840,0,0,0,0,0
"Aspen","Pitkin County","Colorado",6805,6658,5914,5049,3678,2437,1101,916,777,705,1265,1834,3303,5108,0,0,0
"Ault","Weld County","Colorado",1603,1519,1432,1107,1056,841,799,866,761,737,769,569,0,0,0,0,0
"Aurora","Adams/Arapahoe/Douglas County","Colorado",353108,325078,276393,222103,158588,74974,48548,11421,3437,2295,983,679,202,0,0,0,0
"Avon","Eagle County","Colorado",6447,6447,5561,1798,640,0,0,0,0,0,0,0,0,0,0,0,0
"Basalt","Eagle County","Colorado",3919,3857,2681,1128,529,419,213,173,212,148,185,235,382,0,0,0,0
"Bayfield","La Plata County","Colorado",2533,2333,1549,1090,724,320,322,335,372,277,267,227,0,0,0,0,0
"Bennett","Adams County","Colorado",2443,2308,2021,1757,942,613,287,272,199,211,0,0,0,0,0,0,0
"Berthoud","Larimer County","Colorado",5807,5105,4839,2990,2362,1446,1014,867,811,811,852,758,305,228,0,0,0
"Bethune","Kit Carson County","Colorado",240,237,225,173,149,99,70,71,79,97,0,0,0,0,0,0,0
"Black Hawk","Gilpin County","Colorado",126,118,118,227,232,217,171,166,289,253,253,668,1200,1067,1540,1068,0
"Blanca","Costilla County","Colorado",372,385,391,272,252,212,233,376,407,252,380,0,0,0,0,0,0
"Blue River","Summit County","Colorado",882,849,685,440,230,8,0,0,0,0,0,0,0,0,0,0,0
"Bonanza","Saguache County","Colorado",16,16,14,16,8,10,19,51,140,445,91,96,141,96,0,0,0
"Boone","Pueblo County","Colorado",342,339,323,341,431,448,548,0,0,0,0,0,0,0,0,0,0
"Boulder","Boulder County","Colorado",105112,97385,94673,83312,76685,66870,37718,19999,12958,11223,11006,9539,6150,3330,3069,343,0
"Bow Mar","Arapahoe/Jefferson County","Colorado",921,866,847,854,930,945,748,0,0,0,0,0,0,0,0,0,0
"Branson","Las Animas County","Colorado",67,74,77,58,73,70,124,157,250,237,0,0,0,0,0,0,0
"Breckenridge","Summit County","Colorado",4749,4540,2408,1285,818,548,393,296,381,436,796,834,976,0,1657,51,0
"Brighton","Adams County","Colorado",36765,33352,20905,14203,12773,8309,7055,4336,4029,3394,2715,850,366,306,0,0,0
"Brookside","Fremont County","Colorado",243,233,219,183,178,173,163,175,196,198,202,0,0,0,0,0,0
"Broomfield","Adams/Boulder/Jefferson/Weld County","Colorado",62138,55889,38272,24638,20730,7261,4535,0,0,0,0,0,0,0,0,0,0
"Brush","Morgan County","Colorado",5466,5463,5117,4165,4082,3377,3621,2431,2481,2312,2103,997,381,112,0,0,0
"Buena Vista","Chaffee County","Colorado",2734,2617,2195,1752,2075,1962,1806,783,779,751,903,1041,1006,0,2141,0,0
"Burlington","Kit Carson County","Colorado",4014,4254,3678,2941,3107,2828,2090,2247,1280,1280,991,368,183,146,0,0,0
"Calhan","El Paso County","Colorado",797,780,896,562,541,465,347,375,352,399,0,0,0,0,0,0,0
"Campo","Baca County","Colorado",105,109,150,121,185,206,235,266,0,0,0,0,0,0,0,0,0
"Canon City","Fremont County","Colorado",16337,16400,15431,12687,13037,9206,8973,6345,6690,5938,4551,5162,3775,2825,1501,229,0
"Carbondale","Garfield County","Colorado",6574,6427,5196,3004,2084,726,612,441,437,283,310,284,173,166,0,0,0
"Castle Pines","Douglas County","Colorado",10796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
