"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Ansonia","New Haven County","Connecticut",18959,19249,18554,18403,19039,21160,19819,18706,19210,19898,17643,15152,12681,10342,3855,2749,0,0,0,0,0,0,0,0
"Bantam","Litchfield County","Connecticut",740,759,802,757,860,881,833,940,564,545,608,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridgeport","Fairfield County","Connecticut",147612,144229,139529,141686,142546,156542,156748,158709,147121,146716,143555,102054,70996,48866,27643,18969,13299,7560,3294,0,0,1089,0,0
"Bristol","Hartford County","Connecticut",60570,60477,60062,60640,57370,55487,45499,35961,30167,28451,20620,9527,6268,0,0,0,0,0,0,0,0,0,0,0
"Danbury","Fairfield County","Connecticut",83784,80893,74848,65585,60470,50781,22928,22067,22339,22261,18943,20234,16537,16552,0,6542,0,0,0,0,0,0,0,0
"Danielson","Windham County","Connecticut",3999,4051,4265,4441,4553,4580,4642,4554,4507,4210,3130,2934,2823,0,0,0,0,0,0,0,0,0,0,0
"Derby","New Haven County","Connecticut",12768,12902,12391,12199,12346,12599,12132,10259,10287,10788,11238,8991,7930,4413,3026,2103,0,0,0,0,0,0,0,0
"Fenwick","Middlesex County","Connecticut",44,43,52,89,41,45,36,16,0,6,13,34,23,0,0,0,0,0,0,0,0,0,0,0
"Groton","New London County","Connecticut",40167,40115,39907,45144,41062,38244,29937,21896,10910,10722,9227,6495,5962,5539,5128,5124,4450,3833,2953,0,4664,0,0,0
"Groton Long Point","New London County","Connecticut",517,518,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hartford","Hartford County","Connecticut",124705,124775,121578,139739,136392,158017,162178,177397,166267,164072,138036,98915,79850,53230,42015,37180,29152,17966,9468,7074,4726,3955,0,0
"Jewett City","New London County","Connecticut",3468,3487,3053,3349,3294,3372,3608,3702,3682,4436,3196,3023,2224,1934,0,0,0,0,0,0,0,0,0,0
"Litchfield","Litchfield County","Connecticut",1225,1258,1328,1378,1489,1559,1363,1174,1234,1075,707,903,1120,1058,452,0,0,0,0,0,0,0,0,0
"Meriden","New Haven County","Connecticut",60293,60868,58244,59479,57118,55959,51850,44088,39494,38481,29867,27265,24296,21652,15540,8893,0,0,0,0,1309,0,0,0
"Middletown","Middlesex County","Connecticut",47043,47648,43167,42762,39040,36924,33250,29711,26495,24554,13638,11851,9589,9013,6826,6923,5182,4211,3511,0,2618,2014,0,0
"Milford","New Haven County","Connecticut",51857,51271,50594,48168,49101,50858,41662,26870,16439,12660,10193,4366,3783,3811,3347,3405,2828,2465,2435,2256,2785,2674,2417,2098
"Naugatuck","New Haven County","Connecticut",31659,31862,30989,30625,26456,23034,19511,17455,15388,14315,15051,12722,10541,0,0,0,0,0,0,0,0,0,0,0
"New Britain","Hartford County","Connecticut",72878,73206,71538,75491,73840,83441,82201,73726,68685,68128,59316,43916,25998,16519,11800,0,0,0,0,0,0,0,0,0
"New Haven","New Haven County","Connecticut",130282,129779,123626,130474,126089,137707,152048,164443,160605,162655,162537,133605,108027,81298,62882,50840,39267,20345,12960,10180,7147,5772,4049,4487
"New London","New London County","Connecticut",27374,27620,25671,28540,28842,31630,34182,30551,30456,29640,25688,19659,17548,13757,10537,9576,10115,8991,5519,4335,3330,3238,5150,0
"Newtown","Fairfield County","Connecticut",1969,1941,1843,1800,2022,1963,1261,782,603,482,426,434,254,0,263,0,0,0,0,0,0,0,0,0
"Norwalk","Fairfield County","Connecticut",88145,85603,82951,78331,77767,79288,67775,49460,39849,36019,27743,6954,6125,0,0,0,0,0,0,0,0,0,0,0
"Norwich","New London County","Connecticut",40178,40493,36117,37391,38074,41739,38506,23429,23652,23021,22304,20367,17251,16156,15112,16653,14048,6139,4200,3135,2983,2976,0,0
"Shelton","Fairfield County","Connecticut",41295,39559,38101,35418,31314,27165,18190,12694,10971,10113,9475,4807,2837,1952,1362,0,0,0,0,0,0,0,0,0
"Stamford","Fairfield County","Connecticut",128278,122643,117083,108056,102466,108798,92713,74293,47938,46346,35096,25138,15997,0,2540,0,0,0,0,0,0,0,0,0
"Stonington","New London County","Connecticut",917,929,1032,1100,1228,1413,1622,1739,1826,2006,2100,2083,2278,0,0,0,0,0,0,0,0,0,0,0
"Torrington","Litchfield County","Connecticut",35190,36383,35202,33687,30987,31952,30045,27820,26988,26040,20623,15483,8360,4283,0,0,0,0,0,0,0,0,0,0
"Waterbury","New Haven County","Connecticut",109307,110366,107271,108961,103266,108033,107130,104477,99314,99902,91715,73141,45859,28646,17806,10826,10004,0,0,0,0,0,0,0
"West Haven","New Haven County","Connecticut",54905,55564,52360,54021,53184,52851,43002,32010,30021,25808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Woodmont","New Haven County","Connecticut",1501,1488,1711,1770,1797,2114,0,0,748,531,220,194,0,0,0,0,0,0,0,0,0,0,0,0
