"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Andover","Tolland County","Connecticut",3272,3303,3036,2540,2144,2099,1771,1034,560,430,389,371,385,401,428,461,517,500,0,0,0,0,0,0
"Ansonia","New Haven County","Connecticut",18959,19249,18554,18403,19039,21160,19819,18706,19210,19898,17643,15152,12681,10342,3855,2749,0,0,0,0,0,0,0,0
"Ashford","Windham County","Connecticut",4259,4317,4098,3765,3221,2156,1315,845,704,726,673,668,757,778,1041,1241,1231,1295,0,0,2778,0,0,0
"Avon","Hartford County","Connecticut",18421,18098,15832,13937,11201,8352,5273,3171,2258,1738,1534,1337,1302,1182,1057,987,1059,995,0,0,0,0,0,0
"Barkhamsted","Litchfield County","Connecticut",3705,3799,3494,3369,2935,2066,1370,946,724,697,719,865,864,1130,1297,1439,1272,1524,0,0,1592,0,0,0
"Beacon Falls","New Haven County","Connecticut",6055,6049,5246,5083,3995,3546,2886,2067,1756,1693,1593,1160,623,505,379,0,0,0,0,0,0,0,0,0
"Berlin","Hartford County","Connecticut",20610,19866,18215,16787,15121,14149,11250,7470,5230,4875,4298,3728,3448,2600,2385,2436,2146,1869,3411,0,2877,0,0,0
"Bethany","New Haven County","Connecticut",5531,5563,5040,4608,4330,3857,2384,1318,706,480,411,495,517,550,637,1135,974,914,0,0,0,0,0,0
"Bethel","Fairfield County","Connecticut",19372,18584,18067,17541,16004,10945,8200,5104,4105,3886,3201,3792,3327,3401,2727,2311,1721,0,0,0,0,0,0,0
"Bethlehem","Litchfield County","Connecticut",3501,3607,3422,3071,2573,1923,1486,1015,715,644,536,550,576,543,655,750,815,0,0,0,932,0,0,0
"Bloomfield","Hartford County","Connecticut",20819,20486,19587,19483,18608,18301,13613,5746,4309,3247,2394,1821,1513,1308,1346,1473,1401,1412,0,0,0,0,0,0
"Bolton","Tolland County","Connecticut",4952,4980,5017,4575,3951,3691,2933,1279,728,504,448,433,457,452,512,576,683,600,0,0,731,0,0,0
"Bozrah","New London County","Connecticut",2622,2627,2357,2297,2135,2036,1590,1154,904,859,858,861,799,1005,1155,984,1216,867,0,0,1085,0,0,0
"Branford","New Haven County","Connecticut",28225,28026,28683,27603,23363,20444,16610,10944,8060,7022,6627,6047,5706,4460,3047,2488,2123,1423,0,0,1180,0,0,0
