,"County","State",2014,2010
,"Autauga County","Alabama",55395,54571
,"Baldwin County","Alabama",200111,182265
,"Barbour County","Alabama",26887,27457
,"Bibb County","Alabama",22506,22915
,"Blount County","Alabama",57719,57322
,"Bullock County","Alabama",10764,10914
,"Butler County","Alabama",20296,20947
,"Calhoun County","Alabama",115916,118572
,"Chambers County","Alabama",34076,34215
,"Cherokee County","Alabama",26037,25989
,"Chilton County","Alabama",43931,43643
,"Choctaw County","Alabama",13323,13859
,"Clarke County","Alabama",24945,25833
,"Clay County","Alabama",13552,13932
,"Cleburne County","Alabama",15080,14972
,"Coffee County","Alabama",50909,49948
,"Colbert County","Alabama",54543,54428
,"Conecuh County","Alabama",12670,13228
,"Coosa County","Alabama",10886,11539
,"Covington County","Alabama",37914,37765
,"Crenshaw County","Alabama",13977,13906
,"Cullman County","Alabama",81289,80406
,"Dale County","Alabama",49484,50251
,"Dallas County","Alabama",41711,43820
,"DeKalb County","Alabama",71065,71109
,"Elmore County","Alabama",80977,79303
,"Escambia County","Alabama",37733,38319
,"Etowah County","Alabama",103531,104430
,"Fayette County","Alabama",16874,17241
,"Franklin County","Alabama",31601,31704
,"Geneva County","Alabama",26712,26790
,"Greene County","Alabama",8553,9045
,"Hale County","Alabama",15184,15760
,"Henry County","Alabama",17190,17302
,"Houston County","Alabama",104193,101547
,"Jackson County","Alabama",52665,53227
,"Jefferson County","Alabama",660793,658466
,"Lamar County","Alabama",14086,14564
,"Lauderdale County","Alabama",93096,92709
,"Lawrence County","Alabama",33477,34339
,"Lee County","Alabama",154255,140247
,"Limestone County","Alabama",90787,82782
,"Lowndes County","Alabama",10580,11299
,"Macon County","Alabama",19425,21452
,"Madison County","Alabama",350299,334811
,"Marengo County","Alabama",20110,21027
,"Marion County","Alabama",30271,30776
,"Marshall County","Alabama",94636,93019
,"Mobile County","Alabama",415123,412992
,"Monroe County","Alabama",21947,23068
,"Montgomery County","Alabama",226189,229363
,"Morgan County","Alabama",119607,119490
,"Perry County","Alabama",9826,10591
,"Pickens County","Alabama",20365,19746
,"Pike County","Alabama",33389,32899
,"Randolph County","Alabama",22539,22913
,"Russell County","Alabama",59608,52947
,"St. Clair County","Alabama",86697,83593
,"Shelby County","Alabama",206655,195085
,"Sumter County","Alabama",13166,13763
,"Talladega County","Alabama",81322,82291
,"Tallapoosa County","Alabama",41165,41616
,"Tuscaloosa County","Alabama",202212,194656
,"Walker County","Alabama",65471,67023
,"Washington County","Alabama",16834,17581
,"Wilcox County","Alabama",11098,11670
,"Winston County","Alabama",24150,24484
,"Aleutians East Borough","Alaska",3360,3141
,"Aleutians West Census Area","Alaska",5750,5561
,"Anchorage Municipality","Alaska",301010,291826
,"Bethel Census Area","Alaska",17868,17013
,"Bristol Bay Borough","Alaska",957,997
,"Denali Borough","Alaska",1921,1826
,"Dillingham Census Area","Alaska",4988,4847
,"Fairbanks North Star Borough","Alaska",99357,97581
,"Haines Borough","Alaska",2566,2508
,"Hoonah-Angoon Census Area","Alaska",2082,2150
,"Juneau City and Borough","Alaska",32406,31275
,"Kenai Peninsula Borough","Alaska",57477,55400
,"Ketchikan Gateway Borough","Alaska",13787,13477
,"Kodiak Island Borough","Alaska",13986,13592
,"Lake and Peninsula Borough","Alaska",1631,1631
,"Matanuska-Susitna Borough","Alaska",97882,88995
,"Nome Census Area","Alaska",9817,9492
,"North Slope Borough","Alaska",9703,9430
,"Northwest Arctic Borough","Alaska",7717,7523
,"Petersburg Borough","Alaska",3160,3815
,"Prince of Wales-Hyder Census Area","Alaska",6396,5559
,"Sitka City and Borough","Alaska",8900,8881
,"Skagway Municipality","Alaska",1036,968
,"Southeast Fairbanks Census Area","Alaska",6931,7029
,"Valdez-Cordova Census Area","Alaska",9488,9636
,"Wade Hampton Census Area","Alaska",8010,7459
,"Wrangell City and Borough","Alaska",2364,2369
,"Yakutat City and Borough","Alaska",635,662
,"Yukon-Koyukuk Census Area","Alaska",5547,5588
,"Apache County","Arizona",71828,71518
,"Cochise County","Arizona",127448,131346
,"Coconino County","Arizona",137682,134421
,"Gila County","Arizona",53119,53597
,"Graham County","Arizona",37957,37220
,"Greenlee County","Arizona",9346,8437
,"La Paz County","Arizona",20231,20489
,"Maricopa County","Arizona",4087191,3817117
,"Mohave County","Arizona",203361,200186
,"Navajo County","Arizona",108101,107449
,"Pima County","Arizona",1004516,980263
,"Pinal County","Arizona",401918,375770
