"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830
"Alachua","Alachua County","Florida",9561,9059,6098,4529,3561,2252,1974,1116,1081,865,778,610,0,0,0,0,0,0,0,0
"Alford","Jackson County","Florida",469,489,466,472,548,402,380,375,283,221,207,0,0,0,0,0,0,0,0,0
"Altamonte Springs","Seminole County","Florida",42225,41496,41200,34879,21105,4391,1212,858,551,281,0,0,0,0,0,0,0,0,0,0
"Altha","Calhoun County","Florida",529,536,506,497,478,423,413,434,0,0,0,0,0,0,0,0,0,0,0,0
"Anna Maria","Manatee County","Florida",1626,1503,1814,1744,1537,1137,690,345,158,77,0,0,0,0,0,0,0,0,0,0
"Apalachicola","Franklin County","Florida",2276,2231,2334,2602,2565,3102,3099,3222,3268,3150,3066,3065,3077,2727,1336,1129,1904,0,0,0
"Apopka","Orange County","Florida",47084,41542,26642,13512,6019,4045,3578,2254,1312,1134,798,410,218,490,0,0,0,0,0,0
"Arcadia","DeSoto County","Florida",7722,7637,6604,6488,6002,5658,5889,4764,4055,4082,3479,1736,799,0,0,0,0,0,0,0
"Archer","Alachua County","Florida",1158,1118,1289,1372,1230,898,707,586,517,576,420,468,0,0,0,0,0,0,0,0
"Astatula","Lake County","Florida",1867,1810,1298,981,755,388,357,255,153,167,0,0,0,0,0,0,0,0,0,0
"Atlantic Beach","Duval County","Florida",13031,12655,13368,11636,7847,6132,3125,1604,468,164,0,0,0,0,0,0,0,0,0,0
"Atlantis","Palm Beach County","Florida",2083,2005,2005,1653,1325,425,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburndale","Polk County","Florida",14518,13507,11032,8858,6501,5386,5595,3763,2723,1849,715,0,0,0,0,0,0,0,0,0
"Aventura","Miami-Dade County","Florida",37451,35762,25267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avon Park","Highlands County","Florida",8879,8836,8542,8042,8026,6712,6073,4612,3125,3355,890,0,0,0,0,0,0,0,0,0
"Bal Harbour","Miami-Dade County","Florida",2633,2513,3305,3045,2973,2038,727,224,0,0,0,0,0,0,0,0,0,0,0,0
"Baldwin","Duval County","Florida",1440,1425,1634,1450,1526,1408,1272,1048,1002,749,470,0,0,0,0,0,0,0,0,0
"Bartow","Polk County","Florida",18420,17298,15340,14716,14780,12891,12849,8694,6158,5269,4203,2662,1983,1386,77,0,0,0,0,0
"Bascom","Jackson County","Florida",118,121,106,90,134,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
