"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800
"Abbeville","Wilcox","Georgia",2809,2908,2298,907,985,781,872,890,1010,1018,1119,1201,1152,657,61,0,0,0,0,0,0,0,0
"Acworth","Cobb","Georgia",21867,20425,13422,4519,3648,3929,2359,1466,1267,1163,1117,1043,937,815,633,0,0,0,0,0,0,0,0
"Adairsville","Bartow","Georgia",4738,4648,2542,2131,1739,1676,1026,916,827,765,814,751,616,531,391,603,333,0,0,0,0,0,0
"Adel","Cook","Georgia",5339,5334,5307,5093,5592,4972,4321,2776,2134,1796,1720,1902,721,527,0,0,0,0,0,0,0,0,0
"Adrian","Emanuel/Johnson","Georgia",651,664,579,615,756,705,568,503,580,685,740,816,833,0,0,0,0,0,0,0,0,0,0
"Ailey","Montgomery","Georgia",551,432,394,579,579,487,469,508,506,428,385,306,271,0,0,0,0,0,0,0,0,0,0
"Alamo","Wheeler","Georgia",3399,2797,1943,855,993,833,822,800,646,613,563,249,0,0,0,0,0,0,0,0,0,0,0
"Alapaha","Berrien","Georgia",647,668,682,812,771,633,631,505,494,270,503,532,429,449,157,0,0,0,0,0,0,0,0
"Albany","Dougherty","Georgia",75769,77434,76939,78122,74425,72623,55890,31155,19055,14507,11555,8190,4606,4008,3216,2101,1618,0,0,0,0,0,0
"Aldora","Lamar","Georgia",103,103,98,127,139,322,535,591,746,595,365,0,0,0,0,0,0,0,0,0,0,0,0
"Allenhurst","Liberty","Georgia",700,695,788,594,606,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allentown","Laurens/Twiggs/Wilkinson","Georgia",163,169,287,273,321,295,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alma","Bacon","Georgia",3518,3466,3236,3663,3819,3756,3515,2588,1840,1235,1061,458,0,0,0,0,0,0,0,0,0,0,0
"Alpharetta","Milton (Fulton)","Georgia",63038,57551,34854,13002,3128,2455,1349,917,647,477,379,356,310,256,164,126,201,0,0,0,0,0,0
"Alston","Montgomery","Georgia",159,159,159,160,111,104,154,147,213,199,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alto","Banks/Habersham","Georgia",1164,1172,876,651,618,372,275,302,217,219,168,109,74,0,0,0,0,0,0,0,0,0,0
"Ambrose","Coffee","Georgia",376,380,320,288,360,253,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Americus","Sumter","Georgia",16283,17041,17013,16512,16120,16091,13472,11389,9281,8760,9010,8063,7674,6398,3635,3259,0,0,0,0,0,0,0
"Andersonville","Sumter","Georgia",241,255,331,277,267,274,263,281,211,231,196,174,245,0,308,0,0,0,0,0,0,0,0
"Arabi","Crisp","Georgia",568,586,456,433,376,305,303,376,388,452,532,433,505,0,0,0,0,0,0,0,0,0,0
"Aragon","Polk","Georgia",1232,1249,1039,902,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcade","Jackson","Georgia",1782,1786,1643,697,223,229,108,114,98,94,108,0,0,0,0,0,0,0,0,0,0,0,0
"Argyle","Clinch","Georgia",213,212,151,206,206,206,225,244,278,311,332,180,0,0,0,0,0,0,0,0,0,0,0
"Arlington","Calhoun/Early","Georgia",1409,1479,1602,1513,1572,1698,1462,1382,1337,1232,1331,1308,755,417,250,0,0,0,0,0,0,0,0
"Arnoldsville","Oglethorpe","Georgia",349,357,312,275,187,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashburn","Turner","Georgia",3791,4152,4419,4827,4766,4209,3291,2918,2266,2073,2116,2214,1301,403,0,0,0,0,0,0,0,0,0
"Athens-Clarke County unified government (balance)","Clarke","Georgia",119648,115452,100266,45734,42549,44342,31355,28180,20650,18192,16748,14913,10245,8639,6099,4251,3848,1661,0,0,0,273,0
"Atlanta","Dekalb/Fulton","Georgia",456002,420003,416474,394017,425022,495039,487455,331314,302288,270366,200616,154839,89872,65533,37409,21789,9554,2572,0,0,0,0,0
"Attapulgus","Decatur","Georgia",438,449,492,380,623,513,567,457,315,416,0,0,0,0,255,267,0,0,0,0,0,0,0
"Auburn","Barrow","Georgia",7254,6887,6904,3139,692,361,374,301,286,230,290,217,161,0,0,0,0,0,0,0,0,0,0
"Augusta-Richmond County consolidated government (balance)","Richmond","Georgia",196741,195844,195182,44639,47532,59864,70626,71508,65919,60342,52548,41040,39441,33300,21891,15389,12493,9448,6403,0,0,2476,2215
"Austell","Cobb","Georgia",6985,6581,5359,4173,3939,2632,1867,1413,1229,963,758,755,648,582,0,0,0,0,0,0,0,0,0
"Avalon","Stephens","Georgia",204,213,278,159,200,204,194,151,113,59,100,60,0,0,0,0,0,0,0,0,0,0,0
"Avera","Jefferson","Georgia",237,246,217,215,248,217,197,230,298,258,258,228,0,0,0,0,0,0,0,0,0,0,0
"Avondale Estates","DeKalb","Georgia",2832,2960,2609,2209,1313,1735,1646,1070,569,535,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baconton","Mitchell","Georgia",879,915,804,623,763,710,564,500,504,498,568,391,0,0,0,0,0,0,0,0,0,0,0
"Bainbridge","Decatur","Georgia",12496,12697,11722,10712,10553,10887,12714,7562,6352,6141,4792,4217,2641,1668,1436,1351,1869,0,0,0,0,0,0
"Baldwin","Banks/Habersham","Georgia",3309,3279,2425,1439,1080,772,698,490,402,319,193,280,130,0,0,0,0,0,0,0,0,0,0
"Ball Ground","Cherokee","Georgia",1658,1433,730,905,640,617,707,700,711,706,809,443,302,296,0,0,0,0,0,0,0,0,0
"Barnesville","Lamar","Georgia",6670,6755,5972,4747,4887,4935,4919,4185,3535,3236,3059,3068,3036,1839,1962,754,0,0,0,0,0,0,0
"Bartow","Jefferson","Georgia",268,286,223,292,357,333,366,347,438,416,582,384,286,437,248,0,0,0,0,0,0,0,0
"Barwick","Brooks/Thomas","Georgia",378,386,444,385,413,432,400,436,409,499,422,381,0,0,0,0,0,0,0,0,0,0,0
"Baxley","Appling","Georgia",4463,4400,4150,3841,3586,3503,4268,3409,2916,2122,1142,831,488,337,110,0,0,0,0,0,0,0,0
"Bellville","Evans","Georgia",123,123,130,192,173,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkeley Lake","Gwinnett","Georgia",1983,1574,1695,791,503,219,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin","Colquitt","Georgia",562,551,595,480,538,422,419,309,322,250,0,0,0,0,0,0,0,0,0,0,0,0,0
