"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Ackley","Hardin County","Iowa",1550,1589,1809,1696,1900,1794,1731,1608,1586,1524,1529,1244,1445,1286,1517,0,0,0
"Ackworth","Warren County","Iowa",83,83,85,66,83,111,77,95,67,82,95,119,134,0,0,0,0,0
"Adair","Adair/Guthrie County","Iowa",752,781,839,894,883,750,742,827,874,950,952,900,879,722,306,0,0,0
"Adel","Dallas County","Iowa",4171,3682,3435,3304,2846,2419,2060,1799,1740,1669,1455,1289,1213,995,989,711,466,0
"Afton","Union County","Iowa",842,845,917,953,985,823,773,936,987,1013,926,1014,1178,1045,1231,961,0,0
"Agency","Wapello County","Iowa",636,638,622,616,657,610,702,524,452,371,429,322,408,442,566,630,0,0
"Ainsworth","Washington County","Iowa",568,567,524,506,547,455,371,396,415,359,391,408,404,0,318,0,0,0
"Akron","Plymouth County","Iowa",1456,1486,1489,1450,1517,1324,1351,1251,1314,1304,1324,1130,1029,494,0,0,0,0
"Albert City","Buena Vista County","Iowa",700,699,709,779,818,683,722,736,759,563,567,261,0,0,0,0,0,0
"Albia","Monroe County","Iowa",3782,3766,3706,3870,4184,4151,4582,4838,5157,4425,5067,4969,2889,2359,2435,1621,620,0
"Albion","Marshall County","Iowa",469,505,592,585,739,772,588,492,476,436,392,457,440,384,495,475,0,0
"Alburnett","Linn County","Iowa",690,673,559,456,411,418,341,254,208,199,201,0,0,0,0,0,0,0
"Alden","Hardin County","Iowa",763,787,904,855,953,876,838,829,682,793,840,699,709,512,495,0,0,0
"Alexander","Franklin County","Iowa",172,175,165,170,190,249,294,278,324,334,315,262,0,0,0,0,0,0
"Algona","Kossuth County","Iowa",5479,5560,5741,6015,6289,6032,5702,5415,4954,3985,3724,2908,2911,2068,1350,860,0,0
"Alleman","Polk County","Iowa",438,432,439,340,307,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allerton","Wayne County","Iowa",497,501,559,599,670,643,692,761,782,784,954,862,950,807,888,0,0,0
"Allison","Butler County","Iowa",1034,1029,1006,1000,1132,1071,952,771,708,603,520,495,463,0,0,0,0,0
"Alta","Buena Vista County","Iowa",1952,1883,1865,1820,1720,1717,1393,1348,1269,1297,1290,959,861,768,423,0,0,0
"Alta Vista","Chickasaw County","Iowa",263,266,286,246,314,283,276,312,333,293,355,356,179,0,0,0,0,0
