"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870
"Aberdeen","Bingham County","Idaho",1951,1994,1840,1406,1528,1542,1484,1486,1016,646,471,0,0,0,0,0
"Acequia","Minidoka County","Idaho",124,124,144,106,100,107,107,0,0,0,0,0,0,0,0,0
"Albion","Cassia County","Idaho",272,267,262,305,286,229,415,610,357,262,388,392,306,179,257,0
"American Falls","Power County","Idaho",4314,4457,4111,3757,3626,2769,2123,1874,1439,1280,1547,953,0,0,0,0
"Ammon","Bonneville County","Idaho",14685,13816,6187,5002,4669,2545,1882,447,363,270,378,214,0,0,0,0
"Arco","Butte County","Idaho",896,995,1026,1016,1241,1244,1562,961,548,572,737,322,0,0,0,0
"Arimo","Bannock County","Idaho",356,355,348,311,338,252,303,337,291,290,0,0,0,0,0,0
"Ashton","Fremont County","Idaho",1064,1127,1129,1114,1219,1187,1242,1256,1203,1003,1022,502,0,0,0,0
"Athol","Kootenai County","Idaho",694,692,676,346,312,190,214,226,120,116,180,281,0,0,0,0
"Atomic City","Bingham County","Idaho",29,29,25,25,34,24,141,0,0,0,0,0,0,0,0,0
"Bancroft","Caribou County","Idaho",371,377,382,393,505,366,416,495,406,403,374,0,0,0,0,0
"Basalt","Bingham County","Idaho",389,394,419,407,414,349,275,227,252,259,345,200,0,0,0,0
"Bellevue","Blaine County","Idaho",2300,2287,1876,1275,1016,537,384,528,502,375,526,702,356,892,0,0
"Blackfoot","Bingham County","Idaho",11814,11899,10419,9646,10065,8716,7378,5180,3681,3199,3937,2202,0,0,0,0
"Bliss","Gooding County","Idaho",302,318,275,185,208,114,91,126,0,0,0,0,0,0,0,0
"Bloomington","Bear Lake County","Idaho",209,206,251,197,212,186,254,302,418,393,475,539,0,0,0,0
"Boise City","Ada County","Idaho",216282,205671,185787,125738,102249,74990,34481,34393,26130,21544,21393,17358,5957,2311,1899,995
"Bonners Ferry","Boundary County","Idaho",2490,2543,2515,2193,1906,1909,1921,1776,1345,1418,1236,1071,349,0,0,0
"Bovill","Latah County","Idaho",255,260,305,256,289,350,357,437,447,572,589,0,0,0,0,0
"Buhl","Twin Falls County","Idaho",4231,4122,3985,3516,3629,2975,3059,2870,2414,1883,2245,639,0,0,0,0
"Burley","Cassia/Minidoka County","Idaho",10480,10345,9316,8702,8761,8279,7508,5924,5329,3826,5408,0,0,0,0,0
"Butte City","Butte County","Idaho",67,74,76,59,93,42,104,0,0,0,0,0,0,0,0,0
"Caldwell","Canyon County","Idaho",50224,46237,25967,18400,17699,14219,12230,10487,7272,4974,5106,3543,997,779,0,0
"Cambridge","Washington County","Idaho",314,328,360,374,428,383,473,354,405,336,404,349,0,0,0,0
"Carey","Blaine County","Idaho",603,604,513,0,0,0,0,0,0,0,740,701,0,0,0,0
"Cascade","Valley County","Idaho",919,939,997,877,945,833,923,943,1029,726,299,0,0,0,0,0
"Castleford","Twin Falls County","Idaho",234,226,277,179,191,174,274,0,0,0,0,0,0,0,0,0
