"NAME","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840
"Abingdon","Knox County","Illinois",3226,3319,3612,3597,4210,3936,3469,3300,3218,2771,2721,2464,2022,1321,1511,1700,1032,210,0
"Addieville","Washington County","Illinois",243,252,267,257,286,274,231,271,272,283,280,269,190,117,78,0,0,0,0
"Addison","DuPage County","Illinois",37297,36942,35914,32058,29826,24482,6741,813,819,916,510,579,591,485,0,0,0,0,0
"Adeline","Ogle County","Illinois",83,85,139,141,163,156,130,135,176,155,140,155,216,256,196,0,0,0,0
"Albany","Whiteside County","Illinois",883,891,895,835,1014,942,637,544,492,450,491,618,629,611,623,606,628,0,0
"Albers","Clinton County","Illinois",1180,1190,878,700,663,656,566,0,0,0,0,0,0,0,0,0,0,0,0
"Albion","Edwards County","Illinois",1957,1988,1933,2116,2285,1791,2025,2287,1855,1666,1584,1281,1162,937,875,613,0,365,0
"Aledo","Mercer County","Illinois",3588,3640,3613,3681,3881,3325,3080,2919,2593,2203,2231,2144,2081,1601,1492,1076,563,0,0
"Alexis","Warren County","Illinois",818,831,863,908,1076,946,878,821,877,786,830,829,915,562,398,0,0,0,0
"Algonquin","McHenry County","Illinois",30410,30046,23276,11663,5834,3515,2014,1223,926,866,693,642,550,0,286,0,0,0,0
"Alhambra","Madison County","Illinois",665,681,630,709,643,594,537,476,375,355,354,433,368,0,168,101,0,0,0
"Allendale","Wabash County","Illinois",461,475,528,476,613,425,465,442,432,462,451,0,0,0,283,0,0,0,0
"Allenville","Moultrie County","Illinois",146,148,154,166,203,185,191,253,240,248,286,245,0,45,0,0,0,0,0
"Allerton","Vermilion/Champaign County","Illinois",289,291,293,274,303,327,282,0,303,338,371,379,0,0,0,0,0,0,0
"Alma","Marion County","Illinois",316,320,386,388,428,369,358,404,465,334,366,380,418,0,0,0,0,0,0
"Alorton","St. Clair County","Illinois",1954,2002,2749,2960,2237,3573,3282,2547,0,0,0,0,0,0,0,0,0,0,0
"Alpha","Henry County","Illinois",652,671,726,753,815,771,637,630,553,403,281,358,355,0,0,0,0,0,0
"Alsey","Scott County","Illinois",222,227,246,253,318,242,248,294,290,0,0,0,0,0,0,0,0,0,0
"Alsip","Cook County","Illinois",19427,19277,19725,18227,17134,11608,3770,1228,541,327,0,0,0,0,0,0,0,0,0
"Altamont","Effingham County","Illinois",2304,2319,2283,2296,2389,1929,1656,1580,2111,1225,1352,1328,1335,1044,654,0,0,0,0
"Alto Pass","Union County","Illinois",383,391,388,417,369,304,323,462,459,485,500,551,518,389,166,0,0,0,0
"Alton","Madison County","Illinois",27177,27865,30496,32905,34171,39700,43047,32550,31255,30151,24682,17528,14210,10294,8975,8665,6332,3585,2340
"Altona","Knox County","Illinois",517,531,570,559,610,542,505,462,480,464,506,528,633,654,818,902,0,0,0
"Alvan","Vermilion County","Illinois",266,270,316,339,378,318,281,287,339,322,386,319,368,0,165,0,0,0,0
"Amboy","Lee County","Illinois",2383,2500,2561,2377,2377,2184,2067,2128,1986,1972,1944,1749,1826,2257,2448,2825,1615,0,0
"Anchor","McLean County","Illinois",146,146,175,178,192,200,194,0,0,0,0,0,0,0,32,0,0,0,0
"Andalusia","Rock Island County","Illinois",1183,1178,1050,1052,1238,950,560,510,365,252,228,299,326,281,0,0,0,0,0
"Andover","Henry County","Illinois",574,578,594,579,612,420,295,256,248,197,281,222,238,259,302,0,0,0,0
"Anna","Union County","Illinois",4331,4442,5136,4805,5408,4766,4280,4380,4092,3436,3019,2809,2618,2295,1494,1269,769,0,0
"Annawan","Henry County","Illinois",861,878,868,802,908,787,701,592,578,489,429,398,428,387,396,0,0,0,0
"Antioch","Lake County","Illinois",14411,14430,8788,6105,4419,3189,2268,1307,1098,1101,775,682,522,303,134,0,0,0,0
"Apple River","Jo Daviess County","Illinois",358,366,379,414,472,482,477,431,461,421,484,581,576,572,626,0,0,0,0
"Arcola","Douglas County","Illinois",2893,2916,2652,2678,2714,2276,2273,1700,1837,1686,1831,2100,1995,1733,1515,0,0,0,0
"Arenzville","Cass County","Illinois",398,409,419,432,495,403,417,513,494,458,479,518,462,356,379,0,0,0,0
"Argenta","Macon County","Illinois",924,947,921,940,994,1034,860,575,561,462,528,519,525,0,74,0,0,0,0
"Arlington","Bureau County","Illinois",187,193,211,200,236,250,254,247,258,258,284,370,400,436,447,0,0,0,0
"Arlington Heights","Cook County","Illinois",76024,75101,76031,75460,66116,65058,27878,8768,5668,4997,2250,1943,1380,1424,0,0,0,0,0
"Armington","Tazewell County","Illinois",340,343,368,348,297,368,327,314,299,315,368,327,0,241,129,0,0,0,0
"Aroma Park","Kankakee County","Illinois",719,743,821,690,673,896,744,544,497,376,266,261,295,308,353,0,0,0,0
"Arrowsmith","McLean County","Illinois",295,294,298,313,292,305,319,316,294,297,344,366,317,0,0,0,0,0,0
"Arthur","Douglas/Moultrie County","Illinois",2281,2288,2203,2112,2122,2214,2120,1573,1405,1361,998,1080,858,536,241,0,0,0,0
"Ashkum","Iroquois County","Illinois",744,761,724,650,735,590,601,420,337,319,375,416,429,300,245,0,0,0,0
"Ashland","Cass County","Illinois",1289,1333,1361,1257,1351,1128,1064,1039,1139,1007,1122,1096,1201,1045,609,203,0,0,0
"Ashley","Washington County","Illinois",511,536,613,583,658,655,662,738,720,772,751,913,953,1035,950,1030,629,0,0
"Ashmore","Coles County","Illinois",771,785,809,800,883,428,447,406,454,431,548,511,476,446,403,0,0,0,0
"Ashton","Lee County","Illinois",927,972,1142,1042,1140,1112,1024,913,914,868,882,779,756,680,646,0,0,0,0
"Assumption","Christian County","Illinois",1128,1168,1261,1244,1283,1487,1439,1466,1561,1554,1852,1918,1702,1076,706,590,0,0,0
"Astoria","Fulton County","Illinois",1100,1141,1193,1205,1370,1281,1206,1308,1292,1189,1340,1357,1684,1357,1280,0,0,0,0
"Athens","Menard County","Illinois",1960,1988,1726,1404,1371,1158,1035,1048,1062,1019,1241,1340,1535,944,410,351,392,0,0
"Atkinson","Henry County","Illinois",953,972,1001,950,1138,1053,944,825,719,689,778,805,762,534,504,0,0,0,0
"Atlanta","Logan County","Illinois",1663,1692,1649,1616,1807,1640,1568,1331,1290,1169,1173,1367,1270,1178,1368,0,0,0,0
"Atwood","Platt County","Illinois",1199,1224,1290,1253,1464,1264,1258,661,707,683,883,659,698,530,212,0,0,0,0
"Auburn","Sangamon County","Illinois",4815,4771,4317,3724,3616,2594,2209,1963,1952,2242,2660,1814,1281,874,288,0,0,0,0
"Augusta","Hancock County","Illinois",566,587,657,614,764,824,915,945,972,1011,1085,1146,1149,1077,1015,0,0,0,0
"Aurora","DuPage/Kane County","Illinois",200456,197899,142990,99581,81293,74389,63715,50576,47170,46589,36397,29807,24147,19688,11873,11162,6011,0,0
"Ava","Jackson County","Illinois",639,654,662,674,811,728,665,734,821,615,626,780,984,807,365,0,0,0,0
"Aviston","Clinton County","Illinois",2073,1945,1231,924,846,828,717,503,388,368,389,397,387,381,367,0,0,0,0
"Avon","Fulton County","Illinois",767,799,915,957,1019,1013,996,870,803,799,877,865,809,692,689,672,594,0,0
"Baldwin","Randolph County","Illinois",353,373,3627,426,474,467,336,354,341,332,353,358,381,298,271,0,0,0,0
"Banner","Fulton County","Illinois",183,189,149,160,224,235,247,215,172,0,0,0,0,0,0,0,0,0,0
"Bannockburn","Lake County","Illinois",1575,1583,1429,1388,1316,1359,466,249,179,186,0,0,0,0,0,0,0,0,0
"Bardolph","McDonough County","Illinois",245,251,253,301,294,331,266,246,275,305,352,285,387,447,409,0,0,0,0
"Barrington","Cook/Lake County","Illinois",10373,10327,10168,9504,9029,8581,5434,4209,3560,3213,1743,1444,1162,848,410,0,0,0,0
"Barrington Hills","Cook/Kane/Lake/McHenry Country","Illinois",4259,4209,3915,4202,3631,2805,1726,0,0,0,0,0,0,0,0,0,0,0,0
"Barry","Pike County","Illinois",1280,1318,1368,1391,1487,1444,1422,1529,1545,1506,1490,1647,1643,1354,1392,0,0,0,0
"Bartelso","Clinton County","Illinois",598,595,593,412,389,439,370,304,300,256,246,344,274,0,0,0,0,0,0
"Bartlett","Cook County","Illinois",41632,41208,36706,19373,13254,3501,1540,716,608,504,371,408,360,263,175,0,0,0,0
"Bartonville","Peoria County","Illinois",6423,6471,6310,5643,6137,7221,7253,2437,1879,1886,1588,1536,0,0,0,0,0,0,0
"Basco","Hancock County","Illinois",96,98,107,99,155,193,191,220,238,206,267,255,318,327,0,0,0,0,0
"Batavia","Kane County","Illinois",26424,26045,23866,17076,12574,9060,7496,5838,5101,5045,4395,4436,3871,3543,2639,0,1621,0,0
