"Name","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830
"Advance","Boone County","Indiana",509,477,562,520,559,561,463,413,365,358,417,416,0,0,0,0,0,0,0,0
"Akron","Fulton County","Indiana",1145,1167,1076,1001,1045,1019,958,946,990,932,930,768,0,0,193,0,0,0,0,0
"Alamo","Montgomery County","Indiana",65,66,137,112,178,145,144,163,155,163,167,209,241,272,220,0,0,0,0,0
"Albany","Delaware County","Indiana",2127,2165,2368,2357,2625,2293,2132,1846,1623,1413,1333,1289,2116,571,249,0,0,0,0,0
"Albion","Noble County","Indiana",2319,2349,2284,1823,1637,1498,1325,1341,1234,1108,1142,1213,1324,1229,926,476,0,0,0,0
"Alexandria","Madison County","Indiana",5067,5145,6260,5709,6028,5600,5582,5147,4801,4408,4172,5096,7221,715,488,287,0,0,0,0
"Alfordsville","Daviess County","Indiana",105,101,112,74,132,105,121,101,106,90,0,0,0,0,119,0,0,0,0,0
"Alton","Crawford County","Indiana",55,55,53,57,64,56,57,71,78,109,128,161,238,277,259,137,0,0,0,0
"Altona","De Kalb County","Indiana",197,197,198,156,263,269,313,344,340,342,382,349,0,0,100,0,0,0,0,0
"Ambia","Benton County","Indiana",236,239,197,249,274,300,351,356,603,433,459,359,438,293,253,0,0,0,0,0
"Amboy","Miami County","Indiana",378,384,360,370,450,473,446,414,450,431,460,521,402,402,208,0,0,0,0,0
"Amo","Hendricks County","Indiana",413,401,414,380,444,422,437,354,288,278,274,0,0,0,200,0,0,0,0,0
"Andrews","Huntington County","Indiana",1134,1149,1290,1118,1243,1207,1132,1083,954,883,1071,957,746,1390,454,449,0,0,0,0
"Arcadia","Hamilton County","Indiana",1680,1666,1747,1468,1801,1338,1271,1073,968,912,1060,990,1413,670,433,0,0,0,0,0
"Argos","Marshall County","Indiana",1666,1691,1613,1642,1547,1393,1329,1284,1190,1211,1111,1088,1307,1101,622,0,0,0,0,0
"Ashley","De Kalb/Steuben County","Indiana",982,983,1010,767,841,721,721,680,675,623,618,639,1040,0,0,0,0,0,0,0
"Atlanta","Hamilton County","Indiana",740,725,761,703,657,620,602,613,479,551,678,876,1000,0,0,0,0,0,0,0
"Attica","Fountain County","Indiana",3132,3245,3491,3457,3841,4262,4341,3862,3760,3700,3392,3335,3005,2320,2150,2273,1713,0,0,0
"Austin","Scott County","Indiana",4163,4295,4724,4310,4857,4902,3838,2906,0,0,0,0,0,0,270,321,0,0,0,0
"Avilla","Noble County","Indiana",2411,2401,2049,1366,1272,881,919,669,534,559,537,579,658,576,446,138,0,0,0,0
"Avon","Hendricks County","Indiana",15971,12446,6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bainbridge","Putnam County","Indiana",742,746,743,682,644,703,603,455,414,406,475,449,431,473,420,0,0,0,0,0
"Bargersville","Johnson County","Indiana",6627,4013,2120,1681,1647,873,586,413,297,282,290,0,0,0,77,0,0,0,0,0
"Batesville","Ripley County","Indiana",6541,6520,6033,4720,4152,3799,3349,3194,3065,2838,2361,2151,1384,1169,0,0,0,0,0,0
"Battle Ground","Tippecanoe County","Indiana",1459,1334,1323,806,812,818,804,634,506,448,444,443,150,456,0,0,0,0,0,0
"Beech Grove","Marion County","Indiana",14514,14192,14880,13383,13196,13559,10973,5685,3907,3552,1459,568,0,0,0,0,0,0,0,0
"Berne","Adams County","Indiana",4038,3999,4150,3559,3300,2988,2644,2277,2075,1883,1537,1316,1037,544,0,0,0,0,0,0
"Bethany","Morgan County","Indiana",81,81,94,90,127,121,119,0,0,0,0,0,0,0,62,0,0,0,0,0
