"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Adairville","Logan County","Kentucky",889,852,920,906,1105,973,848,800,784,763,778,683,720,0,476,214,148,0,0,0,0,0,0,0
"Albany","Clinton County","Kentucky",2010,2033,2220,2062,2083,1891,1887,1920,1259,852,595,579,234,0,0,163,222,0,0,0,0,0,0,0
"Alexandria","Campbell County","Kentucky",8790,8477,8286,5592,4735,3844,1318,536,430,424,316,353,359,0,378,381,0,0,0,0,0,0,0,0
"Allen","Floyd County","Kentucky",187,193,150,229,338,724,370,421,368,284,210,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anchorage","Jefferson County","Kentucky",2408,2348,2264,2082,1726,1477,1170,883,690,564,447,384,421,0,0,0,0,0,0,0,0,0,0,0
"Arlington","Carlisle County","Kentucky",316,324,395,449,511,549,584,584,690,685,668,555,584,574,0,0,0,0,0,0,0,0,0,0
"Ashland","Boyd County","Kentucky",21335,21684,21981,23622,27064,29245,31283,31131,29537,29074,14729,8688,6800,4195,3280,1459,0,0,0,0,0,0,0,0
"Auburn","Logan County","Kentucky",1346,1340,1444,1273,1467,1160,1013,994,955,821,715,681,697,613,682,610,0,0,0,0,0,0,0,0
"Audubon Park","Jefferson County","Kentucky",1502,1473,1545,1520,1571,1862,1867,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augusta","Bracken County","Kentucky",1174,1190,1204,1336,1455,1434,1458,1599,1701,1675,1829,1787,1718,1447,1282,960,693,588,0,0,0,0,0,0
"Bancroft","Jefferson County","Kentucky",506,494,536,582,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbourmeade","Jefferson County","Kentucky",1251,1218,1260,1402,1038,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbourville","Knox County","Kentucky",3154,3165,3589,3658,3333,3549,3211,2926,2420,2380,1877,1633,1010,1162,250,438,230,184,0,0,0,0,0,0
"Bardstown","Nelson County","Kentucky",12998,11700,10374,6801,6155,5816,4798,4154,3152,1767,1717,2126,1711,1524,926,1835,536,0,0,0,0,0,0,0
"Bardwell","Carlisle County","Kentucky",708,723,799,819,988,1049,1067,1033,1218,1139,1120,1087,1512,578,0,0,0,0,0,0,0,0,0,0
"Barlow","Ballard County","Kentucky",675,675,715,706,746,746,731,657,584,614,654,532,0,0,0,0,0,0,0,0,0,0,0,0
"Beattyville","Lee County","Kentucky",1257,1307,1193,1131,1068,923,1048,1042,1012,906,1210,1360,696,0,0,123,0,0,0,0,0,0,0,0
"Beaver Dam","Ohio County","Kentucky",3541,3409,3033,2904,3185,2622,1648,1349,1166,1036,788,762,552,274,146,0,0,0,0,0,0,0,0,0
"Bedford","Trimble County","Kentucky",609,599,677,761,835,780,717,533,387,286,240,269,307,250,197,200,251,285,0,0,0,0,0,0
"Beechwood Village","Jefferson County","Kentucky",1359,1324,1173,1263,1462,1788,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellefonte","Greenup County","Kentucky",871,888,837,838,908,966,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellemeade","Jefferson County","Kentucky",889,865,871,927,918,576,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellevue","Campbell County","Kentucky",5919,5955,6480,6997,7678,8847,9336,9040,8741,8497,7379,6683,6332,3163,1460,0,0,0,0,0,0,0,0,0
"Bellewood","Jefferson County","Kentucky",330,321,300,329,307,410,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benham","Harlan County","Kentucky",480,500,599,717,936,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benton","Marshall County","Kentucky",4329,4349,4197,3899,3700,3652,3074,1980,1906,1021,897,824,664,344,277,0,0,0,0,0,0,0,0,0
"Berea","Madison County","Kentucky",14658,13561,9851,9126,8226,6956,4302,3372,2176,1827,1640,1510,762,0,580,0,0,0,0,0,0,0,0,0
"Berry","Harrison County","Kentucky",260,264,310,240,287,266,279,312,363,403,532,339,250,0,0,0,0,0,0,0,0,0,0,0
"Blackey","Letcher County","Kentucky",160,120,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blaine","Lawrence County","Kentucky",47,47,245,271,358,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomfield","Nelson County","Kentucky",1044,838,855,845,954,1072,916,666,535,455,471,352,385,0,0,435,0,0,0,0,0,0,0,0
"Blue Ridge Manor","Jefferson County","Kentucky",789,767,623,565,465,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonnieville","Hart County","Kentucky",262,255,354,300,372,328,376,0,0,0,0,257,270,0,0,0,0,0,0,0,0,0,0,0
"Booneville","Owsley County","Kentucky",77,81,111,232,191,126,143,165,283,250,243,236,251,111,121,0,0,0,0,0,0,0,0,0
"Bowling Green","Warren County","Kentucky",62479,58067,49296,40641,40450,36705,28338,18347,14585,12348,9638,9173,8226,7803,5114,4574,0,0,0,0,0,0,0,0
"Bradfordsville","Marion County","Kentucky",296,294,304,199,331,338,387,0,0,0,0,0,0,0,0,155,186,0,0,0,0,0,0,0
"Brandenburg","Meade County","Kentucky",2919,2643,2049,1857,1831,1637,1542,755,561,484,503,482,218,2495,587,427,618,0,0,0,0,0,0,0
"Bremen","Muhlenberg County","Kentucky",195,197,365,267,179,299,328,410,239,255,172,254,180,0,0,0,0,0,0,0,0,0,0,0
"Briarwood","Jefferson County","Kentucky",445,435,554,658,374,327,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brodhead","Rockcastle County","Kentucky",1197,1211,1193,1140,686,769,515,808,702,630,555,477,337,277,0,0,0,0,0,0,0,0,0,0
"Broeck Pointe","Jefferson County","Kentucky",279,272,294,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bromley","Kenton County","Kentucky",808,763,838,1137,844,1069,998,980,876,1017,736,819,543,0,0,0,0,0,0,0,0,0,0,0
"Brooksville","Bracken County","Kentucky",644,642,589,670,680,609,601,622,656,615,585,492,565,330,378,348,262,0,0,0,0,0,0,0
"Brownsboro Farm","Jefferson County","Kentucky",662,648,676,670,790,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brownsboro Village","Jefferson County","Kentucky",327,319,318,361,410,494,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brownsville","Edmonson County","Kentucky",826,836,921,897,674,542,473,447,451,359,294,313,234,113,116,0,0,0,0,0,0,0,0,0
"Buckhorn","Perry County","Kentucky",159,162,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burgin","Mercer County","Kentucky",964,965,874,1009,1008,1002,879,777,703,791,713,679,703,303,150,0,0,0,0,0,0,0,0,0
