"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Agawam","Hampden County","Massachusetts",28772,28438,28144,27323,26271,21717,15718,10166,7842,7095,5023,3501,2536,2352,2216,2001,1698,0,0,0,0,0,0,0
"Amesbury","Essex County","Massachusetts",16794,16283,16450,14997,13971,11388,10787,10851,10862,11899,10036,9894,9473,9798,3355,5581,3877,3143,2471,0,0,0,0,0
"Attleboro","Bristol County","Massachusetts",43970,43593,42068,38383,34196,32907,27118,23809,22001,21969,19932,16215,11335,7597,11111,6789,6066,4200,3585,3215,3055,0,0,0
"Barnstable","Barnstable County","Massachusetts",44529,45193,47821,40949,30898,19842,13465,10480,8333,7271,4836,4676,4364,4023,4242,4793,5129,4901,4301,0,0,0,0,0
"Beverly","Essex County","Massachusetts",40952,39502,39862,38195,37655,38348,36108,28884,25537,25086,22561,18650,13884,10821,8456,6507,6154,5376,4689,4073,4283,4608,3881,3290
"Boston","Suffolk County","Massachusetts",655884,617594,589141,574283,562994,641071,697197,801444,770816,781188,748060,670585,560892,448477,362839,250526,177840,136881,93383,61392,43298,33787,24937,18320
"Braintree","Norfolk County","Massachusetts",37362,35744,33828,33836,36337,35050,31069,23161,16378,15712,10580,8066,5981,4848,3855,3948,3468,2969,2168,,,,,
"Brockton","Plymouth County","Massachusetts",94779,93810,94304,92788,95172,89040,72813,62860,62343,63799,66254,56878,40063,27294,13608,8007,6584,3939,2616,1953,0,0,0,0
"Cambridge","Middlesex County","Massachusetts",109694,105162,101355,95802,95322,100361,107716,120740,110879,113643,109694,104839,91886,70028,52669,39634,26060,15215,8409,6072,3295,2323,2453,2115
"Chelsea","Suffolk County","Massachusetts",38861,35177,35080,28710,25431,30625,33749,38912,41259,45816,43184,32452,34072,27909,21782,18547,13395,6701,2390,771,642,594,849,472
"Chicopee","Hampden County","Massachusetts",55795,55298,54653,56632,55112,66676,61553,49211,41664,43930,36214,25401,19167,14050,11286,9607,7261,8291,0,0,0,0,0,0
"Easthampton","Hampshire County","Massachusetts",16036,16053,15994,15537,15580,13012,12326,10694,10316,11323,11261,8524,5603,4395,4206,3620,1916,1342,0,0,0,0,0,0
"Everett","Middlesex County","Massachusetts",44231,41667,38037,35701,37195,42485,43544,45982,46784,48424,40120,33484,24336,11068,4159,2220,0,0,0,0,0,0,0,0
"Fall River","Bristol County","Massachusetts",88712,88857,91938,92703,92574,96898,99942,111963,115428,115274,120485,119295,104863,74398,48961,26766,14026,11524,6738,4158,1594,1296,0,0
"Fitchburg","Worcester County","Massachusetts",40445,40318,39102,41194,39580,43343,43021,42691,41824,40692,41029,37826,31531,22037,12429,11260,7805,5120,2604,2169,1736,1566,1390,1151
"Franklin","Norfolk County","Massachusetts",32836,31635,29560,22095,18217,17830,10530,8037,7303,7028,6497,5641,5017,4831,4051,2512,2172,1818,0,0,0,0,0,0
"Gardner","Worcester County","Massachusetts",20381,20228,20770,20125,17900,19748,19038,19581,20206,19399,16971,14699,10813,8424,4988,3333,2646,1533,1260,1023,911,815,667,531
"Gloucester","Essex County","Massachusetts",29626,28789,30273,28716,27768,27941,25789,25167,24046,24204,22947,24398,26121,24651,19329,15389,10904,7786,6350,7510,6384,5943,5313,5317
"Greenfield","Franklin County","Massachusetts",17368,17456,18168,18666,18436,18116,17690,17349,15672,15560,15462,10427,7927,5252,3903,3589,3198,2580,0,0,0,0,0,0
"Haverhill","Essex County","Massachusetts",62488,60879,58969,51418,46865,46120,46346,47280,46752,48710,53884,44115,37175,27412,18472,13092,9995,5877,4336,3896,3070,2682,2730,2408
"Holyoke","Hampden County","Massachusetts",40124,39880,39838,43704,44678,50112,52689,54661,53750,56537,60203,57730,45712,35637,21915,10733,4997,3245,0,0,0,0,0,0
"Lawrence","Essex County","Massachusetts",78197,76377,72043,70207,63175,66915,70933,80536,84323,85068,94270,85892,62559,44654,39151,28921,17639,8282,0,0,0,0,0,0
"Leominster","Worcester County","Massachusetts",41150,40759,41303,38145,34508,32939,27929,24075,22226,21810,19744,17580,12392,7269,5772,3894,3522,3121,2069,1861,1790,1584,1486,1189
"Lowell","Middlesex County","Massachusetts",109945,106519,105167,103439,92418,94239,92107,97249,101389,100234,112759,106294,94969,77696,59475,40928,36827,33383,20796,6474,0,0,0,0
"Lynn","Essex County","Massachusetts",92137,90329,89050,81245,78471,90294,94478,99738,98123,102320,99148,89336,68513,55727,38274,28233,19083,14257,9367,6138,4515,4087,2837,2291
"Malden","Middlesex County","Massachusetts",60859,59450,56340,53884,53386,56127,57676,59804,58010,58036,49103,44404,33664,23031,12017,7367,5865,3520,2514,2010,1731,1384,1059,1033
"Marlborough","Middlesex County","Massachusetts",39612,38499,36255,31813,30617,27936,18819,15756,15154,15587,15028,14979,13609,13805,10127,8474,5911,2941,2101,2077,1952,1674,1735,1554
"Medford","Middlesex County","Massachusetts",57437,56173,55765,57407,58076,64397,64971,66113,63083,59714,39038,23150,18244,11079,7573,5717,4842,3749,2478,1755,1474,1443,1114,1029
"Melrose","Middlesex County","Massachusetts",27969,26983,27134,28150,30055,33180,29619,26988,25333,23170,18204,15715,12962,8519,4560,3414,2532,1260,0,0,0,0,0,0
"Methuen","Essex County","Massachusetts",49112,47255,43789,39990,36701,35456,28114,24477,21880,21069,15189,11448,7512,4814,4393,2959,2566,2538,2251,0,0,0,0,0
"New Bedford","Bristol County","Massachusetts",94845,95072,93768,99922,98478,101777,102477,109189,110141,112597,121217,96652,62442,40733,26845,21320,22300,16443,12087,7592,3947,5651,6361,3323
"Newburyport","Essex County","Massachusetts",17926,17416,17189,16317,15900,15807,14004,14111,13916,15084,15618,14949,14478,13947,13538,12595,13401,9572,7161,6375,6852,7634,5946,4837
"Newton","Middlesex County","Massachusetts",88287,85146,83829,82585,83622,91263,92384,81994,69873,65276,46054,39806,33587,24379,16995,12825,8382,5258,3351,2376,1850,1709,1491,1360
"North Adams","Berkshire County","Massachusetts",13354,13708,14681,16797,18063,19195,19905,21567,22213,21621,22282,22019,24200,16074,10191,0,0,0,0,0,0,0,0,0
"Northampton","Hampshire County","Massachusetts",28554,28549,28978,29289,29286,29664,30088,29063,24794,24381,21951,19431,18643,14990,12172,10160,6788,5278,3750,3613,2854,2631,2190,1628
"Palmer","Hampden County","Massachusetts",12174,12140,12497,12054,11389,11680,10358,9533,9149,9577,9896,8610,7801,6520,5504,3631,4082,3974,0,0,0,0,0,0
"Peabody","Essex County","Massachusetts",52376,51251,48129,47039,45976,48080,32202,22645,21711,21345,19552,15721,11523,10158,9028,7345,6549,0,0,0,0,0,0,0
"Pittsfield","Berkshire County","Massachusetts",43697,44737,45793,48622,51974,57020,57879,53348,49684,49677,41763,32121,21766,17281,13364,11112,8045,5872,3747,3559,2768,2665,2261,1992
"Quincy","Norfolk County","Massachusetts",93397,92271,88025,84985,84743,87966,87409,83835,75810,71983,47876,32642,23899,16723,10570,7442,6778,5017,3486,2201,1623,1281,1081,0
"Revere","Suffolk County","Massachusetts",54157,51755,47283,42786,42423,43159,40080,36763,34405,35680,28823,18219,10395,5668,2263,1197,921,935,0,0,0,0,0,0
"Salem","Essex County","Massachusetts",42824,41340,40407,38091,38276,40556,39211,41880,41213,43353,42529,43697,35956,30801,27563,24117,22252,20264,15082,13895,12731,12613,9457,7921
"Somerville","Middlesex County","Massachusetts",78901,75754,77478,76210,77372,88779,94697,102351,102177,103908,93091,77236,61643,40152,24933,14685,8025,3540,0,0,0,0,0,0
"Southbridge","Worcester County","Massachusetts",16825,16719,17214,17816,16665,17057,16523,17519,16825,14264,14245,12592,10025,7655,6464,5208,3575,2824,0,0,0,0,0,0
"Springfield","Hampden County","Massachusetts",153991,153060,152082,156983,152319,163905,174463,162399,149554,149900,129614,88926,62059,44179,33340,26703,15199,11766,10585,6784,3914,2767,2312,1574
"Taunton","Bristol County","Massachusetts",56544,55874,55976,49832,45001,43756,41132,40309,37395,37355,37137,34259,31036,25448,21213,18629,15376,10441,7645,6042,4520,3907,3860,3804
"Waltham","Middlesex County","Massachusetts",63014,60632,59226,57878,58200,61582,47187,40020,39247,30915,27834,23481,18707,11712,9065,6397,4464,2504,1857,1677,1014,903,882,0
"Watertown","Middlesex County","Massachusetts",34127,31915,32986,33284,34384,39307,39092,37329,35427,34913,21457,12875,9706,7073,5426,4326,3270,2837,1810,0,0,0,0,0
"West Springfield","Hampden County","Massachusetts",28627,28391,27899,27537,27042,28461,24924,20438,17135,16684,13443,9224,7105,5077,4149,2606,2105,2979,3626,0,0,0,0,0
"Westfield","Hampden County","Massachusetts",41608,41094,40072,38372,36465,31433,26302,20962,18793,19775,18604,16044,12310,9805,7587,6519,5055,4180,3526,2940,2668,2130,2185,2204
"Weymouth","Norfolk County","Massachusetts",55643,53743,53988,54063,55601,54610,48177,32690,23868,20882,15057,12895,11324,10866,10570,9010,7742,5369,3738,0,0,0,0,0
"Winthrop","Suffolk County","Massachusetts",18352,17497,18303,18127,19294,20335,20303,19496,16768,16852,15455,10132,6058,2726,1043,532,544,0,0,0,0,0,0,0
"Woburn","Middlesex County","Massachusetts",39272,38120,37258,35943,36626,37406,31214,20492,19751,19434,16574,15308,14254,13499,10931,8560,6287,3956,2993,1977,1519,1219,1228,1727
"Worcester","Worcester County","Massachusetts",183016,181045,172648,169759,161799,176572,186587,203486,193694,195311,179754,145986,118421,84655,58291,41105,24960,17049,7497,4173,2962,2577,2411,2095
