"SUMLEV","COUNTY","PLACE","COUSUB","NAME","STNAME","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014"
40,0,0,0,"Massachusetts","Massachusetts",6547629,6547817,6564073,6612270,6655829,6708874,6745408
162,0,840,0,"Agawam Town city","Massachusetts",28438,28438,28450,28585,28634,28712,28772
162,0,1260,0,"Amesbury Town city","Massachusetts",16283,16283,16314,16441,16538,16679,16794
162,0,2690,0,"Attleboro city","Massachusetts",43593,43593,43600,43663,43793,43885,43970
162,0,3690,0,"Barnstable Town city","Massachusetts",45193,45189,45146,44831,44720,44604,44529
162,0,5595,0,"Beverly city","Massachusetts",39502,39502,39718,40070,40343,40784,40952
162,0,7000,0,"Boston city","Massachusetts",617594,617680,620598,630645,640839,649917,655884
162,0,7740,0,"Braintree Town city","Massachusetts",35744,35739,35816,36113,36473,36968,37362
162,0,9000,0,"Brockton city","Massachusetts",93810,93810,93838,94147,94045,94451,94779
162,0,11000,0,"Cambridge city","Massachusetts",105162,105201,104955,105809,106046,107732,109694
162,0,13205,0,"Chelsea city","Massachusetts",35177,35177,35332,36256,37079,37881,38861
162,0,13660,0,"Chicopee city","Massachusetts",55298,55298,55275,55551,55669,55714,55795
162,0,19370,0,"Easthampton Town city","Massachusetts",16053,16053,16047,16067,16095,16062,16036
162,0,21990,0,"Everett city","Massachusetts",41667,41667,41718,42136,42592,43110,44231
162,0,23000,0,"Fall River city","Massachusetts",88857,88857,88842,88738,88674,88718,88712
162,0,23875,0,"Fitchburg city","Massachusetts",40318,40318,40410,40365,40403,40440,40445
162,0,25172,0,"Franklin Town city","Massachusetts",31635,31635,31861,32218,32379,32663,32836
162,0,25485,0,"Gardner city","Massachusetts",20228,20228,20158,20198,20316,20349,20381
162,0,26150,0,"Gloucester city","Massachusetts",28789,28789,28859,29030,29222,29444,29626
162,0,27100,0,"Greenfield Town city","Massachusetts",17456,17456,17424,17584,17580,17416,17368
162,0,29405,0,"Haverhill city","Massachusetts",60879,60879,60969,61463,61768,62159,62488
162,0,30840,0,"Holyoke city","Massachusetts",39880,39880,39908,40102,40138,40110,40124
162,0,34550,0,"Lawrence city","Massachusetts",76377,76377,76521,76986,77353,77765,78197
162,0,35075,0,"Leominster city","Massachusetts",40759,40759,40765,40882,40896,41079,41150
162,0,37000,0,"Lowell city","Massachusetts",106519,106519,106659,107553,108564,109675,109945
162,0,37490,0,"Lynn city","Massachusetts",90329,90329,90492,90778,91275,91785,92137
162,0,37875,0,"Malden city","Massachusetts",59450,59464,59548,59940,60360,60788,60859
162,0,38715,0,"Marlborough city","Massachusetts",38499,38499,38543,38878,39258,39493,39612
162,0,39835,0,"Medford city","Massachusetts",56173,56253,56306,56676,57067,57385,57437
162,0,40115,0,"Melrose city","Massachusetts",26983,26983,27018,27240,27454,27810,27969
162,0,40710,0,"Methuen Town city","Massachusetts",47255,47255,47354,47712,48027,48609,49112
162,0,45000,0,"New Bedford city","Massachusetts",95072,95072,95024,94798,94811,94973,94845
162,0,45245,0,"Newburyport city","Massachusetts",17416,17416,17446,17556,17635,17796,17926
162,0,45560,0,"Newton city","Massachusetts",85146,85174,85403,85915,87249,87927,88287
162,0,46225,0,"North Adams city","Massachusetts",13708,13708,13784,13648,13609,13470,13354
162,0,46330,0,"Northampton city","Massachusetts",28549,28549,28634,28697,28686,28602,28554
162,0,52144,0,"Palmer Town city","Massachusetts",12140,12140,12139,12156,12162,12169,12174
162,0,52490,0,"Peabody city","Massachusetts",51251,51251,51365,51608,51856,52162,52376
162,0,53960,0,"Pittsfield city","Massachusetts",44737,44737,44701,44395,44307,44068,43697
162,0,55745,0,"Quincy city","Massachusetts",92271,92271,92422,92551,92872,93327,93397
162,0,56585,0,"Revere city","Massachusetts",51755,51733,51857,52755,53524,54063,54157
162,0,59105,0,"Salem city","Massachusetts",41340,41340,41836,42035,42269,42676,42824
162,0,62535,0,"Somerville city","Massachusetts",75754,75635,75757,76666,77723,78857,78901
162,0,63345,0,"Southbridge Town city","Massachusetts",16719,16719,16725,16741,16768,16803,16825
162,0,67000,0,"Springfield city","Massachusetts",153060,153195,153596,153798,153863,153931,153991
162,0,69170,0,"Taunton city","Massachusetts",55874,55874,55881,55902,55978,56051,56544
162,0,72600,0,"Waltham city","Massachusetts",60632,60632,60842,61377,62008,62424,63014
162,0,73440,0,"Watertown Town city","Massachusetts",31915,31915,31971,32210,32899,33130,34127
162,0,76030,0,"Westfield city","Massachusetts",41094,41094,41115,41390,41244,41531,41608
162,0,77890,0,"West Springfield Town city","Massachusetts",28391,28391,28352,28540,28608,28589,28627
162,0,78972,0,"Weymouth Town city","Massachusetts",53743,53743,53784,54171,55008,55482,55643
162,0,81005,0,"Winthrop Town city","Massachusetts",17497,17497,17532,17815,18062,18232,18352
162,0,81035,0,"Woburn city","Massachusetts",38120,38134,38273,38622,38870,39170,39272
162,0,82000,0,"Worcester city","Massachusetts",181045,181041,181811,182362,182367,183021,183016
50,1,0,0,"Barnstable County","Massachusetts",215888,215888,215903,215335,214845,214836,214914
