"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Aberdeen","Harford County","Maryland",15434,14959,13842,13087,11533,12375,9679,2944,1525,1240,1067,616,600,448,191,0,0,0,0,0,0,0,0,0
"Accident","Garrett County","Maryland",319,325,353,349,246,237,237,242,236,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
"Annapolis","Anne Arundel County","Maryland",38856,38394,35838,33187,31740,30095,23385,10047,9542,9803,8518,8262,7657,7604,6642,5744,4529,3011,2792,2623,2260,0,0,0
"Baltimore","Baltimore city","Maryland",622793,620961,651154,736014,786741,905787,939024,949708,859100,804874,733826,558485,508957,434439,332313,267354,212418,169054,102313,80620,62738,46555,26514,13503
"Barclay","Queen Anne’s County","Maryland",119,120,143,170,132,187,142,108,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnesville","Montgomery County","Maryland",178,172,161,170,141,162,145,130,121,110,149,154,0,0,0,0,0,0,0,0,0,0,0,0
"Barton","Allegany County","Maryland",437,457,478,530,617,723,731,695,781,689,765,0,0,0,1112,0,0,0,0,0,0,0,0,0
"Bel Air","Harford County","Maryland",10264,10120,10080,8860,7814,6307,4300,2578,1885,1650,1091,1005,961,1416,0,633,197,255,0,0,0,0,0,0
"Berlin","Worcester County","Maryland",4552,4485,3491,2616,2162,1942,2046,2001,1435,1480,1366,1317,1246,974,1055,697,834,0,0,0,0,0,0,0
"Berwyn Heights","Prince George’s County","Maryland",3262,3123,2942,2952,3135,3934,2376,674,453,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betterton","Kent County","Maryland",334,345,376,360,356,327,328,314,221,296,327,308,0,0,0,0,0,0,0,0,0,0,0,0
"Bladensburg","Prince George’s County","Maryland",9583,9148,7661,8064,7691,7977,3103,2899,1220,816,597,460,463,503,466,410,0,0,0,0,0,0,0,0
"Boonsboro","Washington County","Maryland",3449,3336,2803,2445,1908,1410,1211,1071,938,369,350,759,700,766,859,835,864,943,0,0,0,0,0,0
"Bowie","Prince George’s County","Maryland",57646,54727,50269,37589,33695,35028,1072,860,767,694,677,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brentwood","Prince George’s County","Maryland",3174,3046,2844,3005,3000,3426,3693,3523,2433,1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brookeville","Montgomery County","Maryland",138,134,120,54,120,136,140,117,262,112,79,132,158,0,206,0,0,0,0,0,0,0,0,0
"Brookview","Dorchester County","Maryland",59,60,65,64,78,95,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunswick","Frederick County","Maryland",6102,5870,4894,5117,4572,3566,3555,3752,3856,3671,3905,3721,2471,0,0,0,0,0,0,0,0,0,0,0
"Burkittsville","Frederick County","Maryland",156,151,171,194,202,221,208,190,177,173,200,228,229,273,280,293,0,0,0,0,0,0,0,0
"Cambridge","Dorchester County","Maryland",12569,12326,10911,11514,11703,11595,12239,10351,10102,8544,7467,6407,5747,4192,2262,1642,1862,0,0,0,0,0,0,0
"Capitol Heights","Prince George’s County","Maryland",4546,4337,4138,3633,3271,3835,3138,2729,2036,1611,1194,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecilton","Cecil County","Maryland",672,663,474,489,508,581,596,510,498,458,439,518,447,485,473,462,0,0,0,0,0,0,0,0
"Centreville","Queen Anne’s County","Maryland",4574,4285,1970,2097,2018,1853,1863,1804,1141,1291,1765,1435,1231,1309,1196,915,0,0,0,0,0,0,0,0
"Charlestown","Cecil County","Maryland",1197,1183,1019,578,720,721,711,551,307,286,177,274,244,228,211,0,0,0,0,0,0,0,0,0
"Chesapeake Beach","Calvert County","Maryland",5874,5753,3180,2403,1408,934,731,504,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chesapeake City","Cecil County","Maryland",690,673,787,735,899,1031,1104,1154,1094,1016,958,1016,1172,1155,1402,1008,0,423,0,0,0,0,0,0
"Chestertown","Kent County","Maryland",5125,5252,4746,4005,3300,3476,3602,3143,2760,2809,2537,2735,3008,2632,2359,1871,1539,0,0,0,0,0,0,0
"Cheverly","Prince George’s County","Maryland",6449,6173,6433,6023,5751,6808,5223,3318,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chevy Chase","Montgomery County","Maryland",2959,2824,2726,2675,2903,2266,2243,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chevy Chase Section Five","Montgomery County","Maryland",689,658,641,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chevy Chase Section Three","Montgomery County","Maryland",794,760,773,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chevy Chase View town, Maryland","Montgomery County","Maryland",969,920,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chevy Chase Village","Montgomery County","Maryland",2047,1953,2043,749,2118,2265,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church Creek","Dorchester County","Maryland",124,125,85,113,124,130,146,187,0,0,0,0,0,396,331,0,0,0,0,0,0,0,0,0
"Church Hill","Queen Anne’s County","Maryland",736,745,530,481,319,247,263,271,316,232,276,306,368,596,230,0,0,0,0,0,0,0,0,0
"Clear Spring","Washington County","Maryland",353,358,455,415,477,499,488,558,500,539,538,521,474,0,721,702,0,0,0,0,0,0,0,0
"College Park","Prince George’s County","Maryland",32256,30413,24657,21927,23614,26156,18482,11170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colmar Manor","Prince George’s County","Maryland",1460,1404,1257,1249,1286,1715,1772,1732,1480,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cottage City","Prince George’s County","Maryland",1363,1305,1136,1236,1122,993,1099,1249,1044,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crisfield","Somerset County","Maryland",2671,2726,2723,2880,2924,3078,3540,3688,3908,3850,4116,3468,3165,1565,986,0,0,0,0,0,0,0,0,0
"Cumberland","Allegany County","Maryland",20235,20859,21518,23706,25933,29724,33415,37679,39483,37747,29837,21839,17128,12729,10693,8056,4078,6073,2428,0,0,0,0,0
"Deer Park","Garrett County","Maryland",385,399,405,419,486,306,379,320,329,249,247,268,293,179,195,0,0,0,0,0,0,0,0,0
"Delmar","Wicomico County","Maryland",3021,3003,1859,1430,1232,1191,1291,1328,1184,1180,1291,959,659,0,135,0,0,0,0,0,0,0,0,0
"Denton","Caroline County","Maryland",4344,4418,2960,2977,1927,1561,1938,1806,1572,1604,1570,1481,900,641,469,431,0,0,0,0,0,0,0,0
"District Heights","Prince George’s County","Maryland",6109,5837,5958,6704,6799,7846,7524,1735,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eagle Harbor","Prince George’s County","Maryland",66,63,55,38,45,14,15,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East New Market","Dorchester County","Maryland",394,400,167,153,230,251,225,264,267,222,271,280,282,0,242,0,0,0,0,0,0,0,0,0
"Easton","Talbot County","Maryland",16675,15945,11708,9372,7536,6809,6337,4836,4528,2092,3443,3083,3074,2939,3005,2110,1358,1413,0,0,0,0,0,0
"Edmonston","Prince George’s County","Maryland",1509,1445,959,851,1109,1441,1197,1190,934,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eldorado","Dorchester County","Maryland",58,59,60,49,93,99,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elkton","Cecil County","Maryland",15852,15443,11893,9073,6468,5362,5989,5245,3518,3331,2650,2487,2542,2318,1752,1797,0,1099,0,0,0,0,0,0
"Emmitsburg","Frederick County","Maryland",3026,2814,2290,1688,1552,1532,1369,1261,1412,1235,940,1054,849,844,847,706,0,812,0,0,0,0,0,0
"Fairmount Heights","Prince George’s County","Maryland",1561,1494,1508,1238,1616,1972,2308,2097,1391,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Federalsburg","Caroline County","Maryland",2667,2739,2620,2365,1952,1917,2060,1878,1748,1369,1288,1050,539,543,338,0,0,0,0,0,0,0,0,0
"Forest Heights","Prince George’s County","Maryland",2559,2447,2585,2859,2999,3497,3524,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Frederick","Frederick County","Maryland",68400,65239,52767,40148,28086,23641,21744,18142,15802,14434,11066,10411,9296,8193,8659,8526,8143,6028,5182,4427,3640,0,0,0
"Friendsville","Garrett County","Maryland",480,491,539,577,511,566,580,607,569,494,408,466,0,0,0,0,0,0,0,0,0,0,0,0
"Frostburg","Allegany County","Maryland",8684,9002,7873,8075,7715,7327,6722,6876,7659,5588,6017,6028,5274,3804,0,0,0,0,0,0,0,0,0,0
"Fruitland","Wicomico County","Maryland",5121,4866,3774,3511,2694,2315,1147,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Funkstown","Washington County","Maryland",887,904,983,1136,1103,1051,968,879,798,700,620,568,559,0,600,671,647,793,0,0,0,0,0,0
"Gaithersburg","Montgomery County","Maryland",66816,59933,52613,39542,26424,8344,3847,1755,1021,1068,729,625,547,0,0,0,0,0,0,0,0,0,0,0
"Galena","Kent County","Maryland",601,612,428,324,374,361,299,259,250,265,298,262,251,266,347,0,0,0,0,0,0,0,0,0
