"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Abbot","Piscataquis County","Maine",701,714,630,677,576,453,404,462,466,525,572,705,716,622,695,712,796,747,661,405,0,0,0,0
"Acton","York County","Maine",2545,2447,2145,1727,1228,697,501,473,392,449,499,603,778,878,1050,1008,1218,1359,1401,1398,0,0,0,0
"Addison","Washington County","Maine",1236,1266,1209,1114,1061,773,744,846,805,867,838,985,1059,1022,1238,1201,1272,1152,1053,741,519,399,315,0
"Albion","Kennebec County","Maine",2049,2041,1946,1736,1551,1056,974,992,974,923,900,922,878,1042,1191,1356,1554,1604,1624,1393,1204,924,0,0
"Alexander","Washington County","Maine",490,499,514,478,385,169,220,282,292,312,371,374,333,337,439,456,445,544,513,336,0,0,0,0
"Alfred","York County","Maine",3076,3019,2497,2238,1890,1211,1201,1112,1039,883,738,890,937,1030,1101,1224,1256,1319,1408,1453,1271,1106,900,0
"Allagash","Aroostook County","Maine",228,239,277,359,448,456,557,680,644,438,359,245,190,200,0,0,0,0,0,0,0,0,0,0
"Alna","Lincoln County","Maine",714,709,675,571,425,315,347,350,339,294,320,457,444,512,687,747,805,916,990,1175,978,797,636,0
"Alton","Penobscot County","Maine",872,890,816,771,468,340,303,314,286,209,209,259,314,348,419,508,531,252,0,0,0,0,0,0
"Amherst","Hancock County","Maine",264,265,230,226,203,148,168,151,146,163,198,275,364,375,400,350,384,323,196,0,0,0,0,0
"Amity","Aroostook County","Maine",230,238,199,186,168,156,206,300,345,324,393,375,404,420,432,311,302,256,169,0,0,0,0,0
"Andover","Oxford County","Maine",807,821,864,953,850,791,762,756,757,788,767,757,727,740,780,757,814,710,551,399,368,0,0,0
"Anson","Somerset County","Maine",2463,2511,2583,2382,2226,2168,2252,2199,2130,2238,2593,2209,1830,1444,1555,1745,2000,848,1941,1532,948,633,373,0
"Appleton","Knox County","Maine",1330,1316,1271,1069,818,628,672,671,641,574,683,842,975,1080,1348,1485,1573,1727,891,0,0,0,0,0
"Argyle","Penobscot County","Maine",274,277,253,202,225,155,128,133,128,120,170,233,320,263,285,307,379,338,527,326,0,0,0,0
"Arrowsic","Sagadahoc County","Maine",436,427,477,498,305,188,177,172,167,135,176,147,180,177,255,252,347,0,0,0,0,0,0,0
"Arundel","York County","Maine",4176,4022,3571,2669,2150,1322,907,939,866,545,0,0,0,0,0,0,0,0,0,0,2478,2371,1900,1458
"Ashland","Aroostook County","Maine",1252,1302,1474,1542,1865,1761,1980,2370,2457,2198,2391,2173,1080,568,505,445,606,0,0,0,0,0,0,0
"Athens","Somerset County","Maine",1005,1019,847,897,802,592,602,725,742,760,766,914,896,1072,1310,1540,1417,1460,1427,1200,590,374,0,0
"Atkinson","Piscataquis County","Maine",318,326,323,332,306,213,280,400,312,394,456,528,495,605,828,810,897,895,704,418,245,0,0,0
"Auburn","Androscoggin County","Maine",22912,23055,23203,24039,23128,24151,24449,23134,19817,18571,16985,15064,12951,11250,9555,6169,4022,2840,0,0,0,0,0,0
"Augusta","Kennebec County","Maine",18705,19136,18560,21325,21819,21945,21680,20913,19360,17198,14114,13211,11683,10527,8665,7808,7609,8225,5314,3980,2457,1805,1211,0
"Aurora","Hancock County","Maine",114,114,121,82,110,72,75,91,81,86,95,114,152,175,212,212,277,217,149,0,0,0,0,0
"Avon","Franklin County","Maine",455,461,504,559,475,495,436,391,387,302,384,380,448,439,571,610,802,778,827,745,450,304,0,0
"Baileyville","Washington County","Maine",1467,1521,1686,2031,2188,2167,1863,1821,2018,2017,2243,1137,215,226,376,377,363,431,329,189,0,0,0,0
"Baldwin","Cumberland County","Maine",1579,1525,1290,1219,1140,878,773,725,721,694,700,791,821,932,1123,1101,1227,1100,1134,947,1120,546,370,190
"Bancroft","Aroostook County","Maine",66,68,61,66,61,53,94,165,216,245,315,344,318,264,220,177,304,157,0,0,0,0,0,0
"Bangor","Penobscot County","Maine",32568,33039,31473,33181,31643,33168,38912,31558,29822,28749,25978,24803,21850,19103,16856,18289,16407,14432,8627,2867,1221,850,277,0
"Bar Harbor","Hancock County","Maine",5308,5235,4820,4443,4124,3716,3807,3864,4378,4486,3622,4441,4379,1946,1629,1195,1247,1127,1054,957,764,657,400,0
"Baring","Washington County","Maine",242,251,273,275,308,181,0,157,190,204,227,228,231,273,303,364,409,380,376,159,0,0,0,0
"Bath","Sagadahoc County","Maine",8324,8514,9266,9799,10246,9679,10717,10644,10235,9110,14731,9396,10477,8723,7874,7371,8076,8020,5141,3773,3026,2491,1225,949
"Beals","Washington County","Maine",498,508,618,667,695,663,640,590,513,524,0,0,0,0,0,0,0,0,0,55,0,0,0,0
