"NAME","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820
"Addison","Lenawee County","Michigan",597,605,627,632,655,595,575,488,465,452,416,474,470,425,291,0,0,0,0,0,0
"Adrian","Lenawee County","Michigan",20840,21133,21574,22097,21276,20382,20347,18393,14230,13064,11878,10763,9654,8756,7849,8438,6213,0,0,0,0
"Ahmeek","Keweenaw County","Michigan",150,146,157,148,210,238,265,360,475,624,892,766,0,0,0,0,0,0,0,0,0
"Akron","Tuscola County","Michigan",394,402,461,421,538,525,503,431,413,441,505,0,0,0,0,0,0,0,0,0,0
"Alanson","Emmet County","Michigan",747,738,785,677,508,362,290,319,330,287,332,473,0,0,0,0,0,0,0,0,0
"Albion","Calhoun County","Michigan",8267,8616,9144,10066,11059,12112,12749,10406,8345,8324,8354,5833,4519,3763,2716,0,0,881,0,0,0
"Algonac","St. Clair County","Michigan",4056,4110,4613,4551,4412,3684,3190,2639,1931,1736,1303,1204,1216,0,712,754,0,0,0,0,0
"Allegan","Allegan County","Michigan",5070,4998,4838,4547,4576,4516,4822,4801,4526,3941,3637,3419,2667,2669,2305,2374,0,0,0,0,0
"Allen","Hillsdale County","Michigan",188,191,225,201,266,385,325,0,0,0,0,0,0,0,594,0,0,0,0,0,0
"Allen Park","Wayne County","Michigan",27566,28210,29376,31092,34196,40747,37494,12329,3487,944,0,0,0,0,0,0,0,0,0,0,0
"Alma","Gratiot County","Michigan",9232,9383,9275,9034,9652,9611,8978,8341,7202,6734,7542,2757,2047,1655,437,402,0,0,0,0,0
"Almont","Lapeer County","Michigan",2694,2674,2803,2354,1857,1634,1279,1035,924,844,789,675,718,717,837,0,0,0,0,0,0
"Alpena","Alpena County","Michigan",10247,10483,11304,11354,12214,13805,14682,13135,12808,12166,11101,12706,11802,11283,6153,0,0,0,0,0,0
"Alpha","Iron County","Michigan",138,145,198,219,229,282,317,378,497,560,818,0,0,0,0,0,0,0,0,0,0
"Ann Arbor","Washtenaw County","Michigan",117770,113934,114024,109592,107969,100035,67340,48251,29815,26944,19516,14817,14509,9431,8061,7363,5097,0,0,0,0
"Applegate","Sanilac County","Michigan",241,248,287,297,257,301,252,244,231,207,177,155,0,0,0,0,0,0,0,0,0
"Armada","Macomb County","Michigan",1744,1730,1573,1548,1392,1352,1111,961,865,840,711,748,863,638,556,494,0,0,0,0,0
"Ashley","Gratiot County","Michigan",556,563,526,518,570,521,448,449,466,419,596,513,617,711,0,0,0,0,0,0,0
"Athens","Calhoun County","Michigan",1012,1024,1111,990,960,996,966,768,658,622,553,631,583,441,597,0,0,0,0,0,0
"Auburn","Bay County","Michigan",2121,2087,2011,1855,1921,1919,1497,869,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auburn Hills","Oakland County","Michigan",21845,21412,19837,17076,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
"Au Gres","Arenac County","Michigan",863,889,1028,838,768,564,584,442,317,203,199,252,0,0,0,0,0,0,0,0,0
"Augusta","Kalamazoo County","Michigan",903,885,899,927,913,1025,972,898,785,711,651,494,541,498,0,0,0,0,0,0,0
"Bad Axe","Huron County","Michigan",3029,3129,3462,3484,3184,2999,2998,2973,2624,2332,2140,1559,1241,842,190,0,0,0,0,0,0
"Baldwin","Lake County","Michigan",1187,1208,1107,821,674,612,835,835,612,518,471,502,343,429,165,0,0,0,0,0,0
"Bancroft","Shiawassee County","Michigan",526,545,616,599,618,724,636,615,581,439,529,543,528,642,387,0,0,0,0,0,0
"Bangor","Van Buren County","Michigan",1858,1885,1933,1922,2001,2050,2109,1694,1409,1274,1243,1158,1021,904,1102,0,0,0,0,0,0
"Baraga","Baraga County","Michigan",2014,2053,1285,1231,1055,1116,991,942,1110,1045,942,1071,1185,0,0,0,0,0,0,0,0
"Baroda","Berrien County","Michigan",856,873,858,657,627,504,488,344,302,291,223,248,0,0,0,0,0,0,0,0,0
"Barryton","Mecosta County","Michigan",359,355,381,393,422,368,418,445,342,331,364,411,0,0,0,0,0,0,0,0,0
"Barton Hills","Washtenaw County","Michigan",303,294,335,320,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Battle Creek","Calhoun County","Michigan",51833,52347,53364,53540,35724,38931,44169,48666,43453,43573,36164,25267,18563,13197,7063,5838,0,1064,0,0,0
"Bay City","Bay County","Michigan",34149,34932,36817,38936,41593,49449,53604,52523,47956,47355,47554,45166,27628,27839,20693,7064,1583,0,0,0,0
"Bear Lake","Manistee County","Michigan",282,286,318,339,388,376,323,364,327,325,323,504,448,432,236,0,0,0,0,0,0
"Beaverton","Gladwin County","Michigan",1060,1071,1106,1150,1025,954,926,794,641,528,549,418,0,0,0,0,0,0,0,0,0
"Belding","Ionia County","Michigan",5784,5757,5877,5969,5634,5121,4887,4436,4089,4140,3911,4119,3282,1730,562,0,0,0,0,0,0
"Bellaire","Antrim County","Michigan",1071,1086,1164,1104,1063,897,689,693,652,517,624,1050,1157,0,65,0,0,0,0,0,0
"Belleville","Wayne County","Michigan",3872,3991,3997,3270,3366,2406,1921,1722,1286,758,626,486,0,367,314,0,0,0,0,0,0
"Bellevue","Eaton County","Michigan",1276,1282,1365,1401,1289,1297,1277,1168,1011,1029,1035,930,1074,914,628,608,0,0,0,0,0
"Benton Harbor","Berrien County","Michigan",10018,10038,11182,12818,14707,16481,19136,18769,16668,15434,12233,9185,6562,3692,1230,661,0,0,0,0,0
"Benzonia","Benzie County","Michigan",493,497,519,449,466,412,407,407,340,623,543,563,484,0,0,0,0,0,0,0,0
"Berkley","Oakland County","Michigan",15273,14970,15531,16960,18637,21879,23275,17931,6406,5571,0,0,0,0,0,0,0,0,0,0,0
"Berrien Springs","Berrien County","Michigan",1776,1800,1862,1927,2042,1951,1953,1761,1510,1413,918,880,808,745,758,662,0,0,0,0,0
"Bessemer","Gogebic County","Michigan",1810,1905,2148,2272,2553,2805,3304,3509,4080,4035,5482,4583,3911,2566,0,0,0,0,0,0,0
"Beulah","Benzie County","Michigan",342,342,363,421,454,461,436,458,378,0,0,0,0,0,0,0,0,0,0,0,0
"Beverly Hills","Oakland County","Michigan",10448,10267,10437,10610,11598,13598,8633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Big Rapids","Mecosta County","Michigan",10443,10601,10849,12603,14361,11995,8686,6736,4987,4671,4558,4519,4686,5303,3552,1237,0,0,0,0,0
"Bingham Farms","Oakland County","Michigan",1131,1111,1030,1001,529,566,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birch Run","Saginaw County","Michigan",1495,1555,1653,992,1196,932,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham","Oakland County","Michigan",20757,20103,19291,19997,21689,26170,25525,15467,11196,9539,3694,1607,1170,899,733,0,0,0,0,0,0
"Blissfield","Lenawee County","Michigan",3267,3340,3223,3172,3107,2753,2653,2365,2144,2103,1906,1474,1268,1132,1222,0,0,0,0,0,0
"Bloomfield Hills","Oakland County","Michigan",3990,3869,3940,4288,3985,3672,2378,1468,1281,1127,0,0,0,0,0,0,0,0,0,0,0
"Bloomingdale","Van Buren County","Michigan",445,454,528,503,537,496,471,465,553,386,486,501,379,380,292,0,0,0,0,0,0
"Boyne City","Charlevoix County","Michigan",3760,3735,3503,3478,3348,2969,2797,3028,2904,2650,4284,5218,912,450,0,0,0,0,0,0,0
"Boyne Falls","Charlevoix County","Michigan",294,294,370,369,378,347,260,236,213,199,241,325,431,0,187,0,0,0,0,0,0
"Breckenridge","Gratiot County","Michigan",1309,1328,1339,1301,1495,1257,1131,985,868,685,698,595,0,0,237,0,0,0,0,0,0
"Breedsville","Van Buren County","Michigan",197,199,235,213,244,209,245,239,184,167,140,219,236,212,300,255,252,0,0,0,0
"Bridgman","Berrien County","Michigan",2261,2291,2428,2140,2235,1621,1454,977,774,848,0,0,0,0,194,0,0,0,0,0,0
"Brighton","Livingston County","Michigan",7636,7444,6701,5686,4268,2457,2282,1861,1353,1287,800,767,781,741,803,454,252,0,0,0,0
"Britton","Lenawee County","Michigan",574,586,699,694,693,697,622,517,409,368,383,370,345,0,0,0,0,0,0,0,0
"Bronson","Branch County","Michigan",2325,2349,2421,2342,2271,2390,2267,2106,1871,1651,1257,1020,1176,875,826,0,0,0,0,0,0
"Brooklyn","Jackson County","Michigan",1199,1206,1176,1027,1110,1112,986,862,749,733,611,662,494,596,470,544,334,0,0,0,0
"Brown City","Sanilac County","Michigan",1279,1325,1334,1244,1163,1142,993,878,838,785,828,690,603,437,0,0,0,0,0,0,0
"Buchanan","Berrien County","Michigan",4390,4456,4681,4992,5142,4645,5341,5224,4056,3922,3187,1831,1708,1994,1894,1702,0,0,0,0,0
"Buckley","Wexford County","Michigan",703,697,550,402,357,244,247,194,217,236,352,464,0,0,0,0,0,0,0,0,0
"Burlington","Calhoun County","Michigan",258,261,405,294,367,314,366,329,207,198,194,237,334,304,328,0,0,0,0,0,0
"Burr Oak","St. Joseph County","Michigan",820,828,797,882,853,873,867,814,706,680,589,752,744,687,721,724,666,0,0,0,0
"Burton","Genesee County","Michigan",28974,29999,30308,27617,29976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byron","Shiawassee County","Michigan",562,581,595,573,689,655,542,439,469,387,376,427,432,413,355,0,0,0,0,0,0
"Cadillac","Wexford County","Michigan",10335,10355,10000,10104,10199,9990,10112,10425,9855,9570,9750,8375,5997,4461,2213,0,0,0,0,0,0
"Caledonia","Kent County","Michigan",1572,1511,1102,885,722,716,739,619,467,469,432,422,427,438,340,0,0,0,0,0,0
"Calumet","Houghton County","Michigan",708,726,879,818,1013,1007,1139,1256,1460,1557,2390,4211,4668,3073,2140,0,0,0,0,0,0
"Camden","Hillsdale County","Michigan",503,512,550,482,420,405,434,380,385,316,398,392,376,0,191,0,0,0,0,0,0
"Capac","St. Clair County","Michigan",1856,1890,1775,1583,1377,1279,1235,1104,920,837,791,761,547,0,544,0,0,0,0,0,0
"Carleton","Monroe County","Michigan",2350,2345,2562,2770,2786,1503,1379,1039,864,837,498,0,0,386,434,0,0,0,0,0,0
"Carney","Menominee County","Michigan",190,192,225,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caro","Tuscola County","Michigan",4116,4229,4145,4054,4317,3701,3534,3464,3070,2554,2704,2272,2006,1701,1282,0,0,0,0,0,0
"Carson City","Montcalm County","Michigan",1090,1093,1190,1158,1229,1217,1201,1168,1112,972,973,808,906,921,709,0,0,0,0,0,0
"Carsonville","Sanilac County","Michigan",512,527,502,583,622,621,502,487,433,444,536,401,400,0,0,0,0,0,0,0,0
"Caseville","Huron County","Michigan",749,777,888,857,851,607,659,482,451,412,385,442,507,508,634,0,0,0,0,0,0
"Casnovia","Kent/Muskegon County","Michigan",325,319,315,376,348,403,371,312,289,254,333,308,277,275,196,0,0,0,0,0,0
"Caspian","Iron County","Michigan",871,906,997,1031,1038,1165,1493,1608,1797,1888,1912,0,0,0,0,0,0,0,0,0,0
"Cass City","Tuscola County","Michigan",2366,2428,2643,2276,2258,1974,1945,1762,1362,1201,1228,1126,1113,813,313,0,0,0,0,0,0
"Cassopolis","Cass County","Michigan",1738,1774,1740,1822,1933,2108,2027,1527,1488,1448,1385,1358,1330,1369,912,728,0,379,0,0,0
"Cedar Springs","Kent County","Michigan",3601,3509,3112,2600,2615,1807,1768,1378,1101,1104,1020,947,950,1035,1141,0,0,0,0,0,0
