"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Ada","Norman County","Minnesota",1650,1707,1657,1708,1971,2076,2064,2121,1938,1285,1411,1432,1253,622,138,0,0,0
"Adams","Mower County","Minnesota",785,787,800,756,797,771,806,663,674,574,609,576,573,216,96,0,0,0
"Adrian","Nobles County","Minnesota",1217,1209,1234,1141,1336,1350,1215,1115,1066,1000,1087,1112,1258,671,193,0,0,0
"Afton","Washington County","Minnesota",2953,2886,2839,2645,2550,248,158,142,132,148,183,0,0,0,130,0,0,0
"Aitkin","Aitkin County","Minnesota",2079,2165,1984,1698,1770,1553,1829,2079,2063,1545,1490,1638,1719,737,136,0,0,0
"Akeley","Hubbard County","Minnesota",431,432,412,393,486,468,434,525,566,514,855,0,0,0,0,0,0,0
"Albany","Stearns County","Minnesota",2618,2561,1796,1548,1569,1599,1375,1196,975,851,824,657,517,0,0,0,0,0
"Alberta","Stevens County","Minnesota",102,103,142,136,145,140,149,139,200,153,109,0,0,0,0,0,0,0
"Albert Lea","Freeborn County","Minnesota",17815,18016,18356,18310,19200,19418,17108,13545,12200,10169,8056,6192,4500,3305,1966,0,262,0
"Albertville","Wright County","Minnesota",7281,7044,3621,1251,564,451,279,238,243,217,268,222,0,0,0,0,0,0
"Alden","Freeborn County","Minnesota",650,661,652,623,687,713,694,668,544,532,530,544,636,276,235,0,0,0
"Aldrich","Wadena County","Minnesota",47,48,53,70,88,85,90,131,152,0,0,0,0,0,0,0,0,0
"Alexandria","Douglas County","Minnesota",11680,11070,8820,7838,7608,6973,6713,6319,5051,3876,3388,3001,2681,2118,1355,0,0,0
"Alpha","Jackson County","Minnesota",128,116,126,105,180,179,207,230,229,209,261,223,209,0,0,0,0,0
"Altura","Winona County","Minnesota",491,493,417,349,354,334,320,269,258,256,189,200,0,0,0,0,0,0
"Alvarado","Marshall County","Minnesota",357,363,371,356,385,302,282,317,336,323,361,128,0,0,0,0,0,0
"Amboy","Blue Earth County","Minnesota",525,534,575,517,606,571,629,585,576,593,527,435,432,215,56,0,0,0
"Andover","Anoka County","Minnesota",31996,30598,26588,15216,9387,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annandale","Wright County","Minnesota",3295,3228,2684,2054,1568,1234,984,899,755,663,644,624,481,211,0,0,0,0
"Anoka","Anoka County","Minnesota",17276,17142,18076,17192,15634,13298,10562,7396,6426,4851,4287,3972,3769,4252,2706,0,0,0
"Appleton","Swift County","Minnesota",1356,1412,2871,1552,1842,1789,2172,2256,1877,1625,1579,1221,1184,994,400,0,0,0
"Apple Valley","Dakota County","Minnesota",50487,49084,45527,34598,21818,8502,0,0,0,0,0,0,0,0,0,0,0,0
"Arco","Lincoln County","Minnesota",73,75,100,104,96,121,140,178,243,185,231,97,0,0,0,0,0,0
"Arden Hills","Ramsey County","Minnesota",9876,9552,9652,9199,8012,5149,3930,0,0,0,0,0,0,0,0,0,0,0
"Argyle","Marshall County","Minnesota",637,639,656,636,741,739,789,846,857,700,956,744,829,306,0,0,0,0
