"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830
"Adrian","Bates County","Missouri",1637,1677,1780,1582,1484,1259,1082,905,868,934,955,929,629,613,0,0,0,0,0,0
"Advance","Stoddard County","Missouri",1364,1347,1244,1139,1054,903,692,733,614,579,551,621,221,0,0,0,0,0,0,0
"Agency","Buchanan County","Missouri",675,684,599,642,419,141,240,234,361,349,403,429,380,0,265,0,0,0,0,0
"Airport Drive","Jasper County","Missouri",836,698,622,818,502,300,292,225,0,0,0,0,0,0,0,0,0,0,0,0
"Alba","Jasper County","Missouri",540,555,588,465,474,365,336,352,318,354,470,0,0,0,0,0,0,0,0,0
"Albany","Gentry County","Missouri",1745,1730,1937,1958,2152,1804,1662,1850,2010,1858,2016,1922,2025,1334,979,607,476,0,0,0
"Aldrich","Polk County","Missouri",80,80,75,76,53,66,181,198,239,283,261,225,189,0,0,0,0,0,0,0
"Alexandria","Clark County","Missouri",155,159,166,341,417,453,452,465,0,0,0,0,0,536,760,688,952,0,0,0
"Allendale","Worth County","Missouri",51,53,54,58,95,104,136,142,212,166,153,243,0,0,0,0,0,0,0,0
"Allenville","Cape Girardeau County","Missouri",118,116,104,69,0,0,0,0,0,190,270,257,148,173,122,0,0,0,0,0
"Alma","Lafayette County","Missouri",394,402,399,446,445,380,390,357,366,361,369,319,248,179,53,0,0,0,0,0
"Altamont","Daviess County","Missouri",201,204,218,188,192,225,190,178,274,272,349,270,288,0,0,0,0,0,0,0
"Altenburg","Perry County","Missouri",352,352,309,307,280,277,260,272,264,289,313,279,222,183,234,200,0,0,0,0
"Alton","Oregon County","Missouri",874,871,668,692,721,715,677,571,576,439,0,0,0,0,127,76,0,0,0,0
"Amazonia","Andrew County","Missouri",308,312,277,257,314,326,326,308,321,359,367,456,407,282,262,0,0,0,0,0
"Amity","DeKalb County","Missouri",54,54,70,99,74,86,111,128,172,149,174,173,0,0,0,0,0,0,0,0
"Amoret","Bates County","Missouri",186,190,211,212,238,219,261,255,328,344,390,307,215,0,0,0,0,0,0,0
"Amsterdam","Bates County","Missouri",236,242,281,237,231,120,118,160,172,179,188,162,142,0,0,0,0,0,0,0
"Anderson","McDonald County","Missouri",1993,1961,1856,1432,1237,1065,992,1073,938,857,918,721,0,0,0,0,0,0,0,0
"Annada","Pike County","Missouri",29,29,48,70,70,109,105,93,110,72,0,0,0,0,0,0,0,0,0,0
"Annapolis","Iron County","Missouri",349,345,310,363,370,330,334,490,390,344,176,160,195,690,153,0,0,0,0,0
"Anniston","Mississippi County","Missouri",230,232,285,288,320,515,307,377,379,378,365,364,155,0,0,0,0,0,0,0
"Appleton City","St. Clair County","Missouri",1094,1127,1314,1280,1257,1058,1075,1150,1188,1136,1262,1018,1133,1081,1034,0,0,0,0,0
"Arbela","Scotland County","Missouri",42,41,40,40,67,70,70,87,90,106,121,131,169,122,144,0,0,0,0,0
"Arbyrd","Dunklin County","Missouri",494,509,528,597,704,575,667,679,489,253,0,0,0,0,0,0,0,0,0,0
"Arcadia","Iron County","Missouri",583,608,567,609,683,627,489,414,346,273,0,289,205,408,259,250,135,0,0,0
"Archie","Cass County","Missouri",1180,1170,890,799,753,525,348,300,293,253,250,246,285,278,0,0,0,0,0,0
"Arcola","Dade County","Missouri",54,55,45,72,136,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyle","Osage County","Missouri",161,162,164,178,216,262,99,162,209,213,239,176,0,0,0,0,0,0,0,0
"Arkoe","Nodaway County","Missouri",66,68,58,64,63,49,36,48,73,99,132,87,0,0,33,0,0,0,0,0
"Armstrong","Howard County","Missouri",287,284,287,310,360,354,387,424,468,548,616,579,461,248,76,0,0,0,0,0
"Arnold","Jefferson County","Missouri",21243,20808,19965,18828,19141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
