"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810
"Abbeville","Lafayette County","Mississippi",438,419,423,399,448,0,0,0,0,243,235,243,255,0,223,0,0,0,0,0,0,0
"Aberdeen","Monroe County","Mississippi",5432,5612,6415,6837,7184,6507,6450,5290,4746,3925,4071,3708,3434,3449,2339,2022,0,0,,,,
"Ackerman","Choctaw County","Mississippi",1484,1510,1696,1573,1598,1502,1382,1463,1528,1169,1264,1398,706,0,0,0,0,0,0,0,0,0
"Algoma","Pontotoc County","Mississippi",605,590,508,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alligator","Bolivar County","Mississippi",202,208,220,187,256,280,227,214,206,278,263,0,0,0,0,0,0,0,0,0,0,0
"Amory","Monroe County","Mississippi",7107,7316,6956,7093,7307,7236,6474,4990,3727,3214,2861,2122,1211,739,0,0,0,0,0,0,0,0
"Anguilla","Sharkey County","Mississippi",675,726,907,883,950,612,580,601,493,467,361,0,0,0,0,0,0,0,0,0,0,0
"Arcola","Washington County","Mississippi",362,361,563,564,588,517,366,413,444,343,453,512,0,0,0,0,0,0,0,0,0,0
"Artesia","Lowndes County","Mississippi",433,440,498,484,520,444,469,594,521,612,583,535,343,313,150,0,0,0,0,0,0,0
"Ashland","Benton County","Mississippi",543,569,577,490,532,348,309,328,354,228,190,146,162,138,174,0,0,0,0,0,0,0
"Baldwyn","Lee/Prentiss County","Mississippi",3334,3297,3321,3204,3427,2366,2023,1567,1279,1106,922,787,560,0,477,133,0,0,0,0,0,0
"Bassfield","Jefferson Davis County","Mississippi",231,254,315,249,325,354,295,320,277,334,265,344,0,0,0,0,0,0,0,0,0,0
"Batesville","Panola County","Mississippi",7439,7463,7113,6403,5162,3796,3284,2463,1815,1062,1050,774,556,705,442,227,0,0,,,,
"Bay Springs","Jasper County","Mississippi",1743,1786,2097,1729,1884,1801,1544,1302,1228,927,861,836,0,0,0,0,0,0,0,0,0,0
"Bay St. Louis","Hancock County","Mississippi",11388,9260,8209,8063,7850,6752,5073,4621,4138,3724,3033,3388,2872,1974,1978,0,0,0,0,0,0,0
"Beaumont","Perry County","Mississippi",941,951,977,1054,1112,1061,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beauregard","Copiah County","Mississippi",327,326,265,206,185,199,193,231,223,203,173,240,338,0,517,315,0,0,0,0,0,0
"Belmont","Tishomingo County","Mississippi",2024,2021,1961,1554,1420,1237,901,814,594,703,459,367,0,0,0,0,0,0,0,0,0,0
"Belzoni","Humphreys County","Mississippi",2088,2235,2663,2536,2982,3394,4142,4071,3789,2735,2277,1059,263,0,0,0,0,0,0,0,0,0
"Benoit","Bolivar County","Mississippi",465,477,611,641,499,473,453,444,406,438,443,412,0,0,0,0,0,0,0,0,0,0
"Bentonia","Yazoo County","Mississippi",429,440,500,390,518,544,511,496,440,0,0,0,0,0,180,0,0,0,0,0,0,0
"Beulah","Bolivar County","Mississippi",337,348,473,460,431,443,421,342,347,506,0,0,0,0,0,0,0,0,0,0,0,0
"Big Creek","Calhoun County","Mississippi",152,154,127,123,146,148,100,147,147,140,107,0,0,0,0,0,0,0,0,0,0,0
"Biloxi","Harrison County","Mississippi",44984,44054,50644,46319,49311,48486,44053,37425,17475,14850,10937,8049,5467,3234,1540,954,0,0,0,0,0,0
"Blue Mountain","Tippah County","Mississippi",918,920,670,667,867,677,741,875,544,569,654,650,466,0,156,0,0,0,0,0,0,0
"Blue Springs","Union County","Mississippi",231,228,144,140,131,125,99,125,183,171,167,167,198,0,0,0,0,0,0,0,0,0
"Bolton","Hinds County","Mississippi",554,567,629,637,664,787,797,741,627,441,494,632,600,0,440,0,0,0,0,0,0,0
"Booneville","Prentiss County","Mississippi",8804,8743,8625,7955,6199,5895,3480,3295,1893,1703,1495,1337,1050,748,603,458,0,0,,,,
"Boyle","Bolivar County","Mississippi",633,650,720,651,888,861,848,799,742,678,702,444,538,0,0,0,0,0,0,0,0,0
"Brandon","Rankin County","Mississippi",23156,21705,16436,11077,9626,2685,2139,1827,1184,692,691,720,775,835,864,756,867,0,,,,
"Braxton","Simpson County","Mississippi",183,183,181,141,172,180,191,206,220,222,237,286,0,0,0,0,0,0,0,0,0,0
"Brookhaven","Lincoln County","Mississippi",12470,12513,9861,10243,10800,10700,9885,7801,6232,5288,4706,5293,2678,2142,1615,1614,996,0,,,,
"Brooksville","Noxubee County","Mississippi",1178,1223,1182,1098,1038,978,857,819,764,875,854,850,612,424,284,0,0,0,0,0,0,0
"Bruce","Calhoun County","Mississippi",1912,1939,2097,2127,2208,2033,1698,1719,1385,946,0,0,0,0,0,0,0,0,0,0,0,0
"Bude","Franklin County","Mississippi",1025,1063,1037,969,1092,1146,1185,1195,1207,1378,1121,0,0,0,0,0,0,0,0,0,0,0
