"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870
"Alberton","Mineral County","Montana",423,420,374,354,368,363,356,326,283,276,0,0,0,0,0,0
"Anaconda","Deer Lodge County","Montana",9150,9298,9417,10278,12518,9771,12054,11254,11004,12494,11668,10134,9453,3975,0,0
"Bainville","Roosevelt County","Montana",299,208,153,165,245,217,285,356,403,471,396,0,0,0,0,0
"Baker","Fallon County","Montana",1911,1741,1695,1818,2354,2584,2365,1772,1304,1212,1067,0,0,0,0,0
"Bearcreek","Carbon County","Montana",83,79,83,37,61,31,61,162,324,472,744,302,0,0,0,0
"Belgrade","Gallatin County","Montana",7798,7389,5728,3411,2336,1307,1057,663,618,533,499,561,0,0,30,0
"Belt","Cascade County","Montana",604,597,633,571,825,656,757,702,744,810,967,1158,0,0,0,0
"Big Sandy","Chouteau County","Montana",607,598,703,740,835,827,954,743,596,633,589,0,0,0,0,0
"Big Timber","Sweet Grass County","Montana",1650,1641,1650,1557,1690,1592,1660,1679,1533,1224,1282,1022,0,0,0,0
"Billings","Yellowstone County","Montana",108869,104170,89847,81151,66818,61581,52851,31834,23261,16380,15100,10031,3221,836,0,0
"Boulder","Jefferson County","Montana",1202,1183,1300,1316,1441,1342,1394,1017,510,926,682,0,0,0,214,0
"Bozeman","Gallatin County","Montana",41660,37280,27509,22660,21645,18670,13361,11325,8665,6855,6183,5107,3419,2143,894,168
"Bridger","Carbon County","Montana",732,708,745,692,724,717,824,854,783,567,679,514,0,0,0,0
"Broadus","Powder River County","Montana",482,468,451,572,712,799,628,517,0,0,0,0,0,0,0,0
"Broadview","Yellowstone County","Montana",195,192,150,133,120,123,160,164,140,260,191,0,0,0,0,0
"Brockton","Roosevelt County","Montana",277,255,245,365,374,401,367,0,0,0,0,0,0,0,0,0
"Browning","Glacier County","Montana",1032,1016,1065,1170,1226,1700,2011,1691,1825,1172,986,0,0,0,0,0
"Butte-Silver Bow","Silver Bow County","Montana",33980,33525,33892,33336,37205,23368,27877,33251,37081,39532,41611,39165,30470,10723,3363,0
"Cascade","Cascade County","Montana",705,685,819,729,773,714,604,447,419,520,465,0,0,0,0,0
"Chester","Liberty County","Montana",860,847,871,942,963,936,1158,733,548,387,402,0,0,0,0,0
"Chinook","Blaine County","Montana",1230,1203,1386,1512,1660,1813,2326,2307,2051,1320,1217,780,0,0,0,0
"Choteau","Teton County","Montana",1698,1684,1781,1741,1798,1586,1966,1618,1181,926,1043,0,0,0,0,0
"Circle","McCone County","Montana",609,615,644,805,931,964,1117,856,685,519,0,0,0,0,0,0
"Clyde Park","Park County","Montana",295,288,310,282,283,244,253,280,216,302,352,0,0,0,0,0
"Colstrip","Rosebud County","Montana",2316,2214,2346,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia Falls","Flathead County","Montana",4922,4688,3645,2942,3112,2652,2132,1232,637,637,611,601,0,0,0,0
"Columbus","Stillwater County","Montana",1996,1893,1748,1573,1439,1173,1281,1097,962,834,987,521,0,0,0,0
"Conrad","Pondera County","Montana",2604,2570,2753,2891,3074,2770,2665,1865,1471,1499,988,888,0,0,0,0
"Culbertson","Roosevelt County","Montana",794,714,716,796,887,821,919,779,585,0.536,547,528,0,0,0,0
"Cut Bank","Glacier County","Montana",2996,2869,3105,3329,3688,4004,4539,3721,2509,845,1181,0,0,0,0,0
"Darby","Ravalli County","Montana",737,720,710,625,581,538,398,415,481,285,325,0,0,0,0,0
"Deer Lodge","Powell County","Montana",3017,3111,3421,3378,4023,4306,4681,3779,3278,3510,3780,2570,1324,1463,941,0
"Denton","Fergus County","Montana",248,255,301,350,356,398,410,435,406,345,431,0,0,0,0,0
"Dillon","Beaverhead County","Montana",4223,4134,3752,3991,3976,4548,3690,3268,3014,2422,2701,1835,1530,1012,0,0
"Dodson","Phillips County","Montana",123,124,122,137,158,196,313,330,397,249,365,0,0,0,0,0
"Drummond","Granite County","Montana",334,309,318,264,414,494,577,531,0,0,0,0,0,0,0,0
"Dutton","Teton County","Montana",311,316,389,392,359,415,504,431,447,0,0,0,0,0,0,0
"East Helena","Lewis and Clark County","Montana",2060,1984,1642,1538,1647,1651,1490,1216,1143,1039,0,0,0,0,0,0
"Ekalaka","Carter County","Montana",343,332,410,439,620,663,738,904,719,475,433,0,0,0,0,0
"Ennis","Madison County","Montana",871,838,840,773,660,501,525,0,0,0,0,0,0,0,0,0
"Eureka","Lincoln County","Montana",1082,1037,1017,1043,1119,1195,1229,929,912,860,1082,603,0,0,0,0
"Fairfield","Teton County","Montana",724,708,659,660,650,638,752,693,0,0,0,0,0,0,0,0
"Fairview","Richland County","Montana",964,840,709,869,1366,956,1006,942,901,576,513,0,0,0,0,0
"Flaxville","Daniels County","Montana",72,71,87,88,142,185,262,0,0,0,0,0,0,0,0,0
"Forsyth","Rosebud County","Montana",1874,1777,1944,2178,2553,1873,2032,1906,1696,1591,1838,1398,0,0,0,0
"Fort Benton","Chouteau County","Montana",1490,1464,1594,1660,1693,1863,1887,1522,1227,1109,1065,1004,1024,624,1618,0
"Fort Peck","Valley County","Montana",250,233,240,325,0,0,0,0,0,0,0,0,0,0,0,0
"Froid","Roosevelt County","Montana",203,185,195,195,323,330,418,555,441,434,410,0,0,0,0,0
"Fromberg","Carbon County","Montana",444,438,486,370,469,364,367,442,533,446,520,0,0,0,0,0
"Geraldine","Chouteau County","Montana",271,261,284,299,305,370,364,374,262,279,354,0,0,0,0,0
"Glasgow","Valley County","Montana",3380,3250,3253,3572,4455,4700,6398,3821,3799,2216,2059,1158,0,0,0,0
"Glendive","Dawson County","Montana",5399,4935,4729,4802,5978,6305,7058,5254,4524,4629,3816,2428,0,0,0,0
"Grass Range","Fergus County","Montana",109,110,149,159,139,181,222,234,206,212,262,0,0,0,0,0
"Great Falls","Cascade County","Montana",59152,58505,56690,55097,56884,60091,55244,39214,29928,28822,24121,13948,14930,3979,0,0
"Hamilton","Ravalli County","Montana",4594,4348,3705,2737,2661,2499,2475,2678,2332,1839,1700,2240,1257,0,50,0
"Hardin","Big Horn County","Montana",3796,3505,3384,2940,3300,2733,2789,2306,1886,1169,1312,0,0,0,0,0
"Harlem","Blaine County","Montana",830,808,848,882,1023,1094,1267,1107,1166,708,721,383,0,0,0,0
"Harlowton","Wheatland County","Montana",974,997,1062,1049,1181,1375,1734,1733,1547,1473,1856,770,0,0,0,0
"Havre","Hill County","Montana",9792,9310,9621,10201,10891,10558,10740,8086,6427,6372,5429,3624,1033,0,0,0
"Helena","Lewis and Clark County","Montana",29943,28190,25780,24569,23938,22730,20227,17581,15056,11803,12037,12515,10770,13834,3624,3106
"Hingham","Hill County","Montana",122,118,157,181,186,262,254,214,205,251,154,0,0,0,0,0
"Hobson","Judith Basin County","Montana",219,215,244,226,261,192,207,205,239,240,0,0,0,0,0,0
"Hot Springs","Sanders County","Montana",551,544,531,411,601,664,585,733,663,447,0,0,0,0,0,0
"Hysham","Treasure County","Montana",302,312,330,361,449,373,494,410,392,258,360,0,0,0,0,0
"Ismay","Custer County","Montana",21,19,26,19,31,40,59,182,176,277,344,0,0,0,0,0
