"NAME","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800
"Aberdeen","Moore County","North Carolina",7131,6350,3400,2700,1945,1592,1531,1603,1076,1382,858,794,559,227,0,0,0,0,0,0,0,0,0
"Ahoskie","Hertford County","North Carolina",4973,5039,4523,4391,4887,5105,4583,3579,2313,1940,1429,924,302,0,0,0,0,0,0,0,0,0,0
"Alamance","Alamance County","North Carolina",978,951,310,258,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albemarle","Stanly County","North Carolina",15976,15903,15680,14939,15110,11126,12261,11798,4060,3493,2691,2116,1382,248,0,0,0,0,0,0,0,0,0
"Alliance","Pamlico County","North Carolina",761,776,781,583,616,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrews","Cherokee County","North Carolina",1762,1781,1602,2551,1621,1384,1404,1397,1520,1748,1634,936,0,0,0,0,0,0,0,0,0,0,0
"Angier","Harnett County","North Carolina",4836,4350,3419,2235,1709,1431,1249,1182,1028,760,374,221,0,0,0,0,0,0,0,0,0,0,0
"Ansonville","Anson County","North Carolina",606,631,636,614,794,694,558,545,519,532,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apex","Wake County","North Carolina",43907,37476,20212,4968,2847,2234,1368,1065,977,863,926,681,349,269,228,0,0,0,0,0,0,0,0
"Arapahoe","Pamlico County","North Carolina",546,556,436,430,467,212,274,273,307,290,0,0,0,0,0,0,0,0,0,0,0,0,0
"Archdale","Randolph County","North Carolina",11539,11415,9014,6913,5326,4874,1520,1218,1097,628,178,145,182,224,0,0,0,0,0,0,0,0,0
"Archer Lodge","Yadkin County","North Carolina",4594,4292,795,795,872,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asheboro","Randolph County","North Carolina",25886,25012,21672,16362,15252,10797,9449,7701,6981,5021,2559,1865,992,510,299,182,0,176,0,0,0,0,0
"Asheville","Buncombe County","North Carolina",87882,83393,68889,61607,54022,57929,60192,53000,51310,50193,28504,18762,14694,10235,2616,1400,502,0,0,0,0,0,38
"Askewville","Bertie County","North Carolina",231,241,180,201,227,247,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atkinson","Pender County","North Carolina",320,299,236,275,298,325,302,294,312,331,296,115,0,0,0,0,0,0,0,0,0,0,0
"Atlantic Beach","Carteret County","North Carolina",1506,1495,1781,1938,941,300,76,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulander","Bertie County","North Carolina",843,895,888,1209,1214,947,1083,1112,1057,1041,803,543,342,163,0,0,0,0,0,0,0,0,0
"Aurora","Beaufort County","North Carolina",520,520,583,654,698,620,449,525,492,429,524,440,314,251,81,0,0,0,0,0,0,0,0
"Autryville","Sampson County","North Carolina",203,196,196,166,228,213,192,151,94,119,99,77,61,0,0,0,0,0,0,0,0,0,0
"Ayden","Pitt County","North Carolina",5059,4932,4622,4740,4361,3450,3108,2282,1884,1607,1673,990,557,0,0,0,0,0,0,0,0,0,0
"Badin","Stanly County","North Carolina",1976,1974,1154,1481,1514,1626,1905,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bailey","Nash County","North Carolina",567,569,670,553,685,724,795,743,645,631,518,195,0,0,0,0,0,0,0,0,0,0,0
"Bakersville","Mitchell County","North Carolina",455,464,357,332,373,409,393,428,437,426,332,416,511,0,0,0,0,0,0,0,0,0,0
"Bald Head Island","Brunswick County","North Carolina",168,158,173,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
