"Place",,"County","State",2015,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Alton","town","Belknap County","New Hampshire",5320,5250,4502,3286,2440,1647,1241,1189,1209,1261,1221,1348,1500,1372,1476,1768,2018,1795,2002,1993,2058,1279,721,445
"Barnstead","town","Belknap County","New Hampshire",4608,4593,3886,3100,2292,1119,850,846,804,791,873,1081,1072,1264,1296,1543,1885,1848,1945,2047,1805,1477,1161,807
"Belmont","town","Belknap County","New Hampshire",7315,7356,6716,5796,4026,2493,1953,1611,1374,1299,1194,1390,1294,1142,1226,1165,1189,0,0,0,0,0,0,0
"Center Harbor","town","Belknap County","New Hampshire",1098,1096,996,996,808,540,511,451,355,382,422,420,422,479,521,446,484,543,584,577,486,349,263,0
"Gilford","town","Belknap County","New Hampshire",7167,7126,6803,5867,4841,3219,2043,1251,996,783,738,744,661,3585,2821,3361,2811,2432,2072,1872,1816,0,0,0
"Gilmanton","town","Belknap County","New Hampshire",3776,3777,3060,2609,1941,1010,736,754,708,676,814,968,1100,1211,1485,1642,2373,3282,3485,3816,3752,4338,3752,2613
"Laconia","town","Belknap County","New Hampshire",16227,15951,16411,15743,15575,14888,15288,14745,13484,12471,10897,10183,8042,6143,3790,2309,1806,0,0,0,0,0,0,0
"Meredith","town","Belknap County","New Hampshire",6368,6241,5943,4837,4646,2904,2434,2222,2192,1902,1680,1638,1713,1642,1800,1807,1944,3521,3344,2683,2416,1940,1609,881
"New Hampton","town","Belknap County","New Hampshire",2206,2165,1950,1606,1249,946,862,723,791,692,708,821,852,935,1059,1257,1596,1612,1812,1904,1500,1293,1095,652
"Sanbornton","town","Belknap County","New Hampshire",2975,2966,2581,2136,1679,1022,857,755,677,654,617,850,944,1027,1192,1236,2743,2695,2745,2866,3329,2884,2695,1587
"Tilton","town","Belknap County","New Hampshire",3581,3567,3477,3240,3387,2579,2137,2085,1738,1712,2014,1866,1926,1521,1232,1147,0,0,0,0,0,0,0,0
"Albany","town","Carroll County","New Hampshire",721,735,654,536,383,259,146,154,131,96,170,289,210,377,361,339,430,455,406,0,0,0,0,0
"Bartlett","town","Carroll County","New Hampshire",2760,2788,2705,2290,1566,1098,1013,1074,1154,1119,1059,1197,1013,1247,1044,629,735,761,0,0,0,0,0,0
"Brookfield","town","Carroll County","New Hampshire",688,712,604,518,385,198,145,159,142,166,186,247,296,349,428,416,510,552,553,679,690,657,504,0
"Chatham","town","Carroll County","New Hampshire",336,337,260,268,189,134,150,177,184,168,229,209,267,329,421,445,489,516,523,419,298,201,183,58
"Conway","town","Carroll County","New Hampshire",9948,10115,8604,7940,7158,4865,4298,4109,3651,3217,3102,3413,3154,2331,2094,1607,1624,1767,1811,1601,1365,1080,705,574
"Eaton","town","Carroll County","New Hampshire",389,393,375,362,256,221,151,221,196,210,237,380,365,514,629,657,780,1743,1710,1432,1071,535,381,253
"Effingham","town","Carroll County","New Hampshire",1521,1465,1273,941,599,360,329,341,377,352,393,558,600,720,865,904,1209,1252,1195,1911,1368,876,451,154
"Freedom","town","Carroll County","New Hampshire",1487,1489,1303,935,720,387,363,315,352,390,467,542,594,630,714,737,917,910,926,0,0,0,0,0
"Hale's location","town","Carroll County","New Hampshire",120,120,58,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hart's Location","town","Carroll County","New Hampshire",41,41,37,36,27,7,7,11,17,29,35,85,38,187,70,26,0,0,0,0,0,0,0,0
"Jackson","town","Carroll County","New Hampshire",814,816,835,678,642,404,315,344,409,321,533,452,624,579,464,474,631,589,0,0,0,0,0,0
"Madison","town","Carroll County","New Hampshire",2518,2502,1984,1704,1051,572,429,486,512,535,482,507,529,554,586,646,826,0,0,0,0,0,0,0
"Moultonborough","town","Carroll County","New Hampshire",4014,4044,4484,2956,2206,1310,840,880,788,709,758,783,901,1034,1254,1299,1448,1748,1752,1422,1279,994,857,565
"Ossipee","town","Carroll County","New Hampshire",4247,4345,4211,3309,2465,1647,1409,1412,1498,1230,1122,1354,1479,1630,1782,1822,1997,2123,2170,1935,1988,1330,1143,339
"Sandwich","town","Carroll County","New Hampshire",1310,1326,1286,1066,905,666,620,615,742,731,1175,928,1077,1303,1701,1854,2227,2577,2625,2743,2368,2232,1413,905
"Tamworth","town","Carroll County","New Hampshire",2847,2856,2510,2165,1672,1054,1016,1025,1056,955,945,993,1050,1025,1274,1344,1078,1766,1716,1554,1442,1134,757,266
"Tuftonboro","town","Carroll County","New Hampshire",2347,2387,2148,1842,1500,910,678,697,586,505,311,612,663,767,923,949,1186,1305,1281,1375,1232,709,357,109
"Wakefield","town","Carroll County","New Hampshire",4967,5078,4252,3057,2237,1420,1223,1267,1158,1186,1335,1543,1645,1528,1392,1185,1478,1405,1596,1470,1518,1166,835,646
"Wolfeboro","town","Carroll County","New Hampshire",6210,6269,6083,4807,3968,3036,2689,2581,2636,2358,2178,2224,2390,3020,2222,1995,2300,2038,1918,1929,1794,1376,941,447
"Alstead","town","Cheshire County","New Hampshire",1915,1937,1944,1721,1461,1185,843,851,683,616,672,711,799,870,1037,1213,1318,1425,1454,1552,1611,1694,1666,1111
