"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Berlin","? County","New Hampshire",9501,10051,10331,11824,13084,15256,17821,16615,19084,20018,16104,11780,8886,3729,1144,529,433,173,116,73,0,0,0,0
"Claremont","? County","New Hampshire",13074,13355,13151,13902,14557,14221,13563,12811,12144,12377,9524,7529,6498,5565,4704,4053,4026,3606,3217,2526,1702,2094,1889,1435
"Concord","? County","New Hampshire",42444,42695,40687,36006,30400,30022,28991,27988,27171,25228,22167,21497,19632,17004,13843,12241,10896,8576,4897,3720,2838,2393,2052,1747
"Dover","? County","New Hampshire",30665,29987,26884,25042,22377,20850,19131,15874,14990,13573,13029,13247,13207,12790,11687,9294,8502,8196,6458,5449,2871,2228,2062,1998
"Franklin","? County","New Hampshire",8428,8477,8405,8304,7901,7292,6742,6552,6749,6576,6318,6132,5846,4085,3265,2301,1600,1251,0,0,0,0,0,0
"Keene","? County","New Hampshire",23034,23409,22563,22430,21449,20467,17562,15638,13832,13794,11210,10068,9165,7446,6784,5971,4320,3392,2610,2374,1895,1646,1645,1314
"Laconia","? County","New Hampshire",16067,15951,16411,15743,15575,14888,15288,14745,13484,12471,10897,10183,8042,6143,3790,2309,1806,0,0,0,0,0,0,0
"Lebanon","? County","New Hampshire",13589,13151,12568,12183,11134,9725,9299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manchester","? County","New Hampshire",110448,109565,107006,99567,90936,87754,88282,82732,77685,76834,78384,70063,56987,44126,32630,23536,20107,13932,3235,877,761,615,557,362
"Nashua","? County","New Hampshire",87259,86494,86605,79662,67865,55820,39096,34669,32927,31463,28379,26005,23898,19311,13397,10543,10065,5820,6054,2414,1142,1049,862,632
"Portsmouth","? County","New Hampshire",21598,20779,20784,25925,26254,25717,25833,18830,14821,14495,13569,11269,10637,9827,9690,9211,9335,9738,7887,8026,7327,6934,5339,4720
"Rochester","? County","New Hampshire",29991,29752,28461,26630,21560,17938,15927,13776,12012,10209,9673,8868,8466,7396,5784,4103,3384,3006,2431,2155,2471,2118,2646,2857
"Somersworth","? County","New Hampshire",11777,11766,11477,11249,10350,9620,8529,6927,6136,5680,6688,6704,7023,6207,5586,4504,4787,4943,3283,0,0,0,0,0
