"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Aberdeen Township","Monmouth County","New Jersey",18292,18210,17454,17038,17235,17680,7359,3888,2633,2496,1856,1472,1310,1692,2699,2839,2072,0,0,0,0,0,0,0
"Absecon","Atlantic County","New Jersey",8376,8411,7638,7298,6859,6094,4320,2355,2084,2158,702,781,530,501,507,0,0,0,0,0,0,0,0,0
"Alexandria Township","Hunterdon County","New Jersey",4893,4938,4698,3594,2798,2127,1629,1369,1186,1094,938,1045,1045,1250,1324,3341,4088,3811,3420,3042,2619,2271,0,1503
"Allamuchy Township","Warren County","New Jersey",4558,4323,3877,3484,2560,1138,973,736,686,684,556,642,588,759,648,0,0,0,0,0,0,0,0,0
"Allendale","Bergen County","New Jersey",6789,6505,6699,5900,5901,6240,4092,2409,2058,1730,1165,937,694,0,0,0,0,0,0,0,0,0,0,0
"Allenhurst","Monmouth County","New Jersey",489,496,718,759,912,1012,795,758,520,573,343,306,165,0,0,0,0,0,0,0,0,0,0,0
"Allentown","Monmouth County","New Jersey",1807,1828,1882,1828,1962,1603,1393,931,766,706,634,634,695,0,0,0,0,0,0,0,0,0,0,0
"Alloway Township","Salem County","New Jersey",3418,3467,2774,2795,2680,2550,2226,1792,1705,1575,1431,1533,1528,1675,1917,3062,2899,2530,2235,2136,2194,1921,0,0
"Alpha","Warren County","New Jersey",2312,2369,2482,2530,2644,2829,2406,2117,2301,2374,2140,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpine","Bergen County","New Jersey",1894,1849,2183,1716,1549,1344,921,644,626,521,350,377,0,0,0,0,0,0,0,0,0,0,0,0
"Andover","Sussex County","New Jersey",587,606,658,700,892,813,734,560,512,479,417,884,0,0,0,0,0,0,0,0,0,0,0,0
"Andover Township","Sussex County","New Jersey",6135,6319,6033,5438,4506,3040,2177,1052,591,496,473,521,987,1126,1150,1126,0,0,0,0,0,0,0,0
"Asbury Park","Monmouth County","New Jersey",15778,16116,16930,16799,17015,16533,17366,17094,14617,14981,12400,10150,4148,0,0,0,0,0,0,0,0,0,0,0
"Atlantic City","Atlantic County","New Jersey",39415,39558,40517,37986,40199,47859,59544,61657,64094,66198,50707,46150,27838,13055,5477,1043,687,0,0,0,0,0,0,0
"Atlantic Highlands","Monmouth County","New Jersey",4336,4385,4705,4629,4950,5102,4119,3083,2335,2000,1629,1645,1383,945,0,0,0,0,0,0,0,0,0,0
"Audubon","Camden County","New Jersey",8710,8819,9182,9205,9533,10802,10440,9531,8906,8904,4730,1343,0,0,0,0,0,0,0,0,0,0,0,0
"Audubon Park","Camden County","New Jersey",1009,1023,1102,1150,1274,1492,1713,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avalon","Cape May County","New Jersey",1297,1334,2143,1809,2162,1283,695,428,313,343,197,230,93,0,0,0,0,0,0,0,0,0,0,0
"Avon-by-the-Sea","Monmouth County","New Jersey",1795,1901,2244,2165,2337,2163,1707,1650,1211,1220,647,426,0,0,0,0,0,0,0,0,0,0,0,0
"Barnegat Light","Ocean County","New Jersey",580,574,764,675,619,554,287,227,225,144,69,70,0,0,0,0,0,0,0,0,0,0,0,0
"Barnegat Township","Ocean County","New Jersey",22303,20936,15270,12235,8702,1539,1270,1173,1045,1037,803,982,955,1063,1024,1923,1918,1759,0,0,0,0,0,0
"Barrington","Camden County","New Jersey",6826,6983,7084,6774,7418,8409,7943,2651,2329,2252,1333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bass River Township","Burlington County","New Jersey",1442,1443,1510,1580,1344,815,737,688,599,700,612,685,800,853,1006,807,0,0,0,0,0,0,0,0
"Bay Head","Ocean County","New Jersey",1001,968,1238,1226,1340,1083,824,808,499,429,273,281,247,0,0,0,0,0,0,0,0,0,0,0
"Bayonne","Hudson County","New Jersey",65975,63024,61842,61444,65047,72743,74215,77203,79198,88979,76754,55545,32722,19033,9372,3834,0,0,0,0,0,0,0,0
"Beach Haven","Ocean County","New Jersey",1180,1170,1278,1475,1714,1488,1041,1050,746,715,329,272,239,0,0,0,0,0,0,0,0,0,0,0
"Beachwood","Ocean County","New Jersey",11253,11045,10375,9324,7687,4390,2765,1251,650,394,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bedminster Township","Somerset County","New Jersey",8213,8165,8302,7086,2469,2597,2322,1613,1606,1374,1088,2375,1925,1749,1812,1881,1996,1826,1589,1453,1393,1312,0,1197
"Belleville Township","Essex County","New Jersey",36396,35926,35928,34213,35367,37629,35005,32019,28167,26974,15660,9891,0,0,0,0,0,0,0,0,0,0,0,0
"Bellmawr","Camden County","New Jersey",11454,11583,11262,12603,13721,15618,11853,5213,1250,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belmar","Monmouth County","New Jersey",5719,5794,6045,5877,6771,5782,5190,4636,3435,3491,1987,1433,902,0,0,0,0,0,0,0,0,0,0,0
"Belvidere Town","Warren County","New Jersey",2616,2681,2771,2669,2475,2722,2636,2406,2060,2073,1793,1764,1784,1768,1773,1882,1530,1001,0,0,0,0,0,0
"Bergenfield","Bergen County","New Jersey",27406,26764,26247,24458,25568,29000,27203,17647,10275,8816,3667,1991,729,0,0,0,0,0,0,0,0,0,0,0
"Berkeley Heights Township","Union County","New Jersey",13542,13183,13407,11980,12549,13078,8721,3466,2194,1899,954,526,469,839,781,934,1308,0,0,0,0,0,0,0
"Berkeley Township","Ocean County","New Jersey",41950,41255,39991,37319,23151,7918,4272,1550,1127,811,576,597,694,786,683,0,0,0,0,0,0,0,0,0
"Berlin","Camden County","New Jersey",7546,7588,6149,5672,5786,4997,3578,2339,1753,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin Township","Camden County","New Jersey",5362,5357,5290,5466,5348,5692,3363,2013,1771,1537,2093,1611,0,0,0,0,0,0,0,0,0,0,0,0
"Bernards Township","Somerset County","New Jersey",26857,26652,24575,17199,12920,13305,9018,7487,4512,2293,4243,4608,3066,2558,2622,2369,2471,2267,2059,2062,2063,1876,0,2377
"Bernardsville","Somerset County","New Jersey",7756,7707,7345,6597,6715,6652,5515,3956,3405,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bethlehem Township","Hunterdon County","New Jersey",3913,3979,3820,3104,3045,1385,1090,857,791,735,798,980,1634,2308,2830,2211,1859,2746,2870,2032,2002,1738,0,1335
"Beverly","Burlington County","New Jersey",2554,2577,2661,2973,2919,3105,3400,3084,2691,2864,2562,2140,1950,1957,1759,1418,1220,0,0,0,0,0,0,0
"Blairstown Township","Warren County","New Jersey",5834,5967,5747,5331,4360,2189,1797,1571,1449,1416,1361,1718,1576,1662,1458,1379,1542,1405,0,0,0,0,0,0
"Bloomfield Township","Essex County","New Jersey",47929,47315,47683,45061,47792,52029,51867,49307,41623,38077,22019,15070,9668,0,0,0,0,0,0,0,0,0,0,0
"Bloomingdale","Passaic County","New Jersey",8178,7656,7610,7530,7867,7797,5293,3251,2606,2543,2193,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomsbury","Hunterdon County","New Jersey",856,870,886,890,864,879,838,722,704,639,650,600,0,0,0,0,0,0,0,0,0,0,0,0
"Bogota","Bergen County","New Jersey",8332,8187,8249,7824,8344,8960,7965,7662,7346,7341,3906,1125,337,0,0,0,0,0,0,0,0,0,0,0
"Boonton Town","Morris County","New Jersey",8412,8347,8496,8343,8620,9261,7981,7163,6739,6866,5372,4930,3901,0,0,0,0,0,0,0,0,0,0,0
"Boonton Township","Morris County","New Jersey",4353,4263,4287,3566,3273,3070,1998,1155,817,623,684,428,809,3307,2682,3458,0,0,0,0,0,0,0,0
"Bordentown","Burlington County","New Jersey",3900,3924,3969,4341,4441,4490,4974,5497,4223,4405,4371,4250,4110,4232,4258,0,0,0,0,0,0,0,0,0
"Bordentown Township","Burlington County","New Jersey",11604,11367,8380,7683,7170,7303,5936,2033,1095,818,596,608,488,858,5334,6041,4027,0,0,0,0,0,0,0
"Bound Brook","Somerset County","New Jersey",11116,10402,10155,9487,9710,10450,10263,8374,7616,7372,5906,3970,2622,1462,934,556,0,0,0,0,0,0,0,0
"Bradley Beach","Monmouth County","New Jersey",4270,4298,4793,4475,4772,4163,4204,3911,3468,3306,2307,1807,982,0,0,0,0,0,0,0,0,0,0,0
"Branchburg Township","Somerset County","New Jersey",14552,14459,14566,10888,7846,5742,3741,1958,1231,1084,931,970,1012,1152,1316,1251,1186,1143,0,0,0,0,0,0
"Branchville","Sussex County","New Jersey",812,841,845,851,870,911,963,810,715,665,588,663,526,0,0,0,0,0,0,0,0,0,0,0
"Brick Township","Ocean County","New Jersey",75911,75072,76119,66473,53629,35057,16299,4319,1376,1172,2084,2177,2130,4065,2990,2724,1835,1558,0,0,0,0,0,0
"Bridgeton","Cumberland County","New Jersey",25347,25349,22771,18942,18795,20435,20966,18378,15992,15699,14323,14209,13913,11424,8722,6830,0,0,0,0,0,0,0,0
"Bridgewater Township","Somerset County","New Jersey",44903,44464,42940,32509,29175,30235,15789,8234,4934,3352,1934,1742,1601,1444,1912,2082,4948,4070,3983,3549,3147,2906,0,2578
"Brielle","Monmouth County","New Jersey",4759,4774,4893,4406,4068,3594,2619,1328,961,684,392,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brigantine","Atlantic County","New Jersey",9336,9450,12594,11354,8318,6741,4201,1267,403,357,12,67,99,0,0,0,0,0,0,0,0,0,0,0
"Brooklawn","Camden County","New Jersey",1929,1955,2354,1805,2133,2870,2504,2262,1919,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buena","Atlantic County","New Jersey",4610,4603,3873,4441,3642,3283,3243,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buena Vista Township","Atlantic County","New Jersey",7586,7570,7436,7655,6959,4239,3915,2106,4067,4176,3647,2723,1646,1299,885,948,0,0,0,0,0,0,0,0
"Burlington","Burlington County","New Jersey",9799,9920,9736,9835,10246,12010,12687,12051,10905,10844,9049,8336,7392,7264,6090,5817,5174,4536,0,0,0,0,0,0
"Burlington Township","Burlington County","New Jersey",22673,22594,20294,12454,11527,10621,6291,3441,2520,2587,1520,1220,1061,958,1147,1025,876,863,3434,2670,2758,2419,2009,0
"Butler","Morris County","New Jersey",7690,7539,7420,7392,7616,7051,5414,4050,3351,3392,2886,2265,0,0,0,0,0,0,0,0,0,0,0,0
"Byram Township","Sussex County","New Jersey",8096,8350,8254,8048,7502,4592,1616,761,373,245,409,1055,1235,1380,1406,1332,1202,1340,1153,958,672,591,0,0
"Caldwell","Essex County","New Jersey",7898,7822,7584,7549,7624,8677,6942,6270,4932,5144,3993,2236,1357,0,0,0,0,0,0,0,0,0,0,0
"Califon","Hunterdon County","New Jersey",1087,1076,1055,1073,1023,970,777,623,572,534,513,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camden","Camden County","New Jersey",77332,77344,79904,87492,84910,102551,117159,124555,117536,118700,116319,94538,75935,58313,41659,20045,14358,9479,3371,0,0,0,0,0
"Cape May","Cape May County","New Jersey",3535,3607,4034,4668,4853,4392,4477,3607,2583,2637,2999,2471,2257,2136,1699,1248,0,0,0,0,0,0,0,0
"Cape May Point","Cape May County","New Jersey",284,291,241,248,255,204,263,198,126,104,121,162,153,167,198,0,0,0,0,0,0,0,0,0
"Carlstadt","Bergen County","New Jersey",6248,6127,5917,5510,6166,6724,6042,5591,5644,5425,4472,3807,2574,1549,1060,0,0,0,0,0,0,0,0,0
"Carneys Point Township","Salem County","New Jersey",7929,8049,7684,8443,8396,7016,7595,6717,4805,3879,6259,744,775,2239,3361,3178,2901,2422,1854,1638,1861,1638,0,0
"Carteret","Middlesex County","New Jersey",24114,22844,20709,19025,20598,23137,20502,13030,11976,13339,11047,5786,0,0,0,0,0,0,0,0,0,0,0,0
"Cedar Grove Township","Essex County","New Jersey",12542,12411,12300,12053,12600,15582,14603,8022,5208,4793,3181,2409,0,0,0,0,0,0,0,0,0,0,0,0
"Chatham","Morris County","New Jersey",9022,8962,8460,8007,8537,9566,9517,7391,4888,3869,2421,1874,1361,780,738,0,0,0,0,0,0,0,0,0
"Chatham Township","Morris County","New Jersey",10615,10452,10086,9361,8883,8093,5931,2825,2026,1115,736,812,620,1432,4276,3715,2969,2469,2138,1874,1832,2019,0,0
"Cherry Hill Township","Camden County","New Jersey",71417,71045,69965,69348,68785,64395,31522,10358,5811,5734,2331,1706,1679,1457,1481,1625,1602,2577,0,0,0,0,0,0
