"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Boulder City","? County","Nevada",15386,15023,14966,12567,9590,5223,4059,0,0,0,0,0,0,0,0,0,0,0
"Caliente","? County","Nevada",1141,1130,1123,1111,982,916,792,970,0,0,0,0,0,0,0,0,0,0
"Carlin","? County","Nevada",2363,2368,2161,2220,1232,1313,1023,1203,832,825,0,0,0,0,0,0,0,0
"Carson","? County","Nevada",54522,55274,52457,40443,32022,15468,5163,3082,2478,1596,1685,2466,2100,3950,4229,0,714,0
"Elko","? County","Nevada",20300,18297,16708,14736,8758,7621,6298,5393,4094,3217,2173,0,0,0,0,0,0,0
"Ely","? County","Nevada",4221,4255,4041,4756,4882,4176,4018,3558,4140,3045,2090,2055,0,0,0,0,0,0
"Fallon","? County","Nevada",8349,8606,7536,6438,4262,2959,2734,2400,1911,1758,1753,741,0,0,0,0,0,0
"Fernley","? County","Nevada",19204,19368,8543,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henderson","? County","Nevada",277440,257729,175381,64942,24363,16395,12525,0,0,0,0,0,0,0,0,0,0,0
"Las Vegas","? County","Nevada",613599,583756,478434,258295,164674,125787,64405,24624,8422,5165,2304,0,0,0,0,0,0,0
"Lovelock","? County","Nevada",1900,1894,2003,2069,1680,1571,1948,1604,1294,1263,1104,0,0,0,0,0,0,0
"Mesquite","? County","Nevada",16970,15276,9389,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Las Vegas","? County","Nevada",230788,216961,115488,47707,42739,46067,18422,3875,0,0,0,0,0,0,0,0,0,0
"Reno","? County","Nevada",236995,225221,180480,133850,100756,72863,51470,32497,21317,18529,12016,10867,4500,3563,1302,1035,0,0
"Sparks","? County","Nevada",94708,90264,66346,53367,40780,24187,16618,8203,5318,4508,3238,2500,0,0,0,0,0,0
"Wells","? County","Nevada",1303,1292,1346,1256,1218,1081,1071,947,830,655,0,0,0,0,0,0,0,0
"West Wendover","? County","Nevada",4442,4410,4721,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winnemucca","? County","Nevada",8001,7396,7174,6134,4140,3587,3453,2847,2485,1989,0,0,0,0,0,0,0,0
"Yerington","? County","Nevada",3031,3048,2883,2367,2021,2010,1764,1157,964,1005,1169,682,0,0,0,0,0,0
