"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Adams","Jefferson County","New York",5302,5143,4782,4977,4390,4381,3964,3629,3334,3284,3194,3128,3081,3181,3302,3348,3496,3106,2966,2995,2467,,,
"Addison","Steuben County","New York",2560,2595,2640,2645,2734,2698,2645,2368,2032,1975,2122,2509,2637,2908,2534,2218,1715,3721,1920,944,652,,,
"Afton","Chenango County","New York",2811,2851,2977,2972,2728,2464,2245,2047,1848,1871,1840,1780,1920,2083,2248,1931,1770,0,0,0,0,0,0,0
"Alabama","Genesee County","New York",1826,1869,1881,1998,1926,1872,1931,1766,1763,1734,1530,1797,1611,1654,1975,1805,2061,2054,1798,783,0,0,0,0
"Albion (town)","Orleans County","New York",8431,8468,9409,8178,6446,6577,6416,6007,5965,5994,5840,6455,5749,5773,5147,0,0,0,0,0,0,0,0,0
"Albion (town)","Oswego County","New York",2137,2073,2083,2043,1730,1452,1125,1036,1094,1175,1288,1472,1724,2172,2569,2359,2348,2010,1503,669,0,0,0,0
"Alden","Erie County","New York",10629,10865,10470,10372,10093,9787,7615,4899,4613,4463,2433,2748,2396,2304,2534,2547,2442,2520,1984,1257,0,0,0,0
"Alexander","Genesee County","New York",2495,2534,2451,2233,2367,2351,1987,1591,1423,1378,1287,1362,1503,1587,1608,1605,1801,1927,2242,2331,1496,,,
"Alexandria","Jefferson County","New York",4180,4061,4097,3949,3587,3515,3574,3583,3533,3953,3567,4259,3894,3601,3135,3087,3808,3178,3475,1523,0,0,0,0
"Alfred","Allegany County","New York",5068,5237,5140,5791,6191,4875,3730,2862,1410,1404,1269,1590,1615,1699,1526,1555,1367,2679,1630,1416,1701,,,
"Allegany Reservation","Cattaraugus County","New York",994,1020,1099,1143,1243,1113,1059,1131,1151,972,934,1627,1833,0,0,0,0,0,0,0,0,0,0,0
"Allegany","Cattaraugus County","New York",7763,8004,8230,8327,8619,7542,6483,5452,3919,3731,3240,3398,3692,3611,4044,2485,2129,1037,530,0,0,0,0,0
"Allen","Allegany County","New York",446,448,462,406,486,292,306,347,416,419,524,598,655,717,818,794,991,955,867,898,0,0,0,0
"Alma","Allegany County","New York",845,842,847,846,920,839,871,931,780,884,643,973,1182,1509,865,766,578,0,0,0,0,0,0,0
"Almond","Allegany County","New York",1587,1633,1604,1640,1671,1524,1373,1331,1234,1101,1121,1297,1436,1419,1567,1686,1739,1914,1434,1804,0,0,0,0
"Altona","Clinton County","New York",2944,2887,3164,2775,2077,1852,1750,1711,2026,1834,1911,2383,2465,2368,3570,2759,1665,0,0,0,0,0,0,0
"Amboy","Oswego County","New York",1300,1263,1312,1010,836,557,524,482,493,507,617,736,824,969,1241,1431,1402,1132,1670,669,0,0,0,0
"Amenia","Dutchess County","New York",4353,4436,4048,5195,6299,7842,7546,7481,6873,1969,1831,2123,2374,2362,2697,2662,2288,2229,2179,2389,3114,,,
"Amherst","Erie County","New York",124837,122366,116510,111711,108706,93929,62837,33744,19356,13181,6286,4629,4223,4014,4519,4555,5089,4153,2451,2489,768,,,
"Amity","Allegany County","New York",2242,2308,2245,2255,2272,2150,2006,1997,1935,1867,1843,2071,2216,1996,1972,2087,2268,1792,1354,872,0,0,0,0
"Amsterdam (town)","Montgomery County","New York",6000,5566,5820,5962,5721,5795,5400,4698,3911,3818,3130,3074,3202,2948,11710,7706,4557,4128,5333,3354,3171,,,
"Ancram","Columbia County","New York",1534,1573,1513,1510,1332,1215,1080,925,1005,850,1015,1137,1238,1332,1602,1793,1720,1569,1770,1533,3147,,,
"Andes","Delaware County","New York",1268,1301,1356,1291,1312,1193,1274,1665,1687,1899,1922,2007,1927,2264,2639,2840,2990,2672,2176,1859,1378,,,
"Andover","Allegany County","New York",1785,1830,1945,1981,1956,1839,1801,1973,1996,1905,1809,1990,1869,1766,1988,1873,1724,1476,848,598,0,0,0,0
"Angelica","Allegany County","New York",1376,1403,1411,1446,1438,1306,1335,1390,1410,1338,1502,1668,1639,1749,1620,1643,1708,1592,1251,998,1510,,,
"Annsville","Oneida County","New York",2978,3012,2956,2786,2389,1917,1635,1333,1217,1242,1353,1449,1744,2068,2554,2716,2837,2688,1765,1481,0,0,0,0
"Antwerp","Jefferson County","New York",1899,1846,1793,1856,1859,1794,1905,1781,2187,2292,2569,2848,3008,3095,3414,3310,3313,2665,3109,2412,1319,,,
"Arcade","Wyoming County","New York",4136,4205,4184,3938,3714,3048,2861,2570,2387,2404,2412,2131,1877,1840,2000,1742,2037,1961,1437,2387,780,0,0,0
"Arcadia","Wayne County","New York",13915,14244,14889,14855,14697,15245,15836,12816,12108,10051,9266,8672,7046,6310,5702,5271,5319,5145,4980,3774,0,0,0,0
"Argyle","Washington County","New York",3727,3782,3688,3031,2847,2415,1898,1801,1611,1452,1535,1806,1995,2313,2775,2850,3139,3274,3111,3459,2811,,,
"Arietta","Hamilton County","New York",294,304,293,300,314,350,235,219,183,165,176,232,247,357,294,139,98,108,209,0,0,0,0,0
"Arkwright","Chautauqua County","New York",1049,1061,1126,1040,980,833,700,665,688,746,757,843,918,886,1076,1030,1103,1283,1418,926,0,0,0,0
"Ashford","Cattaraugus County","New York",2095,2132,2223,2162,1922,1577,1490,1370,1340,1214,1379,1557,1645,1710,1813,1801,1975,1658,1469,631,0,0,0,0
"Ashland","Chemung County","New York",1653,1695,1951,1966,1967,1726,1273,1188,951,948,834,769,954,983,1149,1558,0,0,0,0,0,0,0,0
"Ashland","Greene County","New York",773,784,752,803,744,397,548,542,566,482,560,640,692,787,899,992,1212,1290,0,0,0,0,0,0
"Athens","Greene County","New York",3965,4089,3988,3561,3462,3567,2804,2372,2375,2254,2361,2720,2891,2876,3065,2942,2791,2986,2387,2425,2030,,,
"Attica","Wyoming County","New York",7477,7702,7806,7383,5693,6171,5781,5722,5477,2891,2743,2749,2677,3002,3099,2546,2547,2363,2710,2485,1519,,,
"Au Sable","Clinton County","New York",3129,3146,3015,2870,2792,2652,2605,1903,1985,1868,1636,2045,2195,2532,2980,2863,3227,4492,3222,0,0,0,0,0
"Augusta","Oneida County","New York",2053,2020,1966,2070,2080,2025,2021,1933,1900,1739,1911,1959,2029,1984,2171,2067,2213,2271,2175,2058,2771,2004,1598,0
"Aurelius","Cayuga County","New York",2745,2792,2931,2913,2920,2851,2600,2039,1342,1430,1277,1437,1563,1793,1954,1952,2528,2831,2645,2768,7923,,,
