"NAME","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Adams village","Jefferson County","New York",1839,1775,1624,1753,1701,1951,1914,1762,1594,1613,1557,1458,1292,1360,1250,1352,1268,600,0,0,0,0,0,0
"Addison village","Steuben County","New York",1730,1763,1797,1842,2028,2104,2185,1920,1617,1538,1699,2004,2080,2166,1596,0,0,0,0,0,0,0,0,0
"Afton village","Chenango County","New York",818,822,836,838,982,1064,956,875,806,812,782,729,722,683,734,457,270,0,0,0,0,0,0,0
"Airmont village","Rockland County","New York",8878,8628,7799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akron village","Erie County","New York",2855,2868,3085,2906,2971,2863,2841,2481,2263,2188,1960,1677,1585,1492,1036,444,462,0,0,0,0,0,0,0
"Albany city","Albany County","New York",98566,97856,95658,101082,101727,115781,129726,134995,130577,127412,113344,100253,94151,94923,90758,69422,62367,50763,33721,24209,12630,10762,5289,3498
"Albion village","Orleans County","New York",6007,6056,7438,5863,4897,5122,5182,4850,4660,4878,4683,5016,4477,4586,0,3322,2970,2251,0,0,0,0,0,0
"Alden village","Erie County","New York",2599,2605,2666,2457,2488,2651,2042,1252,954,846,755,828,607,533,521,0,285,150,0,0,0,0,0,0
"Alexander village","Genesee County","New York",500,509,481,445,483,474,335,304,265,212,194,212,230,0,305,0,345,0,0,0,0,0,0,0
"Alexandria Bay village","Jefferson County","New York",1101,1078,1088,1194,1265,1440,1583,1688,1748,1952,1649,1899,1511,1123,587,0,120,0,0,0,0,0,0,0
"Alfred village","Allegany County","New York",4028,4174,3954,4559,4967,3804,2807,2053,694,639,598,759,756,786,513,0,177,0,0,0,0,0,0,0
"Allegany village","Cattaraugus County","New York",1767,1816,1883,1980,2078,2050,2064,1738,1436,1411,1350,1286,0,0,1049,746,350,50,0,0,0,0,0,0
"Almond village","Allegany/Steuben County","New York",451,466,461,458,568,658,696,659,533,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altamont village","Albany County","New York",1725,1720,1737,1519,1292,1561,1365,1127,890,858,797,674,689,0,0,0,0,0,0,0,0,0,0,0
"Altmar village","Oswego County","New York",393,407,351,336,347,448,277,299,304,378,315,363,416,551,753,0,0,0,0,0,0,0,0,0
"Ames village","Montgomery County","New York",143,145,173,166,224,198,162,193,180,170,0,0,0,0,148,150,0,0,0,0,0,0,0,0
"Amityville village","Suffolk County","New York",9522,9523,9441,9286,9076,9794,8318,6164,5058,4437,3265,2517,2038,2293,1063,500,204,0,0,0,0,0,0,0
"Amsterdam city","Montgomery County","New York",18135,18620,18355,20714,21872,25524,28772,32240,33329,34817,33524,31267,20929,17336,9466,5426,2044,2000,1700,0,0,0,0,0
"Andover village","Allegany County","New York",1017,1042,1073,1125,1120,1214,1247,1351,1290,1241,1132,1136,954,0,794,0,374,500,150,0,0,0,0,0
"Angelica village","Allegany County","New York",845,869,903,963,982,948,898,928,928,838,972,1056,978,953,705,991,846,1200,900,0,0,0,0,0
"Angola village","Erie County","New York",2120,2127,2266,2231,2292,2676,2499,1936,1663,1543,1367,898,712,650,508,600,225,0,0,0,0,0,0,0
"Antwerp village","Jefferson County","New York",700,686,716,739,749,872,881,846,817,868,1012,974,929,912,731,773,621,250,300,0,0,0,0,0
"Arcade village","Wyoming County","New York",2003,2071,2026,2081,2052,1972,1930,1818,1683,1643,1609,1294,887,0,762,573,637,300,300,0,0,0,0,0
"Ardsley village","Westchester County","New York",4555,4452,4269,4272,4183,4470,3991,1744,1423,1135,730,537,404,0,0,0,0,0,0,0,0,0,0,0
