"NAME","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800
"Aberdeen","Brown County","Ohio",1618,1638,1603,1329,1566,1165,774,551,497,452,477,568,711,874,885,871,836,808,405,165,87,0,0
"Ada","Hardin County","Ohio",5832,5952,5582,5413,5669,5309,3918,3640,2368,2499,2321,2465,2576,2079,1760,0,0,0,0,0,0,0,0
"Adamsville","Muskingum County","Ohio",115,114,127,151,229,174,167,164,175,190,151,176,201,335,280,280,0,0,0,0,0,0,0
"Addyston","Hamilton County","Ohio",934,938,1010,1198,1195,1336,1376,1651,1610,1708,1448,1543,1513,1182,0,0,0,0,0,0,0,0,0
"Adelphi","Ross County","Ohio",373,380,371,398,472,455,441,392,414,412,329,407,516,489,469,417,378,412,250,247,132,0,0
"Adena","Jefferson/Harrison County","Ohio",735,759,815,842,1062,1134,1317,1517,1703,1286,724,570,0,0,45,0,0,0,0,0,0,0,0
"Akron","Summit County","Ohio",197859,199110,217074,223019,237177,275425,290351,274605,244791,255040,208435,69067,42728,27601,16512,10006,3477,3266,1664,0,0,0,0
"Albany","Athens County","Ohio",896,828,808,795,905,899,629,525,551,471,465,546,548,471,469,480,0,0,0,0,0,0,0
"Alexandria","Licking County","Ohio",518,517,85,468,489,588,452,464,425,450,415,414,420,296,269,303,320,349,200,0,0,0,0
"Alger","Hardin County","Ohio",849,860,888,864,992,1071,1068,943,811,857,787,730,462,0,0,0,0,0,0,0,0,0,0
"Alliance","Stark County","Ohio",22078,22322,23253,23376,24315,26547,28362,26161,22405,23047,21603,15083,8974,7607,4636,4063,1421,500,315,0,0,0,0
"Amanda","Fairfield County","Ohio",748,737,707,729,720,788,732,587,561,557,531,484,0,469,375,0,0,181,0,0,0,0,0
"Amberley","Hamilton County","Ohio",3598,3585,3425,3108,3442,4761,2951,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amelia","Clermont County","Ohio",4920,4801,2752,1837,1108,820,913,601,550,427,658,417,0,0,185,0,0,0,0,0,0,0,0
"Amesville","Athens County","Ohio",158,154,184,250,247,295,255,269,286,298,273,267,0,0,159,0,0,0,0,0,0,0,0
"Amherst","Lorain County","Ohio",12143,12021,11797,10332,10638,9902,6750,3542,2896,2844,2485,2106,1758,1648,1542,0,0,0,0,0,0,0,0
"Amsterdam","Jefferson County","Ohio",491,511,568,669,783,882,931,1048,1177,1171,1271,1041,0,0,106,89,0,168,0,0,0,0,0
"Andover","Ashtabula County","Ohio",1124,1145,1269,1216,1205,1179,1116,1102,945,906,921,902,815,733,0,0,0,0,0,0,0,0,0
"Anna","Shelby County","Ohio",1547,1567,1319,1164,1038,792,701,554,485,462,463,460,451,527,266,0,0,0,0,0,0,0,0
"Ansonia","Darke County","Ohio",1154,1174,1145,1279,1267,1044,1002,877,712,651,807,656,676,676,542,0,0,0,0,0,0,0,0
"Antioch","Monroe County","Ohio",86,86,89,68,113,112,110,112,145,138,133,169,212,0,0,165,156,107,0,0,0,0,0
"Antwerp","Paulding County","Ohio",1689,1736,1740,1677,1765,1735,1465,1162,1086,1024,1096,1187,1206,1331,1275,717,0,0,0,0,0,0,0
"Apple Creek","Wayne County","Ohio",1180,1173,999,860,741,784,722,548,510,459,382,400,387,428,385,300,0,0,0,0,0,0,0
"Aquilla","Geauga County","Ohio",342,340,372,360,355,389,459,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcadia","Hancock County","Ohio",586,590,537,546,580,689,610,529,481,490,376,380,425,490,396,288,0,0,0,0,0,0,0
"Arcanum","Darke County","Ohio",2092,2129,2076,1953,2002,1993,1678,1530,1188,1149,1311,1361,1225,1134,778,450,0,0,0,0,0,0,0
"Archbold","Fulton County","Ohio",4344,4346,4290,3440,3318,3047,2348,1486,1236,1185,1125,1082,958,780,635,373,0,0,0,0,0,0,0
"Arlington Heights","Hamilton County","Ohio",743,745,899,1084,1082,1403,1355,1312,1222,1214,730,468,360,222,0,0,0,0,0,0,0,0,0
"Arlington","Hancock County","Ohio",1453,1455,1351,1267,1187,1066,955,825,752,701,606,798,738,0,136,0,0,0,0,0,0,0,0
"Ashland","Ashland County","Ohio",20218,20362,21249,20079,20326,19872,17419,14287,12453,11141,9249,6795,4087,3566,3004,2601,1748,1264,0,0,0,0,0
"Ashley","Delaware County","Ohio",1354,1330,1216,1059,1057,1034,907,798,762,734,786,706,700,628,483,454,0,0,0,0,0,0,0
"Ashtabula","Ashtabula County","Ohio",18508,19124,20962,21633,23449,24313,24559,23696,21405,23301,22082,18266,12949,8338,4445,1999,1418,821,704,229,0,0,0
"Ashville","Pickaway County","Ohio",4149,4097,3174,2254,2046,1772,1639,1303,1101,1085,1032,972,654,430,0,0,0,0,0,0,0,0,0
"Athalia","Lawrence County","Ohio",371,373,328,346,367,287,341,307,263,205,233,226,346,199,251,0,0,0,0,0,0,0,0
"Athens","Athens County","Ohio",24024,23832,21342,21265,19743,24168,16470,11660,7696,7252,6418,5463,3066,2620,2457,1696,1341,898,710,728,404,364,0
"Attica","Seneca County","Ohio",880,899,955,944,865,1005,965,858,780,783,658,719,694,682,663,370,0,0,100,0,0,0,0
"Aurora","Portage County","Ohio",15734,15548,13556,9192,8177,6549,4009,571,518,0,0,0,0,0,222,0,0,0,0,0,0,0,0
"Avon","Lorain County","Ohio",22302,21193,11446,7337,7241,7214,6002,2773,2118,1826,1460,0,0,0,0,0,0,0,0,0,0,0,0
"Avon Lake","Lorain County","Ohio",23204,22581,18145,15066,13222,12261,9403,4342,2274,1610,904,0,0,0,0,0,0,0,0,0,0,0,0
"Bailey Lakes","Ashland County","Ohio",376,371,397,367,397,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bainbridge","Ross County","Ohio",852,860,1012,968,1042,1057,1001,964,913,735,862,883,954,0,825,647,679,626,300,279,146,0,0
"Bairdstown","Wood County","Ohio",132,130,130,130,151,138,182,188,176,172,158,240,298,347,0,0,0,0,0,0,0,0,0
"Baltic","Tuscarawas County","Ohio",783,795,743,659,563,571,537,493,492,545,406,377,0,0,0,0,0,0,0,0,0,0,0
"Baltimore","Fairfield County","Ohio",2962,2966,2881,2971,2689,2418,2116,1843,835,720,566,551,460,505,489,489,500,492,500,500,298,140,0
"Barberton","Summit County","Ohio",26302,26550,27899,27623,29751,33052,33805,27820,24028,23934,18811,9410,4354,0,0,0,0,0,0,0,0,0,0
"Barnesville","Belmont County","Ohio",4139,4193,4225,4326,4633,4292,4425,4665,5002,4602,4865,4233,3721,3207,2435,2063,1157,823,700,408,291,0,0
"Barnhill","Tuscarawas County","Ohio",389,396,364,313,327,339,350,392,394,438,513,506,811,969,0,0,0,0,0,0,0,0,0
"Batavia","Clermont County","Ohio",1645,1509,1617,1700,1896,1894,1729,1445,1320,1119,1088,1034,1029,953,1015,827,500,400,350,426,208,0,0
"Batesville","Noble County","Ohio",98,71,100,95,129,148,160,149,194,214,220,282,312,327,369,0,0,0,0,0,0,0,0
"Bay View","Erie County","Ohio",616,632,692,739,804,798,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Village","Cuyahoga County","Ohio",15435,15651,16087,17000,17846,18163,14489,6917,3356,2294,751,450,0,0,0,0,0,0,0,0,0,0,0
"Beach City","Stark County","Ohio",1013,1033,1137,1051,1083,1133,1151,940,812,725,658,671,364,0,282,0,0,0,0,0,0,0,0
"Beachwood","Cuyahoga County","Ohio",11797,11953,12186,10677,9983,9631,6089,1073,372,249,225,0,0,0,0,0,0,0,0,0,0,0,0
"Beallsville","Monroe County","Ohio",407,409,423,464,601,452,441,410,450,479,555,564,554,512,391,324,0,276,100,50,0,0,0
"Beaver","Pike County","Ohio",439,449,464,336,330,317,341,285,305,295,278,286,262,0,0,0,0,0,0,0,0,0,0
"Beavercreek","Greene County","Ohio",45934,45193,37984,33626,31589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaverdam","Allen County","Ohio",373,382,356,467,492,525,514,450,377,360,394,455,477,397,353,0,0,0,0,0,0,0,0
"Bedford","Cuyahoga County","Ohio",12805,13074,14214,14822,15056,17552,15223,9105,7390,6814,2677,1783,1486,1043,766,828,859,0,0,0,0,0,0
"Bedford Heights","Cuyahoga County","Ohio",10675,10751,11375,12131,13214,13063,5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellaire","Belmont County","Ohio",4207,4278,4892,6028,8241,9655,11502,12573,13799,13327,15061,12946,9912,9934,8025,4033,1466,0,0,0,0,0,0
"Bellbrook","Greene County","Ohio",7031,6943,7009,6511,5174,1268,941,425,410,389,286,283,352,350,425,369,510,502,0,0,0,0,0
"Belle Center","Logan County","Ohio",801,813,807,796,930,985,949,889,835,861,909,889,962,927,434,276,234,153,0,0,0,0,0
"Belle Valley","Noble County","Ohio",217,223,263,267,329,393,438,458,617,603,1050,689,0,0,0,0,0,0,0,0,0,0,0
"Bellefontaine","Logan County","Ohio",13167,13370,13069,12142,11888,11255,11424,10232,9808,9543,9336,8238,6649,4245,3998,3182,2599,1222,475,266,170,0,0
"Bellevue","Huron/Sandusky County","Ohio",8059,8202,8193,8146,8187,8604,8286,6906,6127,6256,5776,5209,4101,3052,2169,1219,785,0,0,0,0,0,0
"Bellville","Richland County","Ohio",1878,1918,1773,1568,1714,1685,1621,1355,1199,987,998,1056,1039,941,971,720,0,0,0,0,0,0,0
"Belmont","Belmont County","Ohio",446,453,532,471,714,666,563,638,697,674,680,572,422,384,319,0,0,0,0,0,0,0,0
"Belmore","Putnam County","Ohio",141,143,171,161,205,319,232,216,238,251,269,298,334,414,445,261,0,0,0,0,0,0,0
"Beloit","Mahoning County","Ohio",946,978,1024,1037,1093,921,877,778,706,694,589,510,0,0,162,0,0,0,0,0,0,0,0
"Belpre","Washington County","Ohio",6436,6441,6660,6796,7193,7189,5418,2451,1717,1724,1317,1249,0,1007,901,911,0,0,0,0,0,0,0
"Bentleyville","Cuyahoga County","Ohio",859,864,947,674,381,338,301,152,117,83,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benton Ridge","Hancock County","Ohio",303,299,315,351,343,329,325,337,304,245,240,352,359,250,179,0,0,0,0,0,0,0,0
"Berea","Cuyahoga County","Ohio",18986,19093,18970,19051,19567,22465,16592,12051,6025,5697,2959,2609,2510,2533,1682,1628,0,0,0,0,0,0,0
"Bergholz","Jefferson County","Ohio",641,664,769,713,914,914,955,1035,1122,918,1215,1011,0,0,0,0,0,0,0,0,0,0,0
"Berkey","Lucas County","Ohio",236,237,265,264,306,294,257,239,248,261,201,0,0,0,0,0,0,0,0,0,0,0,0
"Berlin Heights","Erie County","Ohio",695,714,685,691,756,828,721,613,552,569,514,554,625,517,424,0,0,0,0,0,0,0,0
"Bethel","Clermont County","Ohio",2766,2711,2637,2407,2231,2214,2019,1932,1604,1312,1340,1201,850,625,582,634,0,0,0,0,0,0,0
