"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890
"Achille","Bryan County","Oklahoma",507,492,506,491,480,382,294,383,356,383,500,0,0,0
"Ada","Pontotoc County","Oklahoma",17130,16810,15691,15820,15902,14859,14347,15995,15143,11261,8012,4349,0,0
"Adair","Mayes County","Oklahoma",818,790,704,685,508,459,434,299,407,290,369,376,268,0
"Addington","Jefferson County","Oklahoma",109,114,117,100,141,123,144,174,250,318,368,493,0,0
"Afton","Ottawa County","Oklahoma",1054,1049,1118,915,1174,1022,1111,1252,1261,1219,1518,1279,606,0
"Agra","Lincoln County","Oklahoma",342,339,356,334,354,335,265,302,281,258,272,366,0,0
"Albion","Pushmataha County","Oklahoma",102,106,143,88,165,186,161,178,240,256,301,0,0,0
"Alderson","Pittsburg County","Oklahoma",292,304,261,395,366,215,207,311,340,421,855,786,0,0
"Alex","Grady County","Oklahoma",550,550,635,639,769,492,545,563,544,598,478,0,0,0
"Aline","Alfalfa County","Oklahoma",215,207,214,295,313,260,314,385,405,429,358,303,0,0
"Allen","Pontotoc County","Oklahoma",935,932,951,972,998,974,1005,1215,1389,1438,1377,645,0,0
"Altus","Jackson County","Oklahoma",19531,19813,21447,21910,23101,23302,21225,9735,8593,8439,4522,4821,0,0
"Alva","Woods County","Oklahoma",5174,4945,5288,5495,6416,7440,6258,6505,5055,5121,3913,3688,1499,0
"Amber","Grady County","Oklahoma",444,419,490,418,416,0,0,0,0,0,0,0,0,0
"Ames","Major County","Oklahoma",247,239,199,268,314,227,211,263,332,290,278,0,0,0
"Amorita","Alfalfa County","Oklahoma",38,37,44,56,66,63,74,125,208,194,196,0,0,0
"Anadarko","Caddo County","Oklahoma",6723,6762,6645,6586,6378,6682,6299,6184,5579,5036,3116,3439,0,0
"Antlers","Pushmataha County","Oklahoma",2346,2453,2552,2524,2989,2685,2085,2506,3254,2246,1842,1273,0,0
"Apache","Caddo County","Oklahoma",1429,1444,1616,1591,1560,1421,1455,1190,1047,1302,919,950,0,0
"Arapaho","Custer County","Oklahoma",824,796,748,802,851,531,351,311,401,414,326,713,253,0
"Arcadia","Oklahoma County","Oklahoma",255,247,279,320,0,0,0,0,0,0,0,0,0,0
"Ardmore","Carter County","Oklahoma",25226,24283,23711,23079,23689,20881,20184,17890,16886,15741,14181,8618,5681,0
"Arkoma","Le Flore County","Oklahoma",1941,1989,2180,2393,2175,2098,1862,1691,0,0,0,0,0,0
"Armstrong","Bryan County","Oklahoma",109,105,141,122,0,0,0,0,0,0,0,0,0,0
"Arnett","Ellis County","Oklahoma",523,524,520,547,714,711,547,690,529,426,404,511,0,0
"Asher","Pottawatomie County","Oklahoma",416,393,419,449,659,437,343,420,507,653,370,381,0,0
"Ashland","Pittsburg County","Oklahoma",63,66,53,56,72,73,87,104,142,131,0,0,0,0
"Atoka","Atoka County","Oklahoma",3067,3107,2988,3298,3409,3346,2877,2653,2548,1856,2038,1968,0,0
