"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860
"Adair Village","Benton County","Oregon",815,840,536,554,589,0,0,0,0,0,0,0,0,0,0,0,0
"Adams","Umatilla County","Oregon",348,350,297,223,240,219,192,154,169,178,198,205,268,0,0,0,0
"Adrian","Malheur County","Oregon",172,177,147,131,162,0,0,0,0,0,0,0,0,0,0,0,0
"Albany","Linn County","Oregon",51980,50158,40855,29462,26511,18181,12926,10115,5654,5325,4840,4275,3149,3079,1867,0,0
"Amity","Yamhill County","Oregon",1631,1614,1478,1175,1092,708,620,672,545,438,522,407,292,0,0,0,0
"Antelope","Wasco County","Oregon",47,46,59,34,39,51,46,60,90,136,199,175,249,0,0,0,0
"Arlington","Gilliam County","Oregon",604,586,524,425,521,375,643,686,609,601,529,317,388,356,0,0,0
"Ashland","Jackson County","Oregon",20684,20078,19522,16234,14943,12342,9119,7739,4744,4544,4283,5020,2634,1784,842,0,0
"Astoria","Clatsop County","Oregon",9521,9477,9813,10069,9998,10244,11239,12331,10389,10349,14027,9599,8381,6184,2803,639,252
"Athena","Umatilla County","Oregon",1134,1126,1221,997,965,872,950,750,513,504,621,586,703,495,0,0,0
"Aumsville","Marion County","Oregon",3923,3584,3003,1650,1432,590,300,281,0,153,171,0,0,0,0,0,0
"Aurora","Marion County","Oregon",957,918,655,567,523,306,274,242,228,215,229,190,122,0,0,0,0
"Baker City","Baker County","Oregon",9801,9828,9896,9140,9471,9354,9986,9471,9342,7858,7729,6742,6663,2604,1258,312,0
"Bandon","Coos County","Oregon",3037,3066,2833,2215,2311,1832,1653,1251,1004,1416,1440,1803,645,219,0,0,0
"Banks","Washington County","Oregon",1885,1777,1286,563,489,430,347,376,247,209,0,0,0,0,0,0,0
"Barlow","Clackamas County","Oregon",138,135,140,118,105,105,85,75,52,40,42,69,0,0,0,0,0
"Bay City","Tillamook County","Oregon",1292,1286,1149,1027,986,898,996,761,379,427,511,281,203,0,0,0,0
"Beaverton","Washington County","Oregon",95109,89803,76577,53310,31962,18577,5937,2512,1052,1138,580,386,249,0,0,0,0
