"Place","Type","County","State",2015,2010,2000
"Berwick","township","Adams County","Pennsylvania",2402,2389,1818
"Butler","township","Adams County","Pennsylvania",2580,2567,2678
"Conewago","township","Adams County","Pennsylvania",7183,7085,5709
"Cumberland","township","Adams County","Pennsylvania",6233,6162,5718
"Franklin","township","Adams County","Pennsylvania",4910,4877,4590
"Freedom","township","Adams County","Pennsylvania",842,831,844
"Germany","township","Adams County","Pennsylvania",2730,2700,2269
"Hamilton","township","Adams County","Pennsylvania",2560,2530,2044
"Hamiltonban","township","Adams County","Pennsylvania",2389,2372,2216
"Highland","township","Adams County","Pennsylvania",953,943,825
"Huntington","township","Adams County","Pennsylvania",2383,2369,2233
"Latimore","township","Adams County","Pennsylvania",2606,2580,2528
"Liberty","township","Adams County","Pennsylvania",1248,1237,1063
"Menallen","township","Adams County","Pennsylvania",3540,3515,2974
"Mount Joy","township","Adams County","Pennsylvania",3707,3670,3232
"Mount Pleasant","township","Adams County","Pennsylvania",4718,4693,4420
"Oxford","township","Adams County","Pennsylvania",5590,5517,4876
"Reading","township","Adams County","Pennsylvania",5843,5780,5106
"Straban","township","Adams County","Pennsylvania",4956,4928,4539
"Tyrone","township","Adams County","Pennsylvania",2302,2298,2273
"Union","township","Adams County","Pennsylvania",3188,3148,2989
"Aleppo","township","Allegheny County","Pennsylvania",1905,1916,1039
"Baldwin","township","Allegheny County","Pennsylvania",1967,1992,2244
"Collier","township","Allegheny County","Pennsylvania",7923,7080,5265
"Crescent","township","Allegheny County","Pennsylvania",2607,2640,2314
"East Deer","township","Allegheny County","Pennsylvania",1474,1500,1362
"Elizabeth","township","Allegheny County","Pennsylvania",13226,13271,13839
"Fawn","township","Allegheny County","Pennsylvania",2353,2376,2504
"Findlay","township","Allegheny County","Pennsylvania",5540,5060,5145
"Forward","township","Allegheny County","Pennsylvania",3343,3376,3771
"Frazer","township","Allegheny County","Pennsylvania",1159,1157,1286
"Hampton","township","Allegheny County","Pennsylvania",18482,18363,17526
"Harmar","township","Allegheny County","Pennsylvania",3069,2921,3242
"Harrison","township","Allegheny County","Pennsylvania",10450,10461,10934
"Indiana","township","Allegheny County","Pennsylvania",7264,7253,6809
"Kennedy","township","Allegheny County","Pennsylvania",8120,7672,7504
"Kilbuck","township","Allegheny County","Pennsylvania",690,697,723
"Leet","township","Allegheny County","Pennsylvania",1619,1634,1568
"Marshall","township","Allegheny County","Pennsylvania",8608,6915,29022
"McCandless","township","Allegheny County","Pennsylvania",28844,28457,5996
"Moon","township","Allegheny County","Pennsylvania",25562,24185,22290
"Mount Lebanon","township","Allegheny County","Pennsylvania",32765,33137,33017
"Neville","township","Allegheny County","Pennsylvania",1068,1084,1232
"North Fayette","township","Allegheny County","Pennsylvania",14600,13934,12254
"North Versailles","township","Allegheny County","Pennsylvania",10179,10229,11125
"O'Hara","township","Allegheny County","Pennsylvania",8562,8407,8856
"Ohio","township","Allegheny County","Pennsylvania",6098,4757,3086
"Penn Hills","township","Allegheny County","Pennsylvania",41924,42329,46809
"Pine","township","Allegheny County","Pennsylvania",12743,11497,7683
"Reserve","township","Allegheny County","Pennsylvania",3293,3333,3856
"Richland","township","Allegheny County","Pennsylvania",11540,11100,9231
"Robinson","township","Allegheny County","Pennsylvania",13739,13354,12289
"Ross","township","Allegheny County","Pennsylvania",30900,31105,32551
"Scott","township","Allegheny County","Pennsylvania",16877,17024,17288
"Shaler","township","Allegheny County","Pennsylvania",28516,28757,29757
"South Fayette","township","Allegheny County","Pennsylvania",15504,14416,12271
"South Park","township","Allegheny County","Pennsylvania",13457,13416,14340
"South Versailles","township","Allegheny County","Pennsylvania",351,351,351
"Springdale","township","Allegheny County","Pennsylvania",1618,1636,1802
"Stowe","township","Allegheny County","Pennsylvania",6266,6362,6706
"Upper St. Clair","township","Allegheny County","Pennsylvania",19644,19229,20053
"West Deer","township","Allegheny County","Pennsylvania",11944,11771,11563
"Wilkins","township","Allegheny County","Pennsylvania",6295,6357,6917
