"Place","Type","County","State",2015,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Barrington","town","Bristol County","Rhode Island",16240,16310,16819,15849,16174,17554,13826,8246,6231,5162,3897,2452,1135,1461,1359,1111,1000,795,549,612,634,604,650,683
"Bristol","town","Bristol County","Rhode Island",22357,22954,22469,21625,20128,17860,14570,12320,11159,11953,11375,8565,6901,5478,6628,5302,5271,4616,3490,3084,3197,2698,1678,1406
"Warren","town","Bristol County","Rhode Island",10487,10611,11360,11385,10640,10523,8750,8513,8158,7974,7841,6585,5108,4489,4007,3008,2636,3103,2437,1800,1806,1775,1473,1122
"Coventry","town","Kent County","Rhode Island",34988,35014,33668,31083,27065,22947,15432,9869,6998,6430,5670,5848,5279,5068,4519,4349,4247,3620,3433,3851,3139,2928,2423,2477
"East Greenwich","town","Kent County","Rhode Island",13128,13146,12948,11865,10211,9577,6100,4923,3842,3666,3290,3420,2775,3127,2887,2660,2882,2358,1509,1591,1519,1530,1775,1824
"Warwick","city","Kent County","Rhode Island",81699,82672,85808,85427,87123,83694,68504,43028,28757,23196,13481,26629,21316,17761,12164,10453,8916,7740,6726,5529,3643,3757,2532,2493
"West Greenwich","town","Kent County","Rhode Island",6134,6135,5085,3492,2738,1841,1169,847,526,402,367,481,606,798,1018,1133,1258,1350,1415,1817,1927,1619,1757,2054
"West Warwick","town","Kent County","Rhode Island",28852,29191,29581,29268,27026,24323,21414,19096,18188,17696,15461,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamestown","town","Newport County","Rhode Island",5482,5405,5622,4999,4040,2911,2267,2068,1744,1599,1633,1175,1091,707,459,378,400,358,365,415,448,504,501,507
"Little Compton","town","Newport County","Rhode Island",3505,3492,3593,3339,3085,2385,1702,1556,1492,1382,1389,1273,1132,1128,1202,1166,1304,1462,1327,1378,1580,1553,1577,1542
"Middletown","town","Newport County","Rhode Island",16051,16150,17334,19460,17216,29290,12675,7382,3379,2499,2004,1708,1457,1154,1139,971,1012,830,891,915,949,976,913,840
"Newport","city","Newport County","Rhode Island",24232,24672,26475,28227,29259,34562,47049,37564,30532,27612,30255,27149,22441,19457,15693,12521,10508,9563,8333,8010,7319,7907,6739,6716
"Portsmouth","town","Newport County","Rhode Island",17373,17389,17149,16857,14257,12521,8251,6578,3683,2969,2590,2681,2105,1949,1979,2003,2048,1833,1706,1727,1645,1795,1684,1560
"Tiverton","town","Newport County","Rhode Island",15780,15780,15260,14312,13526,12559,9461,5659,5018,4578,3894,4032,2977,2837,2505,1808,1927,4699,3183,2905,2875,2837,2717,2453
"Burrillville","town","Providence County","Rhode Island",16303,15955,15796,16230,13164,10087,9119,8774,8185,7677,8696,7878,6317,5492,5714,4674,4140,3538,1982,2196,2164,1834,0,0
"Central Falls","city","Providence County","Rhode Island",19303,19376,18928,17637,16995,18716,19858,23550,25248,25898,24174,22754,18167,0,0,0,0,0,0,0,0,0,0,0
"Cranston","city","Providence County","Rhode Island",81073,80387,79269,76060,71992,74287,66766,55060,47085,42911,23407,21107,13343,8099,5940,4822,7500,4311,2901,2652,2274,2161,1644,1877
"Cumberland","town","Providence County","Rhode Island",34529,33506,31840,29038,27069,26605,18792,12842,10625,10304,10077,10107,8925,8090,6445,3882,8339,6661,5225,3675,2653,2210,2056,1964
