"Place","County","State",2014,2010,2000,1990,1980,1970
"Alpine","Utah County","Utah",10131,9555,7146,3492,2649,1047
"Alta","Salt Lake County","Utah",390,383,370,397,381,0
"Altamont","Duchesne County","Utah",251,225,178,167,247,129
"Alton","Kane County","Utah",118,119,134,93,75,62
"Amalga","Cache County","Utah",501,488,427,366,323,207
"American Fork","Utah County","Utah",28152,26263,21941,15696,12564,7713
"Annabella","Sevier County","Utah",794,795,603,487,463,221
"Antimony","Garfield County","Utah",120,122,122,83,94,113
"Apple Valley","Washington County","Utah",718,701,0,0,0,0
"Aurora","Sevier County","Utah",1018,1016,947,911,874,493
"Ballard","Uintah County","Utah",1010,801,566,644,558,0
"Bear River City","Box Elder County","Utah",842,853,750,700,540,445
"Beaver","Beaver County","Utah",3061,3112,2454,1998,1792,1453
"Bicknell","Wayne County","Utah",326,327,353,327,296,264
"Big Water","Kane County","Utah",474,475,417,326,0,0
"Blanding","San Juan County","Utah",3668,3375,3162,3162,3118,2250
"Bluffdale","Salt Lake County","Utah",9887,7598,4700,2152,1300,0
"Boulder","Garfield County","Utah",223,226,180,126,113,93
"Bountiful","Davis County","Utah",43385,42552,41301,36659,32877,27751
"Brian Head","Iron County","Utah",86,83,118,109,77,0
"Brigham City","Box Elder County","Utah",18631,17899,17411,15644,15596,14007
"Bryce Canyon City","Garfield County","Utah",223,198,0,0,0,0
"Cannonville","Garfield County","Utah",168,167,148,131,134,113
"Castle Dale","Emery County","Utah",1590,1630,1657,1704,1910,541
"Castle Valley","Grand County","Utah",334,319,349,211,0,0
"Cedar City","Iron County","Utah",29483,28857,20527,13443,10972,8946
"Cedar Fort","Utah County","Utah",383,368,341,284,269,188
"Cedar Hills","Utah County","Utah",10261,9796,3094,769,571,0
"Centerfield","Sanpete County","Utah",1384,1367,1048,766,653,419
"Centerville","Davis County","Utah",16819,15335,14585,11500,8069,3268
"Central Valley","Sevier County","Utah",548,528,0,0,0,0
"Charleston","Wasatch County","Utah",451,415,378,336,320,196
"Circleville","Piute County","Utah",517,547,505,417,445,443
"Clarkston","Cache County","Utah",680,666,688,645,562,420
"Clawson","Emery County","Utah",198,163,153,151,0,0
"Clearfield","Davis County","Utah",30484,30112,25974,21435,17982,13316
"Cleveland","Emery County","Utah",453,464,508,498,522,244
"Clinton","Davis County","Utah",21104,20426,12585,7945,5777,1768
"Coalville","Summit County","Utah",1425,1363,1382,1065,1031,864
"Corinne","Box Elder County","Utah",690,685,621,639,512,471
"Cornish","Cache County","Utah",306,288,259,205,181,173
"Cottonwood Heights","Salt Lake County","Utah",34166,33433,27569,28766,22665,0
"Daniel","Wasatch County","Utah",1035,938,770,0,0,0
"Delta","Millard County","Utah",3474,3436,3209,2998,1930,1610
"Deweyville","Box Elder County","Utah",328,332,278,318,311,248
"Draper","Salt Lake County","Utah",46202,42274,25220,7257,5521,0
"Duchesne","Duchesne County","Utah",1801,1690,1408,1308,1677,1094
"Eagle Mountain","Utah County","Utah",25593,21415,2157,0,0,0
"East Carbon-Sunnyside","Carbon County","Utah",1602,0,0,0,0,0
"Elk Ridge","Utah County","Utah",3005,2436,1838,771,381,0
"Elmo","Emery County","Utah",417,418,368,267,300,141
"Elsinore","Sevier County","Utah",845,847,733,608,612,357
"Elwood","Box Elder County","Utah",1034,1034,678,575,481,294
"Emery","Emery County","Utah",276,288,308,300,372,216
"Enoch","Iron County","Utah",6115,5803,3467,1947,678,120
"Enterprise","Washington County","Utah",1780,1711,1285,936,905,844
"Ephraim","Sanpete County","Utah",6463,6135,4505,3363,2810,2127
"Escalante","Garfield County","Utah",793,797,818,818,652,638
"Eureka","Juab County","Utah",667,669,766,562,670,753
"Fairfield","Utah County","Utah",125,119,0,0,0,0
"Fairview","Sanpete County","Utah",1271,1247,1160,960,916,696
"Farmington","Davis County","Utah",22159,18275,12081,9028,4691,2526
"Farr West","Weber County","Utah",6329,5928,3094,2178,0,0
"Fayette","Sanpete County","Utah",245,242,204,183,165,93
"Ferron","Emery County","Utah",1603,1626,1623,1606,1718,663
"Fielding","Box Elder County","Utah",447,455,448,422,325,254
"Fillmore","Millard County","Utah",2492,2435,2253,1956,2083,1411
"Fountain Green","Sanpete County","Utah",1088,1071,945,578,578,467
"Francis","Summit County","Utah",1168,1077,698,381,371,268
"Fruit Heights","Davis County","Utah",5859,4987,4701,3900,2728,800
"Garden City","Rich County","Utah",575,562,357,193,259,134
"Garland","Box Elder County","Utah",2422,2400,1943,1637,1405,1187
"Genola","Utah County","Utah",1408,1370,965,803,630,424
"Glendale","Kane County","Utah",374,381,355,282,237,200
"Glenwood","Sevier County","Utah",463,464,437,437,447,212
"Goshen","Utah County","Utah",950,921,874,578,582,459
"Grantsville","Tooele County","Utah",9838,8893,6015,4500,4419,2931
"Green River","Emery County","Utah",989,952,973,866,1048,1033
"Gunnison","Sanpete County","Utah",3291,3285,2394,1298,1255,1073
"Hanksville","Wayne County","Utah",213,219,362,0,0,0
"Harrisville","Weber County","Utah",6069,5567,3645,3004,1371,749
"Hatch","Garfield County","Utah",141,133,127,103,121,139
"Heber","Wasatch County","Utah",13599,11362,7291,4782,4362,3245
"Helper","Carbon County","Utah",2144,2201,2025,2148,2724,1964
"Henefer","Summit County","Utah",834,766,684,554,547,446
"Henrieville","Garfield County","Utah",220,230,159,163,167,145
"Herriman","Salt Lake County","Utah",28556,21785,1523,0,0,0
"Hideout","Wasatch County","Utah",705,656,0,0,0,0
"Highland","Utah County","Utah",17456,15523,8172,5002,2435,0
"Hildale","Washington County","Utah",2926,2726,1895,1325,1009,480
"Hinckley","Millard County","Utah",698,696,698,658,464,400
"Holden","Millard County","Utah",373,378,400,402,364,351
"Holladay","Salt Lake County","Utah",27129,26472,14561,14095,0,0
"Honeyville","Box Elder County","Utah",1441,1441,1214,1112,915,640
"Hooper","Weber County","Utah",8107,7218,3926,3468,0,0
"Howell","Box Elder County","Utah",247,245,221,237,176,146
"Huntington","Emery County","Utah",2056,2129,2131,1875,2316,857
"Huntsville","Weber County","Utah",617,608,649,561,577,553
"Hurricane","Washington County","Utah",15032,13748,8250,3915,2361,1408
"Hyde Park","Cache County","Utah",4274,3833,2955,2190,1495,1025
"Hyrum","Cache County","Utah",7818,7609,6316,4829,3952,2340
"Independence","Wasatch County","Utah",167,164,0,0,0,0
"Ivins","Washington County","Utah",7665,6753,4450,1630,600,137
"Joseph","Sevier County","Utah",341,344,269,198,217,125
"Junction","Piute County","Utah",180,191,177,132,151,135
"Kamas","Summit County","Utah",1989,1811,1274,1061,1064,806
"Kanab","Kane County","Utah",4463,4312,3564,3289,2148,1381
"Kanarraville","Iron County","Utah",364,355,311,228,255,204
"Kanosh","Millard County","Utah",470,474,485,386,435,319
"Kaysville","Davis County","Utah",29494,27300,20351,13961,9811,6192
"Kingston","Piute County","Utah",163,173,142,134,146,114
"Koosharem","Sevier County","Utah",326,327,276,266,183,141
"La Verkin","Washington County","Utah",4163,4060,3392,1771,1174,463
"Laketown","Rich County","Utah",256,248,188,261,271,208
"Layton","Davis County","Utah",72231,67311,58474,41784,22862,13603
"Leamington","Millard County","Utah",229,226,217,253,113,112
"Leeds","Washington County","Utah",837,820,547,254,218,151
"Lehi","Utah County","Utah",56275,47407,19028,8475,6848,4659
"Levan","Juab County","Utah",862,841,688,416,453,376
"Lewiston","Cache County","Utah",1752,1766,1877,1532,1438,1244
"Lindon","Utah County","Utah",10723,10070,8363,3818,2796,1644
"Loa","Wayne County","Utah",596,572,525,444,364,324
"Logan","Cache County","Utah",48997,48174,42670,32762,26844,22333
"Lyman","Wayne County","Utah",251,258,234,198,0,0
"Lynndyl","Millard County","Utah",109,106,134,120,90,111
"Manila","Daggett County","Utah",334,310,308,207,272,226
"Manti","Sanpete County","Utah",3362,3276,3040,2268,2080,1803
"Mantua","Box Elder County","Utah",694,687,791,665,484,413
"Mapleton","Utah County","Utah",9071,7979,5809,3572,2726,1980
"Marriott-Slaterville","Weber County","Utah",1740,1701,1425,0,0,0
"Marysvale","Piute County","Utah",388,408,381,364,359,289
"Mayfield","Sanpete County","Utah",503,496,420,438,397,267
"Meadow","Millard County","Utah",313,310,254,250,265,238
"Mendon","Cache County","Utah",1315,1282,898,684,663,345
"Midvale","Salt Lake County","Utah",31725,27964,27029,11886,10146,7840
"Midway","Wasatch County","Utah",4436,3845,2121,1554,1194,804
"Milford","Beaver County","Utah",1353,1409,1451,1107,1293,1304
"Millville","Cache County","Utah",1918,1829,1507,1202,848,441
"Minersville","Beaver County","Utah",882,907,817,608,552,448
"Moab","Grand County","Utah",5140,5046,4779,3971,5333,4793
"Mona","Juab County","Utah",1578,1547,850,584,536,309
"Monroe","Sevier County","Utah",2262,2256,1845,1472,1476,918
"Monticello","San Juan County","Utah",1999,1972,1958,1806,1929,1431
"Morgan","Morgan County","Utah",3957,3687,2635,2023,1896,1586
"Moroni","Sanpete County","Utah",1451,1423,1280,1115,1086,894
"Mount Pleasant","Sanpete County","Utah",3305,3260,2707,2092,2049,1516
"Murray","Salt Lake County","Utah",48822,46746,34024,31282,25750,21206
"Myton","Duchesne County","Utah",619,569,539,468,500,322
"Naples","Uintah County","Utah",2148,1755,1300,1334,0,0
"Nephi","Juab County","Utah",5508,5389,4733,3515,3285,2699
"New Harmony","Washington County","Utah",210,207,190,101,117,78
"Newton","Cache County","Utah",778,789,699,659,623,444
"Nibley","Cache County","Utah",6172,5438,2045,1167,1036,367
"North Logan","Cache County","Utah",9874,8269,6163,3768,2258,1405
"North Ogden","Weber County","Utah",18172,17357,15026,11668,9309,5257
"North Salt Lake","Davis County","Utah",19193,16322,8749,6474,5548,2143
"Oak City","Millard County","Utah",598,578,650,587,389,278
"Oakley","Summit County","Utah",1576,1470,948,522,470,265
"Ogden","Weber County","Utah",84316,82825,77226,63909,64407,69478
"Ophir","Tooele County","Utah",48,38,23,25,42,76
"Orangeville","Emery County","Utah",1423,1470,1398,1459,1309,511
"Orderville","Kane County","Utah",572,577,596,422,423,399
"Orem","Utah County","Utah",91781,88328,84324,67561,52399,25729
"Panguitch","Garfield County","Utah",1490,1520,1623,1444,1343,1318
"Paradise","Cache County","Utah",923,904,759,561,542,399
"Paragonah","Iron County","Utah",501,488,470,307,310,275
"Park City","Summit County","Utah",8058,7558,7371,4468,2823,1193
"Parowan","Iron County","Utah",2862,2790,2565,1873,1836,1423
"Payson","Utah County","Utah",19331,18294,12716,9510,8246,4501
"Perry","Box Elder County","Utah",4621,4512,2383,1211,1084,909
"Plain City","Weber County","Utah",6214,5476,3489,2722,2379,1543
"Pleasant Grove","Utah County","Utah",37064,33509,23468,13476,10833,5327
"Pleasant View","Weber County","Utah",8948,7979,5632,3603,3983,2021
"Plymouth","Box Elder County","Utah",405,414,328,267,238,203
"Portage","Box Elder County","Utah",252,245,257,218,196,144
"Price","Carbon County","Utah",8358,8715,8402,8712,9086,6218
"Providence","Cache County","Utah",7066,7075,4377,3344,2675,1608
"Provo","Utah County","Utah",114801,112488,105166,86835,74111,53131
"Randolph","Rich County","Utah",462,464,483,488,659,500
"Redmond","Sevier County","Utah",732,730,788,648,619,409
"Richfield","Sevier County","Utah",7518,7551,6847,5593,5482,4471
"Richmond","Cache County","Utah",2535,2470,2051,1955,1705,1000
"River Heights","Cache County","Utah",1894,1734,1496,1274,1211,1008
"Riverdale","Weber County","Utah",8592,8426,7656,6419,6031,3704
"Riverton","Salt Lake County","Utah",41457,38753,25011,11261,7032,2820
"Rockville","Washington County","Utah",255,245,247,182,0,0
"Rocky Ridge","Juab County","Utah",761,733,403,0,0,0
"Roosevelt","Duchesne County","Utah",6777,6046,4299,3915,3842,2005
"Roy","Weber County","Utah",37877,36884,32885,24603,19694,14356
"Rush Valley","Tooele County","Utah",468,447,453,339,356,541
"Salem","Utah County","Utah",7237,6423,4372,2284,2233,1081
"Salina","Sevier County","Utah",2494,2489,2393,1943,1992,1494
"Salt Lake City","Salt Lake County","Utah",190884,186440,181743,159936,163034,175885
"Sandy","Salt Lake County","Utah",91148,87461,88418,75058,52210,6438
"Santa Clara","Washington County","Utah",6671,6003,4630,2322,1091,271
"Santaquin","Utah County","Utah",10106,9128,4834,2386,2175,1236
"Saratoga Springs","Utah County","Utah",24356,17781,1003,0,0,0
"Scipio","Millard County","Utah",324,327,290,291,257,264
"Scofield","Carbon County","Utah",23,24,28,43,105,71
"Sigurd","Sevier County","Utah",426,429,430,385,386,291
"Smithfield","Cache County","Utah",11014,9495,7261,5566,4993,3342
"Snowville","Box Elder County","Utah",170,167,177,251,237,174
"South Jordan","Salt Lake County","Utah",62781,50418,29437,12220,7492,2942
"South Ogden","Weber County","Utah",16852,16532,14377,12105,11366,9991
"South Salt Lake","Salt Lake County","Utah",24748,23617,22038,10129,10413,7810
"South Weber","Davis County","Utah",6731,6051,4260,2863,1575,1073
"Spanish Fork","Utah County","Utah",37527,34691,20246,11272,9825,7284
"Spring City","Sanpete County","Utah",1001,988,956,715,671,456
"Springdale","Washington County","Utah",548,529,457,275,258,172
"Springville","Utah County","Utah",31464,29466,20424,13950,12101,8790
"St. George","Washington County","Utah",78505,72897,49663,28502,11350,7097
"Sterling","Sanpete County","Utah",276,262,235,191,199,144
"Stockton","Tooele County","Utah",638,616,443,426,437,469
"Sunset","Davis County","Utah",5149,5122,5204,5128,5733,6268
"Syracuse","Davis County","Utah",26639,24331,9398,4658,3702,1843
"Tabiona","Duchesne County","Utah",186,171,149,120,152,125
"Taylorsville","Salt Lake County","Utah",60433,58652,57439,52351,17448,0
"Tooele","Tooele County","Utah",32573,31605,22502,13887,14335,12539
"Toquerville","Washington County","Utah",1448,1370,910,488,277,185
"Torrey","Wayne County","Utah",181,182,171,122,140,84
"Tremonton","Box Elder County","Utah",8066,7647,5592,4264,3464,2794
"Trenton","Cache County","Utah",497,464,449,464,447,390
"Tropic","Garfield County","Utah",513,530,508,374,338,329
"Uintah","Weber County","Utah",1333,1322,1127,760,439,400
"Vernal","Uintah County","Utah",10844,9089,7714,6644,6600,3908
"Vernon","Tooele County","Utah",264,243,236,181,181,0
"Vineyard","Utah County","Utah",691,139,150,151,0,0
"Virgin","Washington County","Utah",605,596,394,229,169,119
"Wales","Sanpete County","Utah",302,302,219,189,153,89
"Wallsburg","Wasatch County","Utah",303,250,274,252,239,211
"Washington","Washington County","Utah",23360,18761,8186,4198,3092,750
"Washington Terrace","Weber County","Utah",9177,9067,8551,8189,8212,7241
"Wellington","Carbon County","Utah",1641,1676,1666,1632,1406,922
