"NAME","COUNTY","STNAME",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Abingdon","Washington County","Virginia",8146,8191,7780,7003,4318,4376,4758,4709,3158,2877,2532,1757,1306,1674,1064,715,0,0,0,0,0,0,0,0
"Accomac","Accomack County","Virginia",496,519,547,466,522,373,414,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alberta","Brunswick County","Virginia",286,298,306,337,394,466,430,430,416,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexandria","Alexandria","Virginia",150575,139966,128283,111183,103217,110927,91023,61787,33523,24149,18060,15329,14528,14339,13659,13570,12652,8734,8459,8241,8218,7227,4971,2748
"Altavista","Campbell County","Virginia",3460,3450,3425,3686,3849,2708,3299,3332,2919,2367,1206,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amherst","Amherst County","Virginia",2206,2231,2251,1060,1135,1108,1200,1038,930,876,559,618,0,590,0,0,0,0,0,0,0,0,0,0
"Appalachia","Wise County","Virginia",1684,1754,1839,1994,2418,2161,2456,2915,3010,3595,2036,1090,0,0,0,0,0,0,0,0,0,0,0,0
"Appomattox","Appomattox County","Virginia",1744,1733,1761,1707,1345,1400,1184,1094,992,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashland","Hanover County","Virginia",7328,7225,6619,5864,4640,2934,2773,2610,1718,1297,1290,1324,1147,948,764,491,148,0,0,0,0,0,0,0
"Bedford","Bedford County","Virginia",6466,6222,6299,6073,5991,6011,5921,4061,3973,3713,3243,2508,2416,2897,2191,1208,722,0,0,0,0,0,0,0
"Belle Haven","Accomack County","Virginia",525,532,480,526,589,504,371,453,277,372,311,296,331,0,0,0,0,0,0,0,0,0,0,0
"Berryville","Clarke County","Virginia",4297,4185,2963,3097,1752,1569,1645,1401,1262,1094,1138,876,938,0,0,580,356,0,0,0,0,0,0,0
"Big Stone Gap","Wise County","Virginia",5457,5614,4856,4748,4748,4153,4688,5173,4331,3908,3009,2590,1617,0,0,0,0,0,0,0,0,0,0,0
"Blacksburg","Montgomery County","Virginia",43985,42620,39573,34590,30638,9384,7070,3358,2133,1406,1095,875,768,0,688,0,0,0,0,0,0,0,0,0
"Blackstone","Nottoway County","Virginia",3553,3621,3675,3497,3624,3412,3659,3536,2699,1772,1497,1486,585,580,0,0,0,0,0,0,0,0,0,0
"Bloxom","Accomack County","Virginia",386,387,395,357,407,391,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bluefield","Tazewell County","Virginia",5302,5444,5078,5363,5946,5286,4235,4212,3921,3006,2752,1917,1554,1021,0,0,0,0,0,0,0,0,0,0
"Boones Mill","Franklin County","Virginia",234,239,285,239,344,363,371,335,377,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowling Green","Caroline County","Virginia",1152,1111,936,727,665,528,528,616,541,422,463,433,458,511,426,395,237,377,0,0,0,0,0,0
