"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790
"Albany (village)","Orleans County","Vermont",187,193,165,180,174,175,169,196,200,189,152,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alburgh (village)","Grand Isle County","Vermont",499,0,488,436,496,520,426,563,638,633,364,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barre (city)","Washington County","Vermont",8837,9052,9291,9482,9824,10209,10387,10922,10909,11307,10008,10734,8448,4146,1025,0,0,0,0,0,0,0,0,0
"Barton (village)","Orleans County","Vermont",708,737,742,908,1062,1051,1169,1267,1262,1363,1187,1330,1050,778,742,0,0,0,0,0,0,0,0,0
"Bellows Falls (village)","Windham County","Vermont",3061,3148,3165,3313,3456,3505,3831,3881,4236,3930,4860,4883,4337,3092,2229,697,0,0,0,0,0,0,0,0
"Burlington","Chittenden County","Vermont",42211,42417,38889,39127,37712,38633,35531,33155,27686,24789,22779,20468,18640,14590,11365,14387,6213,6110,0,0,0,0,0,0
"Cambridge (village)","Lamoille County","Vermont",236,236,235,292,217,235,217,244,217,237,293,595,0,0,0,0,0,0,0,0,0,0,0,0
"Derby Center (village)","Orleans County","Vermont",580,597,670,684,598,547,433,383,346,300,292,316,297,0,0,0,0,0,0,0,0,0,0,0
"Derby Line (village)","Orleans County","Vermont",656,673,776,855,874,834,849,767,661,683,640,390,309,0,0,0,0,0,0,0,0,0,0,0
"Enosburg Falls (village)","Franklin County","Vermont",1314,1329,1473,1350,1207,1266,1321,1289,1168,1195,1236,1153,954,974,0,0,0,0,0,0,0,0,0,0
"Essex Junction (village)","Chittenden County","Vermont",9881,9271,8591,8396,7033,6511,5340,2741,1901,1621,1410,1245,1141,0,0,0,0,0,0,0,0,0,0,0
"Hyde Park (village)","Lamoille County","Vermont",491,462,415,457,475,418,474,440,330,313,368,423,422,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville (village)","Windham County","Vermont",220,223,237,244,252,251,240,220,240,220,221,212,0,0,0,0,0,0,0,0,0,0,0,0
"Jeffersonville (village)","Lamoille County","Vermont",747,729,568,462,491,382,346,387,287,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson (village)","Lamoille County","Vermont",1444,1443,1420,1470,1393,1296,941,900,753,659,681,651,587,0,0,0,0,0,0,0,0,0,0,0
"Ludlow (village)","Windsor County","Vermont",795,811,958,1123,1352,1508,1658,1678,1780,1642,1732,1621,1454,1081,1179,0,0,0,0,0,0,0,0,0
"Lyndonville (village)","Caledonia County","Vermont",1199,1207,1227,1255,1401,1415,1477,1506,1444,1559,1878,1573,1274,606,788,0,0,0,0,0,0,0,0,0
