"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800
"Addison town","Addison County","Vermont",1365,1371,1393,1023,889,717,645,628,576,684,743,796,851,900,847,911,1000,1279,1232,1306,1210,1100,734
"Bridport town","Addison County","Vermont",1221,1218,1235,1137,997,809,653,663,665,703,745,848,956,1018,1167,1176,1298,1393,1233,1774,1511,1520,1124
"Bristol town","Addison County","Vermont",3918,3894,3788,3762,3293,2744,2159,1988,1939,1832,1952,2005,2061,1828,1579,1365,1355,1334,1480,1247,1051,1179,665
"Cornwall town","Addison County","Vermont",1189,1185,1136,1101,993,900,756,728,670,640,782,789,850,927,1070,969,977,1155,1164,1264,1120,1279,1163
"Ferrisburgh town","Addison County","Vermont",2779,2775,2657,2317,2117,1875,1426,1387,1347,1285,1338,1433,1619,1601,1684,1768,1738,2075,1755,1822,1581,1647,956
"Goshen town","Addison County","Vermont",163,164,227,226,163,120,76,94,83,84,131,212,286,311,326,330,394,486,621,555,290,86,4
"Granville town","Addison County","Vermont",301,298,303,309,288,255,215,213,247,280,393,464,544,637,830,726,720,603,545,403,328,326,185
"Hancock town","Addison County","Vermont",326,323,382,340,334,283,323,391,371,303,300,287,253,283,382,430,448,430,465,472,548,311,149
"Leicester town","Addison County","Vermont",1119,1100,974,871,803,583,551,511,518,468,436,479,509,562,634,630,737,596,603,638,442,609,522
"Lincoln town","Addison County","Vermont",1272,1271,1214,974,870,599,481,577,745,800,841,980,1152,1255,1368,1174,1070,1057,770,639,278,225,97
"Middlebury town","Addison County","Vermont",8545,8496,8183,8034,7574,6532,5305,4778,3175,2968,2914,2848,3045,2793,2995,3086,2879,3517,3162,3468,2635,2138,1263
"Monkton town","Addison County","Vermont",2047,1980,1759,1482,1201,765,551,520,575,683,671,724,912,847,1025,1006,1123,1246,1310,1384,1152,1248,880
"New Haven town","Addison County","Vermont",1741,1727,1666,1375,1217,1039,922,932,881,964,1001,1161,1107,1224,1355,1355,1419,1663,1503,1834,1566,1688,1135
"Orwell town","Addison County","Vermont",1250,1250,1185,1114,901,851,826,902,876,835,942,1065,1150,1265,1351,1192,1341,1470,1688,1598,1730,324,1376
"Panton town","Addison County","Vermont",675,677,682,606,537,416,352,332,312,306,321,345,409,382,419,390,511,569,670,605,548,520,363
"Ripton town","Addison County","Vermont",595,588,556,444,327,187,131,207,231,194,237,421,525,568,672,617,570,567,357,278,42,15,
