"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870
"Aberdeen","Grays Harbor County","Washington",16255,16896,16461,16565,18739,18489,18741,19653,18846,21723,15337,13660,3747,1638,0,0
"Airway Heights","Spokane County","Washington",6545,6114,4500,1971,1730,744,708,0,0,0,0,0,0,0,0,0
"Albion","Whitman County","Washington",574,579,616,632,631,687,291,256,206,236,252,276,0,0,0,0
"Algona","King County","Washington",3133,3014,2460,1694,1467,1276,1311,0,0,0,0,0,0,0,0,0
"Almira","Lincoln County","Washington",269,284,302,310,330,376,414,395,466,339,450,368,0,0,0,0
"Anacortes","Skagit County","Washington",16232,15778,14557,11451,9013,7701,8414,6919,5875,6564,5284,4168,1476,1131,0,0
"Arlington","Snohomish County","Washington",18808,17926,11713,4037,3282,2261,2025,1635,1460,1439,1418,1476,0,0,0,0
"Asotin","Asotin County","Washington",1290,1251,1095,981,943,637,745,740,686,697,852,820,470,200,0,0
"Auburn","King County","Washington",76347,70180,40314,33102,26417,21653,11933,6497,4211,3906,3163,957,489,740,0,0
"Bainbridge Island","Kitsap County","Washington",23293,23025,20308,3081,2196,1461,919,637,0,0,0,0,0,0,0,0
"Battle Ground","Clark County","Washington",18930,17571,9296,3758,2774,1438,888,0,0,0,0,0,0,0,0,0
"Beaux Arts Village","King County","Washington",323,299,307,303,328,475,351,0,0,0,0,0,0,0,0,0
"Bellevue","King County","Washington",136426,122363,109569,86874,73903,61196,12809,0,0,0,0,0,0,0,0,0
"Bellingham","Whatcom County","Washington",83365,80885,67171,52179,45794,39375,34688,34112,29314,30823,25585,24298,11062,8135,0,0
"Benton City","Benton County","Washington",3191,3038,2624,1806,1980,1070,1210,863,0,0,0,0,0,0,0,0
"Bingen","Klickitat County","Washington",719,712,672,645,644,671,636,736,600,365,0,0,0,0,0,0
"Black Diamond","King County","Washington",4338,4151,3970,1422,1170,1160,1026,0,0,0,0,0,0,561,0,0
"Blaine","Whatcom County","Washington",4976,4684,3770,2489,2363,1955,1735,1693,1524,1642,2254,2289,1592,1563,0,0
"Bonney Lake","Pierce County","Washington",18809,17374,9687,7494,5328,2700,645,275,0,0,0,0,0,0,0,0
"Bothell","King County","Washington",36567,33505,30150,12345,7943,5420,2237,1019,794,818,613,599,0,0,0,0
"Bremerton","Kitsap County","Washington",38572,37729,37259,38142,36208,35307,28922,27678,15134,10170,8918,2993,0,0,0,0
"Brewster","Okanogan County","Washington",2354,2370,2189,1633,1337,1059,940,851,447,413,394,296,0,0,0,0
"Bridgeport","Douglas County","Washington",2434,2409,2059,1498,1174,952,876,802,320,305,337,431,0,0,0,0
"Brier","Snohomish County","Washington",6434,6087,6383,5633,2915,3093,0,0,0,0,0,0,0,0,0,0
"Buckley","Pierce County","Washington",4520,4354,4145,3516,3143,3446,3538,2705,1170,1052,1119,1272,1014,0,0,0
"Bucoda","Thurston County","Washington",565,562,628,536,519,421,390,473,541,703,442,0,0,945,0,0
"Burien","King County","Washington",50188,33313,31881,25089,23189,0,0,0,0,0,0,0,0,0,0,0
"Burlington","Skagit County","Washington",8568,8388,6757,4349,3894,3138,2968,2350,1632,1407,1360,1302,0,0,0,0
"Camas","Clark County","Washington",21220,19355,12534,6442,5681,5790,5666,4725,4433,4230,1843,1125,0,417,0,0
"Carbonado","Pierce County","Washington",623,610,621,495,456,394,424,412,0,0,0,0,0,705,0,0
"Carnation","King County","Washington",1853,1786,1893,1243,913,530,490,446,460,360,536,0,0,0,0,0
"Cashmere","Chelan County","Washington",3137,3063,2965,2544,2240,1976,1891,1768,1465,1473,1114,625,0,0,0,0
"Castle Rock","Cowlitz County","Washington",2140,1982,2130,2067,2162,1647,1424,1255,1182,1239,829,998,750,681,0,0
"Cathlamet","Wahkiakum County","Washington",537,532,565,508,635,647,615,501,621,537,422,362,0,0,133,0
"Centralia","Lewis County","Washington",16623,16336,14742,12101,11555,10054,8586,8657,7414,8058,7549,7311,1600,2026,0,0
"Chehalis","Lewis County","Washington",7261,7259,7057,6527,6100,5727,5199,5639,4857,4907,4558,4507,1775,1309,0,0
"Chelan","Chelan County","Washington",3981,3890,3522,2969,2802,2837,2402,2157,1738,1403,896,682,0,0,0,0
"Cheney","Spokane County","Washington",11420,10590,8832,7723,7630,6358,3173,2797,1551,1335,1252,1207,781,647,0,0
"Chewelah","Stevens County","Washington",2602,2607,2186,1945,1888,1365,1525,1683,1565,1315,1288,823,0,0,0,0
"Clarkston","Asotin County","Washington",7359,7229,7337,6753,6903,6312,6209,5617,3116,2870,1859,1257,0,0,0,0
"Cle Elum","Kittitas County","Washington",1883,1872,1755,1778,1773,1725,1816,2206,2230,2508,2661,2749,0,243,0,0
"Clyde Hill","King County","Washington",3198,2984,2890,2972,3229,2987,1871,0,0,0,0,0,0,0,0,0
"Colfax","Whitman County","Washington",2828,2805,2844,2713,2780,2664,2860,3057,2853,2782,3027,2783,2121,1649,444,0
"College Place","Walla Walla County","Washington",8997,8765,7818,6308,5771,4510,4031,3174,1272,0,0,0,0,0,0,0
"Colton","Whitman County","Washington",431,418,386,325,307,279,253,207,262,269,382,393,251,0,0,0
"Colville","Stevens County","Washington",4706,4673,4988,4360,4510,3742,3806,3033,2418,1803,1718,1533,594,539,67,0
