"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840
"Abbotsford","Marathon County","Wisconsin",2278,2310,1956,1916,1901,1375,1171,1013,920,781,782,947,443,0,0,0,0,0,0
"Adams","Adams County","Wisconsin",1899,1967,1914,1715,1744,1440,1301,1425,1310,1231,1119,0,0,0,0,0,0,0,0
"Adell","Sheboygan County","Wisconsin",520,516,517,510,545,380,398,366,313,262,246,0,0,0,0,0,0,0,0
"Albany","Green County","Wisconsin",1016,1018,1191,1140,1051,875,892,839,741,728,741,669,797,698,267,0,0,0,0
"Algoma","Kewaunee County","Wisconsin",3117,3167,3357,3353,3656,4023,3855,3384,2652,2202,1911,2082,1738,1015,948,0,0,0,0
"Allouez","Brown County","Wisconsin",13943,13975,15443,14431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alma Center","Jackson County","Wisconsin",500,503,446,416,454,495,464,441,431,383,461,417,0,0,170,0,0,0,0
"Alma","Buffalo County","Wisconsin",752,781,942,790,848,956,1008,1068,1139,1009,970,1011,1201,1428,1244,565,0,0,0
"Almena","Barron County","Wisconsin",664,677,720,625,526,423,398,406,0,0,0,0,0,0,0,0,0,0,0
"Almond","Portage County","Wisconsin",437,448,459,455,477,440,391,435,449,449,504,487,0,0,0,0,0,0,0
"Altoona","Eau Claire County","Wisconsin",7155,6706,6698,5889,4393,2842,2114,1713,1239,1044,960,824,721,805,0,0,0,0,0
"Amery","Polk County","Wisconsin",2856,2902,2845,2657,2404,2126,1769,1625,1461,1354,1203,659,905,451,0,0,0,0,0
"Amherst Junction","Portage County","Wisconsin",375,377,305,269,225,141,131,185,197,210,192,0,0,0,49,0,0,0,0
"Amherst","Portage County","Wisconsin",1043,1035,964,792,701,585,596,608,611,577,588,629,558,438,298,0,0,0,0
"Aniwa","Shawano County","Wisconsin",250,260,272,249,273,233,247,257,283,296,250,274,367,0,0,0,0,0,0
"Antigo","Langlade County","Wisconsin",7921,8234,8560,8276,8653,9005,9691,9902,9495,8610,8451,7196,5145,4424,0,0,0,0,0
"Appleton","Outagamie County","Wisconsin",73971,72623,70087,65695,58913,56377,48411,34010,25267,19561,16773,15085,11869,8005,4518,2345,0,0,0
"Arcadia","Trempealeau County","Wisconsin",2946,2925,2402,2166,2109,2159,2084,1949,1830,1499,1418,1212,1273,659,665,0,0,0,0
"Arena","Iowa County","Wisconsin",831,834,685,525,451,377,309,296,278,273,0,0,0,354,266,0,0,0,0
"Argyle","Lafayette County","Wisconsin",851,857,823,798,720,673,786,702,735,692,701,603,0,411,322,0,0,0,0
"Arlington","Columbia County","Wisconsin",815,819,484,440,440,379,349,255,0,0,0,0,0,0,56,0,0,0,0
"Arpin","Wood County","Wisconsin",325,333,337,312,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashland","Ashland County","Wisconsin",8179,8216,8620,8695,9115,9615,10132,10640,11101,10622,11334,11594,13074,9956,0,0,0,0,0
"Ashwaubenon","Brown County","Wisconsin",17111,16963,17634,16376,14486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athens","Marathon County","Wisconsin",1100,1105,1095,951,988,856,770,823,856,936,940,904,0,0,0,0,0,0,0
"Auburndale","Wood County","Wisconsin",679,703,738,665,641,468,396,325,342,294,334,297,241,253,0,0,0,0,0
"Augusta","Eau Claire County","Wisconsin",1532,1550,1460,1510,1560,1242,1338,1458,1519,1359,1407,1405,1256,1187,1116,761,0,0,0
"Avoca","Iowa County","Wisconsin",627,637,608,474,505,421,363,424,417,342,432,436,406,278,362,418,0,0,0
"Bagley","Grant County","Wisconsin",366,379,339,306,317,271,275,329,293,284,315,0,0,0,0,0,0,0,0
"Baldwin","St. Croix County","Wisconsin",3960,3957,2667,2022,1620,1399,1184,1100,918,808,666,584,631,482,591,0,0,0,0
"Balsam Lake","Polk County","Wisconsin",986,1009,950,792,749,648,541,488,452,315,251,279,0,0,0,0,0,0,0
"Bangor","La Crosse County","Wisconsin",1491,1459,1400,1076,1012,974,928,941,847,835,854,692,633,499,453,0,0,0,0
"Baraboo","Sauk County","Wisconsin",12085,12048,10711,9203,8081,7931,7660,7264,6415,5545,5538,6324,5751,4605,3266,1528,1360,255,0
"Barneveld","Iowa County","Wisconsin",1233,1231,1088,660,579,528,420,373,358,301,289,317,0,0,0,0,0,0,0
"Barron","Barron County","Wisconsin",3344,3423,3248,2986,2595,2337,2338,2355,2059,1863,1623,1449,1493,829,183,0,0,0,0
"Bay City","Pierce County","Wisconsin",489,500,465,578,543,317,327,326,299,290,213,252,0,0,0,0,0,0,0
"Bayfield","Bayfield County","Wisconsin",481,487,611,686,778,874,969,1153,1212,1195,1441,0,1689,1373,495,0,0,0,0
"Bayside","Milwaukee/Ozaukee County","Wisconsin",4420,4389,4518,4789,4724,4461,3181,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Creek","Outagamie County","Wisconsin",439,448,415,418,454,520,455,476,409,411,337,341,0,0,0,0,0,0,0
"Beaver Dam","Dodge County","Wisconsin",16536,16214,15169,14196,14149,14265,13118,11867,10356,9867,7992,6758,5128,4222,3416,3265,2765,0,0
