"NAME","County","STNAME",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840
"Addison","Webster County","West Virginia",741,776,808,674,939,1038,1132,1313,1133,976,679,500,297,0,120,0,0,0,0
"Albright","Preston County","West Virginia",303,299,247,195,357,319,304,396,334,343,262,0,0,0,0,0,0,0,0
"Alderson","Monroe County","West Virginia",1184,1184,1091,1152,1375,1278,1225,1489,1493,1458,1401,1252,518,663,478,0,0,0,0
"Anawalt","McDowell County","West Virginia",212,226,272,329,652,801,1062,1383,0,0,0,0,0,0,0,0,0,0,0
"Anmoore","Harrison County","West Virginia",761,770,685,686,865,944,1050,0,0,0,0,0,0,0,0,0,0,0,0
"Ansted","Fayette County","West Virginia",1398,1404,1576,1643,1952,1511,1511,1543,1422,1404,1178,1030,1090,0,0,0,0,0,0
"Athens","Mercer County","West Virginia",960,1048,1102,741,1147,967,1086,935,682,628,552,575,0,0,0,0,0,0,0
"Auburn","Ritchie County","West Virginia",93,97,103,89,116,115,139,149,168,166,177,199,0,0,109,0,0,0,0
"Bancroft","Putnam County","West Virginia",595,587,367,381,528,446,469,0,0,0,0,0,0,0,0,0,0,0,0
"Barboursville","Cabell County","West Virginia",4175,3964,3183,2774,2871,2279,2331,1943,1550,1508,974,907,429,0,361,371,341,0,0
"Barrackville","Marion County","West Virginia",1317,1302,1288,1443,1815,1545,0,0,0,0,0,0,0,0,99,114,91,0,0
"Bath","Morgan County","West Virginia",610,624,663,735,789,944,1138,1213,1145,1039,980,864,781,0,534,407,2982,77,0
"Bayard","Grant County","West Virginia",276,290,299,414,540,475,484,589,585,743,1074,417,540,0,0,0,0,0,0
"Beckley","Raleigh County","West Virginia",17238,17614,17254,18296,20492,19884,18642,19397,12852,9357,4149,2161,342,158,144,0,0,0,0
"Beech Bottom","Brooke County","West Virginia",506,523,606,415,507,544,506,0,0,0,0,0,0,0,0,0,0,0,0
"Belington","Barbour County","West Virginia",1944,1921,1788,1850,2038,1567,1528,1699,1517,1571,1766,1481,430,0,0,0,0,0,0
"Belle","Kanawha County","West Virginia",1228,1260,1259,1421,1621,1786,2559,0,0,0,0,0,0,0,0,0,0,0,0
