"Geography","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870
"Afton","Lincoln County","Wyoming",1968,1911,1818,1394,1481,1290,1337,1319,1211,807,796,570,0,0,0,0
"Albin","Laramie County","Wyoming",185,181,120,120,128,118,172,208,160,0,0,0,0,0,0,0
"Alpine","Lincoln County","Wyoming",845,828,550,200,0,0,0,0,0,0,0,0,0,0,0,0
"Baggs","Carbon County","Wyoming",439,440,348,272,433,146,199,206,221,192,200,0,0,0,0,0
"Bairoil","Sweetwater County","Wyoming",107,106,97,228,0,0,0,0,0,0,0,0,0,0,0,0
"Bar Nunn","Natrona County","Wyoming",2735,2213,936,835,0,0,0,0,0,0,0,0,0,0,0,0
"Basin","Big Horn County","Wyoming",1300,1285,1238,1180,1349,1145,1319,1220,1099,903,1088,763,0,0,0,0
"Bear River","? County","Wyoming",521,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Big Piney","Sublette County","Wyoming",538,552,408,454,530,570,663,206,241,184,173,0,0,0,0,0
"Buffalo","Johnson County","Wyoming",4615,4585,3900,3302,3799,3394,2907,2674,2302,1749,1772,1368,710,1087,0,0
"Burlington","Big Horn County","Wyoming",332,288,250,184,0,0,0,0,0,0,0,0,0,0,0,0
"Burns","Laramie County","Wyoming",305,301,285,254,268,185,225,216,253,216,300,0,0,0,0,0
"Byron","Big Horn County","Wyoming",609,593,557,470,633,397,417,350,388,250,326,442,0,0,0,0
"Casper","Natrona County","Wyoming",60086,55316,49644,46742,51016,39361,38930,23673,17964,16619,11447,2639,883,544,0,0
"Cheyenne","Laramie County","Wyoming",62845,59466,53011,50008,47283,41254,43505,31935,22474,17361,13829,11320,14087,11690,3456,1450
"Chugwater","Platte County","Wyoming",216,212,244,192,282,187,207,283,245,286,0,0,0,0,0,0
"Clearmont","Sheridan County","Wyoming",142,142,115,119,191,141,1542,25,215,214,0,0,0,0,0,0
"Cody","Park County","Wyoming",9740,9520,8835,7897,6599,5161,4838,3872,2536,1800,1242,1132,0,0,0,0
"Cokeville","Lincoln County","Wyoming",542,535,506,493,515,440,545,440,452,431,430,0,0,0,62,0
"Cowley","Big Horn County","Wyoming",718,655,560,477,455,366,459,463,491,526,687,574,0,0,0,0
