,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
359,37331,US,105566,64.5038888889,-165.399444444,Census,City,AK,"Nome, Alaska",0,0,0,0,0,0,0,0,0,0,2754,12488,2600,852,1213.0,1559,1876,2316.0,2357.0,2301,3500,3505.0,3598.0
440,14544,US,105762,65.1705555556,-152.075833333,Census,City,AK,"Tanana, Alaska",0,0,0,0,0,0,0,0,0,0,203,186,398,213,185.0,170,228,349.0,406.0,388,345,308.0,246.0
498,7349,US,105263,60.8022222222,-161.418611111,Census,City,AK,"Kwethluk, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,186,242,325.0,0.0,454,558,713.0,721.0
530,7601,US,105516,58.2191666667,-157.358055556,Census,City,AK,"Egegik, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,83,86.0,125,119,150.0,148.0,75,122,116.0,109.0
552,20175,US,105491,60.1244444444,-149.433333333,Census,City,AK,"Seward, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,534,652,835.0,949,2114,1891.0,1587.0,1843,2699,2830.0,2693.0
578,20579,US,105594,66.8972222222,-162.585555556,Census,City,AK,"Kotzebue, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,103,230,291.0,372,623,1290.0,1696.0,2090,2751,3082.0,3201.0
631,13131,US,105604,55.2047222222,-132.820833333,Census,City,AK,"Hydaburg, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,346,319.0,348,353,251.0,214.0,298,384,382.0,375.0
775,8535,US,87464,,,Census,Census Area,AK,"Denali Borough, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1893.0,1826.0
1059,12314,US,105717,56.9708333333,-133.933888889,Census,City,AK,"Kake, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,232,387,386.0,419,376,455.0,448.0,555,700,710.0,557.0
1294,20042,US,105212,57.125,-170.284166667,Census,City,AK,"St. Paul, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,291,0,0.0,0,359,378.0,450.0,551,763,532.0,479.0
1497,10039,US,105576,64.6808333333,-163.406666667,Census,City,AK,"White Mountain, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,198,205.0,199,129,151.0,87.0,125,180,203.0,190.0
1544,10053,US,105579,70.4777777778,-157.418055556,Census,City,AK,"Atqasuk, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,216,228.0,233.0
1642,7788,US,105740,62.1980555556,-159.773333333,Census,City,AK,"Holy Cross, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.0,226,157,256.0,199.0,241,277,227.0,178.0
1687,10104,US,105725,62.6555555556,-160.209166667,Census,City,AK,"Anvik, Alaska",0,0,0,0,0,0,0,0,0,0,191,166,151,140,79.0,110,99,120.0,83.0,114,82,104.0,85.0
1812,6804,US,105529,56.9488888889,-158.655833333,Census,City,AK,"Port Heiden, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,30,51.0,0,0,74.0,66.0,92,119,119.0,102.0
1818,11823,US,105290,64.3452777778,-149.195277778,Census,City,AK,"Anderson, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,362.0,517,628,367.0,246.0
1875,8385,US,87487,,,Census,Census Area,AK,"Hoonah–Angoon Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,2150.0
2010,8339,US,105300,59.3491666667,-157.485277778,Census,City,AK,"Ekwok, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,77,77,130.0,115.0
2312,12002,US,105586,70.6472222222,-160.016111111,Census,City,AK,"Wainwright, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,99,197.0,341,227,253.0,315.0,405,492,546.0,556.0
2412,9022,US,87475,,,Census,US County,AK,"Kodiak Island Borough, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7174.0,9409.0,9939,13309,13913.0,13592.0
2769,30348,US,105492,60.4866666667,-151.075277778,Census,City,AK,"Soldotna, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,332.0,1202.0,2320,3482,3759.0,4163.0
2849,33564,US,105213,53.8888888889,-166.527222222,Census,City,AK,"Unalaska, Alaska",0,0,0,0,0,0,0,0,0,0,317,428,281,299,226.0,298,173,218.0,342.0,1322,3089,4283.0,4376.0
2877,6956,US,105565,64.9311111111,-161.158611111,Census,City,AK,"Koyuk, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,100,134,129.0,0.0,188,231,297.0,332.0
3171,27175,US,105547,61.6019444444,-149.117222222,Census,City,AK,"Palmer, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,150,890,1181.0,1140.0,2141,2866,4533.0,5937.0
3225,18510,US,15637516,61.4216666667,-150.6,Census,Alaska Native Village Corporation,AK,"Alexander Creek, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,40,0.0,0.0
3238,8208,US,105305,59.0591666667,-160.383055556,Census,City,AK,"Togiak, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,91,71.0,10,108,220.0,383.0,470,613,809.0,817.0
3252,8061,US,105510,57.8680555556,-152.88,Census,City,AK,"Port Lions, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,227.0,215,222,256.0,194.0
3271,18892,US,105640,64.7911,-141.21547,Census,City,AK,"Eagle, Alaska",0,0,0,0,0,0,0,0,0,0,0,383,178,98,54.0,73,55,92.0,36.0,110,168,129.0,86.0
3946,8844,US,105540,61.6083333333,-149.773611111,Census,City,AK,"Houston, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,69.0,370,697,1202.0,1910.0
3960,7892,US,87458,52.0,-177.0,Census,Census Area,AK,"Aleutians West Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6011.0,8057.0,7768,9478,5465.0,5561.0
3961,25560,US,105626,58.1094444444,-135.436388889,Census,City,AK,"Hoonah, Alaska",0,0,0,0,0,0,0,0,0,0,0,447,462,402,514.0,716,563,686.0,748.0,680,795,860.0,760.0
