,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
124,17185,US,106646,33.6,-111.72,Census,Town,AZ,"Fountain Hills, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2771,10030,20235.0,22489.0
296,10882,US,826549,34.17,-113.846111111,Census,Populated place,AZ,"Swansea, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,400,337,,0,0,0.0,0.0,0,0,0.0,0.0
436,5890,US,106729,32.1808333333,-111.109722222,Census,CDP,AZ,"Tucson Estates, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,2814,2662,9755.0,0.0
768,11489,US,106643,33.8333333333,-111.950833333,Census,Town,AZ,"Cave Creek, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1712,2925,3728.0,5015.0
1031,10025,US,106680,35.5344444444,-113.423333333,Census,CDP,AZ,"Peach Springs, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,787,600.0,1090.0
1459,19874,US,106612,34.2394444444,-111.3275,Census,Town,AZ,"Payson, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1787.0,5068,8377,13620.0,15301.0
1541,10327,US,106654,33.8691666667,-112.085833333,Census,CDP,AZ,"New River, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,10740.0,14952.0
1577,6823,US,5403134,33.9427777778,-113.174166667,Census,CDP,AZ,"Aguila, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,798.0
1626,7559,US,106803,32.5972222222,-114.712222222,Census,City,AZ,"Somerton, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,938,891.0,1247,1825,1613.0,2225.0,3969,5282,7266.0,14287.0
1644,20972,US,87958,31.5333333333,-110.833333333,Census,US County,AZ,"Santa Cruz County, Arizona",0,0,0,0,0,0,0,0,0,0,0,4545,6766,12689,9684.0,9482,9417,10808.0,13966.0,20459,29676,38381.0,47420.0
1671,16520,US,106636,33.665,-114.220833333,Census,Town,AZ,"Quartzsite, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1193,1876,3354.0,3677.0
1713,12234,US,106626,33.0405555556,-109.300833333,Census,Town,AZ,"Clifton, Arizona",0,0,0,0,0,0,0,0,0,0,600,0,4874,4163,2305.0,2668,3466,4191.0,5087.0,4245,2840,2596.0,3311.0
1743,16129,US,106573,31.9555555556,-110.306666667,Census,City,AZ,"Benson, Arizona",0,0,0,0,0,0,0,0,0,0,348,0,1035,825,925.0,962,1440,2494.0,2839.0,4190,3824,4711.0,5105.0
1893,34205,US,106674,35.2083333333,-114.025833333,Census,City,AZ,"Kingman, Arizona",0,0,0,0,0,0,0,0,0,0,322,0,900,1276,2275.0,0,3342,4525.0,7312.0,9257,12722,20069.0,28068.0
2105,13008,US,106627,32.7258333333,-109.097777778,Census,Town,AZ,"Duncan, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,887,941,862.0,773.0,603,662,812.0,696.0
2465,7835,US,106576,31.6361111111,-110.336388889,Census,Town,AZ,"Huachuca City, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1330.0,1241.0,1661,1782,1751.0,1853.0
2481,11636,US,106584,32.2555555556,-109.835555556,Census,City,AZ,"Willcox, Arizona",0,0,0,0,0,0,0,0,0,0,396,0,1632,905,806.0,884,1266,2441.0,2568.0,3243,3122,3733.0,3757.0
2740,10509,US,106587,36.9494444444,-112.521666667,Census,Town,AZ,"Fredonia, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,643.0,798.0,1040,1207,1036.0,1314.0
2893,18290,US,106641,33.3705555556,-112.590833333,Census,City,AZ,"Buckeye, Arizona",0,0,0,0,0,0,0,0,0,0,0,200,684,726,1077.0,1305,1932,2286.0,2599.0,3434,4436,6537.0,50876.0
3659,23181,US,106575,31.345,-109.541388889,Census,City,AZ,"Douglas, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,6437,9916,9828.0,8623,9442,11925.0,12462.0,13058,12822,14312.0,17378.0
3825,15081,US,106705,32.3813888889,-112.869444444,Census,CDP,AZ,"Ajo, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5817,7049.0,5881.0,5189,2919,3705.0,3304.0
4119,10036,US,106639,33.415,-111.546111111,Census,City,AZ,"Apache Junction, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3863.0,9935,18092,31814.0,35840.0
4426,23533,US,87936,33.0091666667,-109.885277778,Census,US County,AZ,"Graham County, Arizona",0,0,0,0,0,0,0,0,0,0,5670,14162,23999,10148,10373.0,12113,12985,14045.0,16578.0,22862,26554,33489.0,37220.0
4764,7072,US,106617,33.3511111111,-110.46,Census,Town,AZ,"Star Valley, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1536.0,2310.0
4912,15588,US,106640,33.4336111111,-112.349722222,Census,City,AZ,"Avondale, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2505,6151.0,6626.0,8168,16169,35883.0,76238.0
4973,21311,US,3432996,32.4961111111,-114.768333333,Census,City,AZ,"San Luis, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,189.0,1946,4212,15322.0,25505.0
5170,31922,US,96622,34.86,-111.789166667,Census,City,AZ,"Sedona, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2022.0,5368,7720,10192.0,10031.0
5192,24824,US,106675,34.49,-114.308888889,Census,City,AZ,"Lake Havasu City, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,4111.0,15909,24363,41938.0,52527.0
5580,15313,US,106655,33.5447222222,-111.956388889,Census,Town,AZ,"Paradise Valley, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6637.0,11085,11773,13664.0,12820.0
6206,8903,US,106755,33.0541666667,-110.908888889,Census,Town,AZ,"Kearny, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,902.0,2829.0,2646,2262,2249.0,1950.0
6611,5493,US,106580,31.4883333333,-110.232222222,Census,CDP,AZ,"Sierra Vista Southeast, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,9237,14348.0,14797.0
7058,19412,US,106757,33.0566666667,-112.046666667,Census,City,AZ,"Maricopa, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1040.0,43482.0
7186,5703,US,106629,34.1669444444,-114.271666667,Census,CDP,AZ,"Bluewater, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,505,730.0,0.0
7762,17719,US,106567,34.5019444444,-109.371666667,Census,City,AZ,"St. Johns, Arizona",0,0,0,0,0,0,0,0,0,546,482,0,835,1386,1386.0,0,1469,1310.0,1320.0,3368,3294,3269.0,3480.0
7910,22514,US,106717,32.3866666667,-111.125555556,Census,Town,AZ,"Marana, Arizona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1154.0,1674,2187,13556.0,34961.0
