,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
17,14939,US,108090,35.1208333333,-120.619444444,Census,City,CA,"Grover Beach, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5210.0,5939.0,8827,11656,13067.0,13156.0
26,12608,US,108313,36.4163888889,-119.099444444,Census,City,CA,"Woodlake, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1146,2525,2623.0,3371.0,4343,5678,6651.0,7279.0
60,22359,US,108236,38.6175,-122.866388889,Census,City,CA,"Healdsburg, California",0,0,0,0,0,0,0,334,959,1133,1485,1869,2011,2412,2296.0,2507,3258,4816.0,5438.0,7217,9469,10722.0,11254.0
107,71988,US,79759,39.66,-121.6,Census,County,CA,"Butte County, California",0,0,0,0,0,0,3574,12106,11403,18721,17939,17117,27301,30030,34093.0,42840,64930,82030.0,101969.0,143851,182120,203171.0,220000.0
147,23173,US,107788,36.4247222222,-121.326388889,Census,City,CA,"Soledad, California",0,0,0,0,0,0,0,0,0,136,217,0,0,0,594.0,861,2441,2837.0,4222.0,5928,7146,11263.0,25738.0
200,12804,US,107698,33.9225,-118.301111111,Census,census-designated place,CA,"West Athens, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,13286.0,8531,8859,9101.0,8729.0
270,78733,US,108139,34.4258333333,-119.714166667,Census,Charter city,CA,"Santa Barbara, California",0,0,0,0,0,0,0,0,0,3460,5864,6587,11659,19441,33613.0,34958,44854,58768.0,70215.0,74414,85571,92325.0,88410.0
288,18134,US,107848,38.8872222222,-121.296111111,Census,General law city,CA,"Lincoln, California",0,0,0,0,0,0,0,0,0,275,961,1061,1402,1325,2094.0,2044,2410,3197.0,3176.0,4132,7248,11205.0,42819.0
415,13739,US,107384,39.1547222222,-122.149444444,Census,City,CA,"Williams, California",0,0,0,0,0,0,0,0,0,279,461,0,0,0,851.0,814,1134,1370.0,1571.0,1655,2297,3670.0,5123.0
431,25212,US,107613,34.11,-117.719722222,Census,City,CA,"Claremont, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719.0,3057,6327,12633.0,24776.0,31028,32503,33998.0,34926.0
