,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
276,26851,US,108484,39.1133333333,-104.905,Census,Town,CO,"Palmer Lake, Colorado",0,0,0,0,0,0,0,0,0,0,0,166,163,160,244.0,269,263,542.0,947.0,1130,1480,2179.0,2420.0
461,19493,US,108382,39.7025,-104.933888889,Census,Home Rule Municipality,CO,"Glendale, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,468.0,765.0,2496,2453,4547.0,4184.0
506,16657,US,96985,39.31,-102.6,Census,US County,CO,"Kit Carson County, Colorado",0,0,0,0,0,0,0,0,0,0,2472,1580,7483,8915,9725.0,7512,8600,6957.0,7530.0,7599,7140,8011.0,8270.0
579,13286,US,108518,39.0722222222,-107.189444444,Census,Statutory Town,CO,"Marble, Colorado",0,0,0,0,0,0,0,0,0,0,0,101,782,81,217.0,240,8,5.0,13.0,30,64,105.0,131.0
582,9525,US,96948,38.88,-105.15,Census,US County,CO,"Teller County, Colorado",0,0,0,0,0,0,0,0,0,0,0,29002,14351,6696,4141.0,6463,2754,2495.0,3316.0,8034,12468,20555.0,23350.0
718,14322,US,108688,40.0766666667,-102.225833333,Census,City,CO,"Wray, Colorado",0,0,0,0,0,0,0,0,0,0,125,271,1000,1538,1785.0,2061,2198,2082.0,1953.0,2131,1998,2187.0,2342.0
818,12694,US,108600,40.3255555556,-103.521388889,Census,Statutory Town,CO,"Hillrose, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.0,177,190,157.0,121.0,213,169,254.0,264.0
918,10482,US,108614,40.6416666667,-102.628888889,Census,Statutory Town,CO,"Haxtun, Colorado",0,0,0,0,0,0,0,0,0,0,0,0,341,1118,1027.0,985,1006,990.0,899.0,1014,952,982.0,946.0
926,34120,US,108581,39.15,-108.716666667,Census,Home Rule Municipality,CO,"Fruita, Colorado",0,0,0,0,0,0,0,0,0,0,0,126,881,1193,1053.0,1486,1463,1830.0,1822.0,2810,4045,6478.0,12646.0
1019,21489,US,96991,38.67,-107.01,Census,US County,CO,"Gunnison County, Colorado",0,0,0,0,0,0,0,0,0,8235,4359,5331,5897,5590,5527.0,6192,5716,5477.0,7578.0,10689,10273,13956.0,15324.0
