,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
455,30171,US,92728,38.7744444444,-75.1394444444,Census,City,DE,"Lewes, Delaware",0,0,0,0,0,0,0,0,1090,0,0,2259,2158,2074,1923.0,2246,2904,3025.0,2563.0,2197,2295,2932.0,2747.0
628,6937,US,108883,39.0597222222,-75.4013888889,Census,City,DE,"Bowers, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,212,174,246.0,328,284,324.0,268.0,198,179,305.0,335.0
849,8523,US,108908,39.1180555556,-75.5588888889,Census,Town,DE,"Wyoming, Delaware",0,0,0,0,0,0,0,0,280,353,497,450,517,661,684.0,870,911,1172.0,1062.0,960,977,1141.0,1313.0
1614,7969,US,108910,39.8041666667,-75.4913888889,Census,Village,DE,"Ardencroft, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,267,282,267.0,231.0
1760,22458,US,108942,38.69,-75.3855555556,Census,Town,DE,"Georgetown, Delaware",0,0,0,0,0,0,777,553,710,895,1353,1658,1609,1710,1763.0,1820,1923,1765.0,1844.0,1710,3732,4643.0,6422.0
2073,9972,US,108918,39.7391666667,-75.5980555556,Census,Town,DE,"Elsmere, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,374,620,1323.0,1630,5314,7319.0,8415.0,6493,5935,5800.0,6131.0
2560,12265,US,108935,38.7425,-75.6044444444,Census,Town,DE,"Bridgeville, Delaware",0,0,0,0,0,0,0,250,300,398,576,613,939,945,987.0,1180,1468,1469.0,1317.0,1238,1210,1436.0,2048.0
2592,18570,US,108909,39.8091666667,-75.4866666667,Census,Village,DE,"Arden, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,555.0,516,477,474.0,439.0
3090,100879,US,108930,39.7458333333,-75.5466666667,Census,City,DE,"Wilmington, Delaware",0,0,0,5268,6628,8367,13979,21258,30841,42478,61431,76508,87411,110168,106597.0,112504,110356,95827.0,80386.0,70195,71529,72664.0,70851.0
3982,7154,US,108888,38.8691666667,-75.5786111111,Census,Town,DE,"Farmington, Delaware",0,0,0,0,0,0,0,0,0,0,468,0,255,124,117.0,120,113,142.0,109.0,141,122,75.0,110.0
4034,11892,US,108948,38.5494444444,-75.1233333333,Census,Town,DE,"Millville, Delaware",0,0,0,0,0,0,0,0,0,0,0,0,193,112,193.0,184,270,231.0,224.0,178,206,259.0,544.0
4577,12225,US,108949,38.7775,-75.31,Census,Town,DE,"Milton, Delaware",0,0,0,0,0,0,0,780,824,1026,1074,948,1038,898,1130.0,1198,1321,1617.0,1490.0,1359,1417,1657.0,2576.0
