,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
3751,8500,US,110522,21.4830555556,-158.203888889,Census,Census-designated place,HI,"Mākaha Valley, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1012,1289.0,1341.0
4894,15223,US,85061,19.5833333333,-155.5,Census,US County,HI,"Hawaii County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,46843,55382,64895,73325.0,73276,68350,61332.0,63468.0,92053,120317,148677.0,185079.0
6592,14415,US,85075,21.1969444444,-156.967222222,Census,US County,HI,"Kalawao County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,1177,785,667,605.0,446,340,279.0,172.0,144,130,147.0,90.0
7519,12777,US,85085,20.8833333333,-156.65,Census,US County,HI,"Maui County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,26743,29762,37385,55541.0,55534,48179,42576.0,45984.0,70847,100374,128094.0,154834.0
7592,10285,US,110518,21.7027777778,-158.011111111,Census,Census-designated place,HI,"Kawela Bay, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,366,410.0,330.0
7742,19016,US,85083,22.0666666667,-159.65,Census,US County,HI,"Kauai County, Hawaii",0,0,0,0,0,0,0,0,0,0,0,20734,23952,29438,35942.0,35818,29905,28176.0,29761.0,39082,51177,58463.0,67091.0
9091,16548,US,110504,21.3775,-157.922777778,Census,Census-designated place,HI,"Halawa, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,13408,13891.0,14014.0
11973,27523,US,110467,19.7055555556,-155.085833333,Census,Census-designated place,HI,"Hilo, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,6745,10431,19468.0,23353,27198,25966.0,26353.0,35269,37808,40759.0,43263.0
12572,13934,US,110528,21.4083333333,-157.966944444,Census,Census-designated place,HI,"Pearl City, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,19552.0,42575,30993,30976.0,47698.0
12902,9749,US,110502,21.3394444444,-158.029722222,Census,Census-designated place,HI,"ʻEwa Gentry, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1992,4939.0,22690.0
15804,41589,US,70959,20.8,-156.333333333,Census,Unknown,HI,Maui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,40103,35717.0,38691.0,62823,91361,117644.0,144444.0
16718,70347,US,13887,21.3,-157.816666667,Census,Consolidated city-county,HI,Honolulu,0,0,0,0,0,0,0,0,0,0,22907,39306,52183,83327,137582.0,179326,248034,294194.0,324871.0,365048,365272,371657.0,390738.0
16743,8435,US,110559,21.9197222222,-159.481666667,Census,Census-designated place,HI,"Omao, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1142,1221.0,1301.0
20027,9062,US,110469,19.5594444444,-155.929722222,Census,Census-designated place,HI,"Honalo, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1926,1987.0,2423.0
23337,8671,US,110567,20.9205555556,-156.3125,Census,Census-designated place,HI,"Haiku-Pauwela, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,4509,6578.0,8118.0
24818,176645,US,13270,,,Census,US State,HI,Hawaii,0,0,0,0,0,0,0,0,0,0,0,154001,191874,255881,368300.0,422770,499794,632772.0,769913.0,964691,1108229,1211537.0,1360301.0
24973,10304,US,110475,19.7230555556,-156.004722222,Census,Census-designated place,HI,"Kalaoa, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,4490,6794.0,9644.0
26185,12304,US,110541,21.4180555556,-157.998055556,Census,Census-designated place,HI,"Waipio, Hawaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,11812,11672.0,11674.0
26637,49762,US,17993666,,,Census,Consolidated city-county,HI,"City and County of Honolulu, Hawaii (U.S. state)",0,0,0,0,0,0,0,0,0,0,0,58504,81993,123496,202887.0,257696,353020,500409.0,629176.0,762565,836231,876156.0,953207.0
