,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
88,9125,US,112801,42.86,-94.9816666667, USA,City,IA,"Marathon, Iowa",0,0,0,0,0,0,0,0,0,0,0,659,532,520,573.0,597,565,516.0,447.0,442,320,302.0,237.0
135,136772,US,26810748,,,Census,US State,IA,Iowa,0,0,0,0,0,43112,192214,674913,1194020,1624615,1912297,2231853,2224771,2404021,2470939.0,2538268,2621073,2757537.0,2824376.0,2913808,2776755,2926324.0,3046355.0
152,13012,US,114208,41.6969444444,-90.585, USA,City,IA,"Long Grove, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,0,158,134.0,139,156,182.0,269.0,596,605,597.0,808.0
154,14209,US,112961,41.6088888889,-93.8652777778,Census,City,IA,"Waukee, Iowa",0,0,0,0,0,0,0,0,0,245,240,292,340,375,445.0,473,501,687.0,1577.0,2227,2512,5126.0,13790.0
170,15788,US,114337,42.3572222222,-94.0513888889, USA,City,IA,"Lehigh, Iowa",0,0,0,0,0,0,0,0,0,0,870,806,928,1090,996.0,1004,881,846.0,739.0,654,536,497.0,416.0
191,10129,US,150408,42.9116666667,-94.0836111111, USA,City,IA,"Lu Verne, Iowa",0,0,0,0,0,0,0,0,0,0,0,534,501,610,570.0,576,553,468.0,380.0,418,328,299.0,261.0
232,9526,US,112866,42.9847222222,-93.19, USA,City,IA,"Rockwell, Iowa",0,0,0,0,0,0,0,0,0,249,381,830,700,800,750.0,779,753,772.0,923.0,1039,1008,989.0,1039.0
370,10745,US,112746,41.6283333333,-95.0744444444, USA,City,IA,"Kimballton, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,271,382,378.0,349,428,380.0,343.0,362,289,342.0,322.0
371,11167,US,114351,43.1441666667,-91.9347222222, USA,City,IA,"Fort Atkinson, Iowa",0,0,0,0,0,0,0,0,0,435,480,264,289,315,305.0,261,273,353.0,339.0,374,367,389.0,349.0
378,9308,US,114159,41.5125,-93.3569444444, USA,City,IA,"Runnells, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,428,369,367.0,388,307,322.0,354.0,377,306,352.0,507.0
382,10963,US,95908,40.7380555556,-93.3266666667,Census,US County,IA,"Wayne County, Iowa",0,0,0,0,0,0,340,6409,11287,16127,15670,17491,16184,15378,13787.0,13308,11737,9800.0,8405.0,8199,7067,6730.0,6403.0
402,8586,US,114274,40.9488888889,-94.2188888889, USA,City,IA,"Arispe, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,155,156,133.0,149,110,125.0,93.0,89,92,89.0,100.0
404,11165,US,114158,41.7705555556,-93.7158333333,Census,City,IA,"Polk City, Iowa",0,0,0,0,0,0,0,0,0,443,446,438,310,277,295.0,343,336,567.0,715.0,1658,1908,2344.0,3418.0
426,9197,US,113892,42.5061111111,-95.4180555556, USA,City,IA,"Galva, Iowa",0,0,0,0,0,0,0,0,0,0,0,456,357,539,530.0,496,492,469.0,412.0,420,398,368.0,434.0
434,10311,US,112738,40.8013888889,-92.8883333333, USA,City,IA,"Rathbun, Iowa",0,0,0,0,0,0,0,0,0,0,0,270,382,630,299.0,352,229,203.0,113.0,93,89,88.0,89.0
441,9224,US,112920,41.9788888889,-90.2516666667, USA,City,IA,"Andover, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,51,83,76.0,72,80,91.0,90.0,107,99,87.0,103.0
449,10980,US,114289,40.6180555556,-91.9338888889, USA,Census-designated place,IA,"Mount Sterling, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,232,179,165.0,134,144,86.0,87.0,96,53,40.0,36.0
522,11776,US,150406,43.3625,-92.5533333333, USA,City,IA,"Riceville, Iowa",0,0,0,0,0,0,0,0,0,0,0,804,844,960,807.0,910,942,898.0,877.0,919,827,740.0,502.0
523,9431,US,113903,42.295,-90.6205555556, USA,City,IA,"La Motte, Iowa",0,0,0,0,0,0,0,0,0,161,154,272,288,327,275.0,272,280,323.0,326.0,322,260,272.0,260.0
540,10330,US,113992,41.8755555556,-91.5830555556, USA,City,IA,"Ely, Iowa",0,0,0,0,0,0,0,0,0,0,0,0,161,174,172.0,170,155,226.0,275.0,425,517,1149.0,1776.0
589,11946,US,150426,41.5011111111,-93.4902777778, USA,City,IA,"Carlisle, Iowa",0,0,0,0,0,0,0,138,200,395,0,553,592,640,663.0,690,903,1317.0,2246.0,3073,3241,3497.0,3876.0
616,57160,US,150425,42.4980555556,-96.3955555556,Census,City,IA,"Sioux City, Iowa",0,0,0,0,0,0,0,0,3401,7366,37806,33111,47828,71227,79183.0,82364,83991,89159.0,85925.0,82003,80505,85013.0,82684.0
