,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
9,5588,US,111823,41.1763888889,-89.2086111111,Census,"&quot;GR1&quot;&gt;publisher=[[United States Census Bureau|accessdate=2011-04-23|date=2011-02-12|title=US Gazetteer files: 2010, 2000, and 1990}}",IL,"McNabb, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,176.0,246.0,342,310,310.0,285.0
38,11188,US,110829,41.4722222222,-89.2469444444,Census,Village,IL,"Arlington, Illinois",0,0,0,0,0,0,0,0,0,447,436,400,370,284,258.0,258,247,254.0,250.0,236,200,211.0,193.0
80,20586,US,111584,38.8038888889,-89.9583333333,Census,Town,IL,"Edwardsville, Illinois",0,0,0,0,0,0,677,0,2193,2887,3561,4157,5014,5336,6235.0,8008,8776,9996.0,11070.0,12480,14579,21491.0,24293.0
84,8414,US,111292,41.3533333333,-90.3772222222,Census,Village,IL,"Orion, Illinois",0,0,0,0,0,0,0,0,0,604,624,584,655,613,620.0,715,829,1269.0,1801.0,2013,1821,1713.0,1861.0
112,18432,US,110952,41.8227777778,-87.8475,Census,Village,IL,"Brookfield, Illinois",0,0,0,0,0,0,0,0,0,0,0,1111,2186,3589,10035.0,10817,15472,20429.0,20284.0,19395,18876,19085.0,18978.0
113,34439,US,111658,42.1866666667,-88.3475,Census,Village,IL,"Lake in the Hills, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,246.0,3240.0,5651,5866,23152.0,28965.0
115,8130,US,111227,39.2722222222,-90.2036111111,Census,Village,IL,"Rockbridge, Illinois",0,0,0,0,0,0,0,0,0,202,148,174,275,225,243.0,247,243,253.0,256.0,258,212,189.0,169.0
117,11673,US,112019,38.3802777778,-88.3658333333,Census,City,IL,"Fairfield, Illinois",0,0,0,0,0,0,195,508,719,1391,1881,2338,2479,2754,3280.0,4008,5576,6362.0,5897.0,5944,5439,5421.0,5154.0
121,52709,US,110872,40.115,-88.2727777778,Census,City,IL,"Champaign, Illinois",0,0,0,0,0,0,0,1727,4625,5103,5839,9098,12421,15873,20348.0,23302,39563,49583.0,56837.0,58133,63502,67518.0,81055.0
129,8804,US,111263,40.2911111111,-90.9172222222,Census,Village,IL,"Plymouth, Illinois",0,0,0,0,0,0,0,0,0,593,710,854,829,900,745.0,808,854,781.0,740.0,649,521,562.0,505.0
131,8891,US,111727,39.3208333333,-89.5744444444,Census,Village,IL,"Raymond, Illinois",0,0,0,0,0,0,0,0,0,543,841,906,881,868,726.0,818,779,871.0,890.0,957,820,927.0,1006.0
146,26158,US,110953,42.1663888889,-87.9633333333,Census,Village,IL,"Buffalo Grove, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1492.0,12333.0,22230,36427,42909.0,41496.0
176,18074,US,96227,42.36,-90.21,Census,US County,IL,"Jo Daviess County, Illinois",0,0,0,0,2111,6180,18604,27325,27820,27528,25101,24533,22657,21917,20235.0,19989,21459,21821.0,21766.0,23520,21821,22289.0,22691.0
181,9407,US,111627,40.92,-89.2916666667,Census,Village,IL,"Washburn, Illinois",0,0,0,0,0,0,0,0,272,450,598,703,777,830,854.0,937,999,1064.0,1173.0,1206,1075,1147.0,1155.0
221,14409,US,96172,40.16,-90.61,Census,US County,IL,"Schuyler County, Illinois",0,0,0,0,0,6972,10573,14684,17419,16249,16013,16129,14852,13285,11676.0,11430,9613,8746.0,8135.0,8365,7498,7189.0,7544.0
226,8423,US,111867,39.7569444444,-89.9033333333,Census,Village,IL,"Berlin, Illinois",0,0,0,0,0,0,0,0,0,287,260,256,251,241,222.0,215,218,197.0,175.0,210,180,140.0,180.0
265,7073,US,111955,42.4905555556,-89.7919444444,Census,Village,IL,"Winslow, Illinois",0,0,0,0,0,0,0,0,0,330,332,405,426,371,359.0,379,355,366.0,330.0,361,317,345.0,338.0
273,10019,US,110806,37.2961111111,-89.4952777778,Census,Village,IL,"East Cape Girardeau, Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,539,451,437.0,385.0
