,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
62,10977,US,114951,38.1038888889,-98.6605555556,Census,City,KS,"Hudson, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,253,235,197.0,221,194,201.0,181.0,157,159,133.0,129.0
105,12584,US,114420,38.2652777778,-98.9825,Census,City,KS,"Pawnee Rock, Kansas",0,0,0,0,0,0,0,0,0,84,204,210,458,428,399.0,388,359,380.0,442.0,409,367,356.0,252.0
172,13571,US,114980,38.8586111111,-96.1075,Census,City,KS,"Eskridge, Kansas",0,0,0,0,0,0,0,0,0,0,548,612,797,759,726.0,648,601,519.0,589.0,603,518,589.0,534.0
175,17046,US,95664,38.8611111111,-98.9855555556,Census,US County,KS,"Russell County, Kansas",0,0,0,0,0,0,0,0,156,7351,7333,8489,10800,10748,11045.0,13464,13406,11348.0,9428.0,8868,7835,7370.0,6970.0
218,12043,US,114530,39.7677777778,-95.2502777778,Census,City,KS,"Severance, Kansas",0,0,0,0,0,0,0,0,0,375,377,424,383,350,312.0,266,197,146.0,128.0,134,98,108.0,94.0
223,10429,US,114697,38.0630555556,-94.6963888889,Census,City,KS,"Prescott, Kansas",0,0,0,0,0,0,0,0,0,151,241,298,255,291,238.0,277,283,278.0,222.0,319,301,280.0,264.0
241,26083,US,114565,38.6119444444,-95.2663888889,Census,City,KS,"Ottawa, Kansas",0,0,0,0,0,0,0,0,2941,4032,6248,6934,7650,9018,9563.0,10193,10081,10673.0,11036.0,11016,10667,11921.0,12649.0
280,13530,US,114703,38.5063888889,-96.2597222222,Census,City,KS,"Americus, Kansas",0,0,0,0,0,0,0,0,0,431,393,332,451,493,430.0,406,339,300.0,441.0,915,891,938.0,894.0
304,12401,US,95650,39.0086111111,-100.065277778,Census,US County,KS,"Trego County, Kansas",0,0,0,0,0,0,0,0,166,2535,2535,2722,5398,5880,6470.0,5822,5868,5473.0,4436.0,4165,3694,3319.0,3001.0
324,16840,US,114535,38.9383333333,-95.0975,Census,City,KS,"Eudora, Kansas",0,0,0,0,0,0,0,0,0,572,618,640,640,627,599.0,713,1488,1532.0,2091.0,3112,3006,4307.0,6136.0
350,11718,US,114506,37.5436111111,-94.7005555556,Census,City,KS,"Arma, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,327,2180,2004.0,1615,1334,1296.0,1348.0,1676,1542,1529.0,1481.0
379,18279,US,114508,37.4544444444,-94.6952777778,Census,City,KS,"Frontenac, Kansas",0,0,0,0,0,0,0,0,0,0,600,1805,3396,3225,2085.0,1766,1569,1713.0,2223.0,2586,2588,2996.0,3437.0
425,12570,US,114576,38.9594444444,-100.487222222,Census,City,KS,"Gove City, Kansas",0,0,0,0,0,0,0,0,0,0,118,162,196,132,241.0,284,206,228.0,172.0,148,103,105.0,80.0
445,11243,US,114623,39.2486111111,-95.7052777778,Census,City,KS,"Hoyt, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,282,228.0,238,246,283.0,420.0,536,489,571.0,669.0
447,10889,US,114792,39.8916666667,-99.7088888889,Census,City,KS,"Almena, Kansas",0,0,0,0,0,0,0,0,0,0,366,491,702,674,703.0,543,616,555.0,489.0,517,423,469.0,408.0
450,20780,US,114899,38.8469444444,-98.5883333333,Census,City,KS,"Dorrance, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,281,299,325.0,414,385,331.0,234.0,220,195,205.0,185.0
472,101028,US,114537,38.9716666667,-95.2352777778,Census,City,KS,"Lawrence, Kansas",0,0,0,0,0,0,0,1645,8320,8510,9997,10862,12374,12456,13726.0,14390,23351,32858.0,45698.0,52738,65608,80098.0,87643.0
489,17768,US,95705,39.6127777778,-97.9969444444,Census,US County,KS,"Jewell County, Kansas",0,0,0,0,0,0,0,0,207,17475,19349,19420,18148,16240,14462.0,11970,9698,7217.0,6099.0,5241,4251,3791.0,3077.0
493,13762,US,114890,38.4694444444,-99.5530555556,Census,City,KS,"Alexander, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0,171,188,153.0,129.0,116,85,75.0,65.0
509,15355,US,114475,37.4413888889,-100.014444444,Census,City,KS,"Minneola, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,348,493,617.0,490,660,679.0,630.0,712,705,717.0,745.0
531,15025,US,114658,39.0127777778,-94.7658333333,Census,City,KS,"Shawnee, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.0,597,845,9072.0,20946.0,29653,37993,47996.0,62209.0
545,15519,US,95720,38.9088888889,-96.7525,Census,US County,KS,"Geary County, Kansas",0,0,0,0,0,0,0,1163,5526,6994,10428,10744,12681,13452,14366.0,15222,21671,28779.0,28111.0,29852,30453,27947.0,34362.0
567,10602,US,114412,37.3791666667,-98.9175,Census,City,KS,"Sun City, Kansas",0,0,0,0,0,0,0,0,0,81,0,0,0,0,404.0,305,231,188.0,119.0,85,88,81.0,53.0
586,19090,US,114709,38.5191666667,-95.9591666667,Census,City,KS,"Reading, Kansas",0,0,0,0,0,0,0,0,0,120,0,304,289,358,341.0,302,289,249.0,247.0,244,264,247.0,231.0
741,12783,US,114507,37.3438888889,-94.8227777778,Census,City,KS,"Cherokee, Kansas",0,0,0,0,0,0,0,0,0,556,1087,1326,1452,1091,1158.0,1101,849,797.0,790.0,775,651,722.0,714.0
781,16397,US,114495,37.2694444444,-99.3261111111,Census,City,KS,"Coldwater, Kansas",0,0,0,0,0,0,0,0,0,0,480,263,684,1207,1296.0,1214,1208,1164.0,1016.0,989,939,792.0,828.0
789,15070,US,95735,38.1669444444,-95.5877777778,Census,US County,KS,"Coffey County, Kansas",0,0,0,0,0,0,0,2842,6201,11438,15856,16643,15205,14254,13653.0,12278,10408,8403.0,7397.0,9370,8404,8865.0,8601.0
903,12597,US,114597,38.1330555556,-96.1372222222,Census,City,KS,"Madison, Kansas",0,0,0,0,0,0,0,0,0,123,623,683,721,795,1488.0,1198,1212,1105.0,1061.0,1099,845,857.0,701.0
919,11106,US,114819,39.7605555556,-99.1197222222,Census,City,KS,"Agra, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,347,361,408.0,406,354,277.0,294.0,321,322,306.0,267.0
960,23938,US,114680,37.3391666667,-95.2697222222,Census,City,KS,"Parsons, Kansas",0,0,0,0,0,0,0,0,0,4199,6736,7682,12463,16028,14903.0,14294,14750,13929.0,13015.0,12898,11924,11514.0,10500.0
982,19475,US,114898,38.8747222222,-98.7027777778,Census,City,KS,"Bunker Hill, Kansas",0,0,0,0,0,0,0,0,0,135,157,0,242,268,298.0,253,271,200.0,181.0,124,111,101.0,95.0
1006,11059,US,114596,37.9811111111,-96.1625,Census,City,KS,"Hamilton, Kansas",0,0,0,0,0,0,0,0,0,0,206,0,325,398,549.0,519,456,400.0,349.0,363,301,334.0,268.0
1039,22498,US,114585,37.58,-101.3575,Census,City,KS,"Ulysses, Kansas",0,0,0,0,0,0,0,0,0,0,198,0,0,103,1140.0,824,2243,3157.0,3779.0,4653,5474,5960.0,6161.0
1140,9804,US,114826,39.6769444444,-99.4202777778,Census,City,KS,"Speed, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0,111,70,75.0,58.0,41,64,44.0,37.0
1223,12474,US,114787,38.4461111111,-99.6925,Census,City,KS,"Bazine, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.0,465,456,429.0,386.0,385,373,311.0,334.0
1298,19245,US,114900,38.8802777778,-99.0227777778,Census,City,KS,"Gorham, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,375,429.0,379.0,355,284,360.0,334.0
1315,11223,US,114431,39.9161111111,-95.6275,Census,City,KS,"Hamlin, Kansas",0,0,0,0,0,0,0,0,0,135,216,258,208,211,183.0,174,118,99.0,95.0,80,50,53.0,46.0
1331,10738,US,114989,39.8563888889,-97.3027777778,Census,City,KS,"Haddam, Kansas",0,0,0,0,0,0,0,0,0,93,419,355,408,392,381.0,384,375,311.0,289.0,239,195,169.0,104.0
1356,17085,US,114935,38.9066666667,-95.8166666667,Census,City,KS,"Auburn, Kansas",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.0,0,0,0.0,261.0,890,908,1121.0,1227.0
1401,12019,US,115000,37.7094444444,-95.6969444444,Census,City,KS,"Buffalo, Kansas",0,0,0,0,0,0,0,0,0,0,0,299,807,739,799.0,555,437,422.0,321.0,386,293,284.0,232.0
1510,16000,US,95731,39.5933333333,-100.206666667,Census,US County,KS,"Decatur County, Kansas",0,0,0,0,0,0,0,0,0,4180,8414,9234,8976,8121,8866.0,7434,6185,5778.0,4988.0,4509,4021,3472.0,2961.0
1511,11723,US,114573,39.0311111111,-96.7947222222,Census,City,KS,"Grandview Plaza, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,734.0,1189,1233,1184.0,1560.0
1526,12510,US,114491,38.0838888889,-95.6330555556,Census,City,KS,"LeRoy, Kansas",0,0,0,0,0,0,0,222,410,545,893,772,861,815,788.0,751,695,601.0,551.0,701,568,593.0,561.0
1534,14186,US,114441,37.7891666667,-97.1083333333,Census,City,KS,"Benton, Kansas",0,0,0,0,0,0,0,0,0,0,0,0,240,224,253.0,235,269,452.0,517.0,609,669,827.0,880.0
1557,14997,US,114503,37.3869444444,-97.1177777778,Census,City,KS,"Udall, Kansas",0,0,0,0,0,0,0,0,0,85,338,282,330,381,436.0,419,410,600.0,668.0,891,824,794.0,746.0
1586,12761,US,114488,39.3486111111,-97.4533333333,Census,City,KS,"Miltonvale, Kansas",0,0,0,0,0,0,0,0,0,0,591,396,829,821,814.0,800,911,814.0,718.0,588,484,523.0,539.0
