,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
338,16463,US,116422,39.3916666667,-77.6266666667,Census,Town,MD,"Burkittsville, Maryland",0,0,0,0,0,0,0,0,293,280,273,229,228,200,173.0,177,190,208.0,221.0,202,194,171.0,151.0
424,70117,US,43485,39.0041666667,-77.0188888889,Census,Census-designated place,MD,"Silver Spring, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,66348.0,77496.0,72893,76046,76540.0,71452.0
513,26859,US,150527,39.3747222222,-77.1555555556,Census,Town,MD,"Mount Airy, Maryland",0,0,0,0,0,0,0,0,0,91,0,332,428,754,860.0,791,1061,1352.0,1825.0,2450,3730,6425.0,9288.0
541,17357,US,116404,38.5341666667,-76.9733333333,Census,Town,MD,"La Plata, Maryland",0,0,0,0,0,0,0,0,0,0,116,0,269,300,332.0,488,780,1214.0,1561.0,2484,5841,6551.0,8753.0
699,14650,US,116376,38.8838888889,-75.8266666667,Census,Town,MD,"Denton, Maryland",0,0,0,0,0,0,0,0,431,469,641,900,1481,1570,1604.0,1572,1806,1938.0,1561.0,1927,2977,2960.0,4418.0
1012,8944,US,116337,39.3966666667,-76.5241666667,Census,Census-designated place,MD,"Carney, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1523,0.0,0.0,21488,25578,28264.0,29941.0
1038,11502,US,116527,38.9319444444,-76.8616666667,Census,City,MD,"Glenarden, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,492,1336.0,4447.0,4993,5025,6318.0,6000.0
1212,23500,US,116391,39.5766666667,-77.0,Census,City,MD,"Westminster, Maryland",0,0,0,0,0,0,884,0,2310,2507,2908,3199,3295,3521,4463.0,4692,6140,6123.0,7207.0,8808,13068,16731.0,18590.0
1643,18381,US,116508,38.9419444444,-76.9555555556,Census,Town,MD,"Brentwood, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842.0,2433,3523,3693.0,3426.0,3000,3005,2844.0,3046.0
1676,29388,US,116386,39.6616666667,-76.8880555556,Census,Town,MD,"Manchester, Maryland",0,0,0,0,0,0,517,646,755,640,273,609,523,546,643.0,763,1027,1108.0,1466.0,1830,2810,3329.0,4808.0
1753,68842,US,47727,39.4,-76.6,Census,US County,MD,"Baltimore County, Maryland",38937,59030,75780,96201,120870,134379,210646,54135,63387,83336,72909,90755,122349,74817,124565.0,155825,270273,492428.0,621077.0,655615,692134,754292.0,805029.0
2196,11789,US,116595,38.66,-76.0580555556,Census,Town,MD,"Trappe, Maryland",0,0,0,0,0,0,0,305,272,301,261,279,273,236,226.0,296,325,358.0,426.0,739,974,1146.0,1077.0
2579,11259,US,116624,38.4180555556,-75.6877777778,Census,Town,MD,"Hebron, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,651,805.0,804,723,754.0,705.0,714,665,807.0,1084.0
2745,10146,US,116433,39.4847222222,-77.3488888889,Census,Town,MD,"Walkersville, Maryland",0,0,0,0,0,0,0,0,0,160,255,359,582,596,623.0,731,761,1020.0,1269.0,2228,4145,5192.0,5800.0
2785,17826,US,116557,38.9713888889,-76.9433333333,Census,Town,MD,"University Park, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,878,2205,3098.0,2926.0,2536,2243,2318.0,2548.0
2861,7563,US,116634,38.3836111111,-75.1527777778,Census,CDP,MD,"Ocean Pines, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,4251,10496.0,11710.0
2869,8319,US,116344,39.4011111111,-76.7511111111,Census,CDP,MD,"Garrison, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,5045,7969.0,8823.0
2951,54208,US,145050,39.1833333333,-77.2666666667,Census,Census-designated place,MD,"Germantown, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,9721,41145,55419.0,86395.0
3025,37717,US,53261,39.1319444444,-77.2263888889,Census,City,MD,"Gaithersburg, Maryland",0,0,0,0,0,0,0,0,0,0,0,547,625,729,1068.0,1021,1755,3847.0,8344.0,26424,39542,52613.0,59933.0
3054,70514,US,116541,39.0958333333,-76.8597222222,Census,City,MD,"Laurel, Maryland",0,0,0,0,0,0,0,0,1148,1206,1984,2079,2415,2239,2532.0,2823,4482,8503.0,10525.0,12103,19438,19960.0,25115.0
3235,23591,US,116460,39.2194444444,-76.0683333333,Census,Town,MD,"Chestertown, Maryland",0,0,0,0,0,0,0,1539,1871,2359,2632,3008,2735,2537,2809.0,2760,3143,3602.0,3476.0,3300,4005,4746.0,5252.0
3372,7818,US,116551,38.7677777778,-76.8355555556,Census,Census-designated place,MD,"Rosaryville, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,8976,12322.0,10697.0
3528,10447,US,116531,38.8275,-76.7511111111,Census,Unincorporated area,MD,"Greater Upper Marlboro, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,11528,18720.0,0.0
3550,12131,US,408097,38.9333333333,-76.9,Census,Census-designated place,MD,"Landover, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,5597.0,5374,5052,0.0,23078.0
3617,47355,US,45449,,,Census,County,MD,"Frederick County, Maryland",30791,31523,34437,40459,45789,36405,40987,46591,47572,50482,49512,51920,52673,52541,54440.0,57312,62287,71930.0,84927.0,114792,150208,195277.0,233385.0
3643,10581,US,116436,39.4233333333,-79.3255555556,Census,Town,MD,"Deer Park, Maryland",0,0,0,0,0,0,0,0,0,195,179,293,268,247,249.0,329,320,379.0,306.0,486,419,405.0,399.0
3670,18302,US,116546,38.9416666667,-76.9636111111,Census,City,MD,"Mount Rainier, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,1242,2462,3832.0,4830,10989,9855.0,8180.0,7361,7954,8498.0,8080.0
4101,15991,US,116357,39.3791666667,-76.705,Census,Census-designated place,MD,"Pikesville, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,22555,24815,29123.0,30764.0
4105,9505,US,116410,38.5752777778,-75.795,Census,Town,MD,"Brookview, Maryland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,83.0,95.0,78,64,65.0,60.0
