,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
22,14835,US,116167,44.0230555556,-69.8836111111,Census,Town,ME,"Bowdoinham, Maine",455,792,1412,2259,2061,2402,2382,2343,1804,1681,1508,1305,1385,1030,904.0,915,1039,1131.0,1294.0,1828,2192,2612.0,2889.0
127,18374,US,20618199,47.3071861111,-68.2415805556,Census,Town,ME,"Madawaska, Maine",0,0,0,1114,2487,3460,1276,585,1041,1391,1451,1698,1831,1933,3533.0,4477,4900,5507.0,5585.0,5282,4803,4534.0,4035.0
264,13596,US,20617973,47.1647222222,-67.9408333333,Census,Town,ME,"Van Buren, Maine",0,0,0,0,0,0,1050,616,922,1110,1168,1878,3065,4594,4721.0,5380,5094,4679.0,3971.0,3557,3045,2631.0,2171.0
302,9620,US,116150,45.1569444444,-69.0602777778,Census,Town,ME,"Atkinson, Maine",0,0,0,245,418,704,895,897,810,828,605,495,528,456,394.0,312,400,280.0,213.0,306,332,323.0,326.0
351,8195,US,116008,44.6908333333,-68.3347222222,Census,Town,ME,"Waltham, Maine",0,0,0,0,0,231,304,374,366,296,242,192,182,154,135.0,157,154,153.0,167.0,186,276,306.0,353.0
354,14710,US,116026,44.4208333333,-69.6416666667,Census,Town,ME,"Vassalboro, Maine",1253,1188,2063,2434,2761,2952,3099,3181,2919,2621,2052,2062,2107,1815,1936.0,1981,2261,2446.0,2618.0,3410,3679,4047.0,4340.0
481,4205,US,150513,45.0172222222,-70.0030555556,Census,unorganized territory,ME,"Central Somerset, Maine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,216.0,278,289,336.0,338.0
482,16319,US,116203,44.3061111111,-68.9088888889,Census,Town,ME,"Islesboro, Maine",0,0,0,0,674,777,984,1276,1230,1208,1006,923,877,637,697.0,718,529,444.0,421.0,521,579,603.0,566.0
575,9876,US,116224,44.5052777778,-67.6038888889,Census,Town,ME,"Beals, Maine",0,0,0,0,55,0,0,0,0,0,0,0,0,0,524.0,513,590,640.0,663.0,695,667,618.0,508.0
595,14592,US,116014,44.4297222222,-69.5375,Census,Town,ME,"China, Maine",0,587,939,894,2233,2675,2769,2719,2118,1769,1423,1380,1297,1257,1163.0,1252,1375,1561.0,1850.0,2918,3713,4106.0,4328.0
599,16058,US,116086,44.2352777778,-70.505,Census,Town,ME,"Paris, Maine",0,844,1320,1844,2306,2454,2882,2827,2765,2931,3156,3225,3436,3656,3761.0,4094,4358,3601.0,3739.0,4168,4492,4793.0,5183.0
652,7993,US,116163,45.3030555556,-69.3797222222,Census,Town,ME,"Willimantic, Maine",0,0,0,0,0,0,0,0,267,0,446,419,271,196,173.0,188,189,137.0,126.0,164,170,135.0,150.0
655,16296,US,115939,43.7858333333,-69.9575,Census,Town,ME,"Harpswell, Maine",1071,1049,1190,1253,1352,1448,1534,1603,1749,1773,1766,1750,1650,1242,1364.0,1305,1644,2032.0,2552.0,3796,5012,5239.0,4740.0
