,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
61,11885,US,122295,32.1013888889,-90.2944444444,Census,Town,MS,"Terry, Mississippi",0,0,0,0,0,0,0,0,0,198,0,481,473,392,412.0,401,497,585.0,546.0,655,613,664.0,1063.0
91,9353,US,94828,33.77,-89.8,Census,US County,MS,"Grenada County, Mississippi",0,0,0,0,0,0,0,0,10751,12071,14974,14112,15727,13607,16802.0,19052,18830,18409.0,19854.0,21043,21555,23263.0,21906.0
161,11358,US,122259,31.6991666667,-90.3969444444,Census,Town,MS,"Wesson, Mississippi",0,0,0,0,0,0,0,0,464,1707,3168,3279,2024,885,799.0,837,1235,1157.0,1253.0,1313,1510,1693.0,1925.0
220,7819,US,122412,32.1538888889,-90.1219444444,Census,Town,MS,"Florence, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,260,207,272.0,368,313,360.0,404.0,1111,1831,2396.0,4141.0
310,8786,US,124697,34.0686111111,-88.3955555556,Census,Town,MS,"Smithville, Mississippi",0,0,0,0,0,0,0,0,0,0,0,150,179,138,401.0,402,419,489.0,552.0,866,871,882.0,942.0
443,8190,US,122291,32.3308333333,-90.6041666667,Census,Town,MS,"Edwards, Mississippi",0,0,0,0,0,0,0,0,0,0,0,586,589,727,456.0,1110,1002,1206.0,1236.0,1515,1279,1347.0,1034.0
492,11757,US,122282,30.4369444444,-88.8975,Census,City,MS,"D'Iberville, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,6566,7608.0,9486.0
538,8071,US,122235,33.8797222222,-89.1769444444,Census,Town,MS,"Vardaman, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,430,599,627.0,626,686,637.0,777.0,1009,920,1065.0,1316.0
637,6182,US,122325,32.0722222222,-89.2577777778,Census,Town,MS,"Louin, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,523,475,583.0,485,478,389.0,382.0,338,289,339.0,277.0
680,7731,US,122336,32.8302777778,-88.4747222222,Census,Town,MS,"Scooba, Mississippi",0,0,0,0,0,0,0,0,0,0,0,286,322,700,933.0,606,734,513.0,626.0,511,541,632.0,732.0
761,6507,US,124702,34.215,-89.9441666667,Census,Village,MS,"Pope, Mississippi",0,0,0,0,0,0,0,0,0,181,0,172,163,278,190.0,248,246,246.0,210.0,208,171,241.0,215.0
842,23236,US,122377,32.7741666667,-89.1127777778,Census,City,MS,"Philadelphia, Mississippi",0,0,0,0,0,0,0,0,0,101,0,0,1209,1669,2560.0,3711,4472,5017.0,6274.0,6434,6758,7303.0,7477.0
862,7089,US,122471,34.0558333333,-89.9144444444,Census,Town,MS,"Oakland, Mississippi",0,0,0,0,0,0,0,0,0,288,327,209,351,429,428.0,516,551,488.0,493.0,540,553,586.0,527.0
953,11916,US,122284,30.3525,-89.1597222222,Census,City,MS,"Long Beach, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,1026,980,1346.0,1495,2703,4770.0,6170.0,14199,15804,17320.0,14792.0
1011,8406,US,122387,33.3438888889,-89.0466666667,Census,Town,MS,"Sturgis, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0,321,354,477.0,485,402,358.0,321.0,269,198,206.0,254.0
1093,8283,US,124700,32.9802777778,-88.5688888889,Census,Town,MS,"Shuqualak, Mississippi",0,0,0,0,0,0,0,0,0,352,601,600,636,764,810.0,743,714,550.0,591.0,554,570,562.0,501.0
1108,9694,US,122327,31.7111111111,-91.0622222222,Census,City,MS,"Fayette, Mississippi",0,0,0,0,0,0,210,339,120,369,0,604,775,840,848.0,907,1498,1626.0,1725.0,2033,1853,2242.0,1614.0
1262,7249,US,122390,34.4355555556,-89.9166666667,Census,Town,MS,"Sardis, Mississippi",0,0,0,0,0,0,0,0,0,986,1044,1002,1406,1352,1298.0,2022,1913,2098.0,2391.0,2278,2128,2038.0,1703.0
