,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
116,13753,US,123541,47.1933333333,-114.890277778,Census,Town,MT,"Superior, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,626,1242.0,993.0,1054,881,893.0,812.0
392,6863,US,124872,47.1108333333,-104.748055556,Census,Census-designated place,MT,"West Glendive, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1833.0,1948.0
521,10422,US,123568,47.0044444444,-108.351111111,Census,Town,MT,"Winnett, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,316,408.0,399,407,360.0,271.0,207,188,185.0,182.0
752,12812,US,95445,48.79,-105.55,Census,US County,MT,"Daniels County, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553.0,4563,3946,3755.0,3083.0,2835,2266,2017.0,1751.0
1068,11688,US,123643,48.0077777778,-106.450277778,Census,Town,MT,"Fort Peck, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,325,240.0,233.0
1106,13975,US,94412,45.5,-110.52,Census,US County,MT,"Park County, Montana",0,0,0,0,0,0,0,0,0,0,6881,7341,10731,11330,10922.0,11566,11999,13168.0,11197.0,12869,14562,15694.0,15636.0
1112,18841,US,123343,45.1597222222,-109.156388889,Census,Incorporated town,MT,"Bearcreek, Montana",0,0,0,0,0,0,0,0,0,0,0,0,302,744,472.0,324,162,61.0,31.0,61,37,83.0,79.0
1435,11747,US,95446,46.27,-105.58,Census,US County,MT,"Custer County, Montana",0,0,0,0,0,0,0,0,38,2510,5308,7891,14123,12194,11242.0,10422,12661,13227.0,12174.0,13109,11697,11696.0,11699.0
1820,8455,US,123641,48.8833333333,-111.908888889,Census,Town,MT,"Sunburst, Montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.0,709,845,882.0,604.0,476,437,415.0,375.0
1822,16028,US,123589,46.5077777778,-114.093333333,Census,Town,MT,"Stevensville, Montana",0,0,0,0,0,0,0,0,0,47,0,346,796,744,692.0,703,772,784.0,829.0,1207,1221,1553.0,1809.0
