,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
52,30400,US,125031,40.0191666667,-74.5227777778,Census,census-designated place,NJ,Fort Dix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,26290.0,14297,10205,7464.0,7716.0
77,10665,US,125409,40.381014,-74.513355,Census,Census-designated place,NJ,"Dayton, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,4321,6235.0,7063.0
138,44328,US,125229,39.743216,-75.325579,Census,Township,NJ,"Woolwich Township, New Jersey",0,2768,3063,3113,3033,3676,3265,3478,3760,1974,2035,2291,1136,973,1196.0,1193,1343,1235.0,1147.0,1129,1459,3032.0,10200.0
174,46459,US,125165,40.882508,-74.304594,Census,Township,NJ,"Fairfield Township, Essex County, New Jersey",0,0,2235,2020,2004,2184,2377,2688,2727,3167,3638,1619,704,717,989.0,1392,1906,3310.0,6884.0,7987,7615,7063.0,7466.0
219,49964,US,136878,40.817097,-74.085024,Census,Borough,NJ,"East Rutherford, New Jersey",0,0,0,0,0,0,0,0,0,0,1438,2640,4275,5463,7080.0,7268,7438,7769.0,8536.0,7849,7902,8716.0,8913.0
235,9112,US,125770,41.242167,-74.486047,Census,Census-designated place,NJ,"Vernon Valley, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1696,1737.0,1626.0
342,59019,US,125514,40.267,-74.099,Census,Borough,NJ,"Tinton Falls, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3783,7313.0,8395.0,7740,12361,15053.0,17892.0
360,35340,US,125469,40.201391,-74.167839,Census,Borough,NJ,"Farmingdale, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,416,474,629.0,609,755,959.0,1148.0,1348,1462,1587.0,1329.0
391,39190,US,125683,39.450506,-75.457741,Census,Township,NJ,"Lower Alloways Creek Township, New Jersey",0,0,1182,1217,1223,1252,1423,1471,1483,1373,1308,1242,1252,1084,1063.0,1124,1307,1293.0,1400.0,1547,1858,1851.0,1770.0
501,9994,US,124952,39.594668,-74.888626,Census,Census-designated place,NJ,"Collings Lakes, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,2046,1726.0,1706.0
516,97431,US,125712,40.476872,-74.550447,Census,Township,NJ,"Franklin Township, Somerset County, New Jersey",2068,0,2539,3071,3352,3878,3062,3599,3912,3147,2478,2398,2395,2955,5675.0,5912,9601,19858.0,30389.0,31358,42780,50903.0,62300.0
551,85447,US,125454,40.560751,-74.292627,Census,Township,NJ,"Woodbridge Township, New Jersey",3520,0,4247,4226,3969,4821,5141,3987,3717,4099,4665,7631,8948,13423,25266.0,27191,35758,78846.0,98944.0,90074,93086,97203.0,99585.0
594,95057,US,125012,40.918309,-73.950521,Census,Borough,NJ,"Tenafly, New Jersey",0,0,0,0,0,0,0,0,0,1019,1046,1746,2756,3585,5669.0,7413,9651,14264.0,14827.0,13552,13326,13806.0,14488.0
649,44822,US,125123,39.258112,-74.726912,Census,Township,NJ,"Upper Township, New Jersey",0,0,1664,2107,1067,1217,1341,1552,1483,1702,1381,1351,1483,1272,1657.0,1675,1922,2539.0,3413.0,6713,10681,12115.0,12373.0
737,40269,US,125510,40.313433,-74.071686,Census,Township,NJ,"Shrewsbury Township, New Jersey",4673,0,3773,4824,4700,5917,3182,4132,3354,3842,4222,3842,3238,1944,1052.0,1347,1388,1204.0,1164.0,995,1098,1098.0,1141.0
758,42845,US,125032,39.958855,-74.802478,Census,Township,NJ,"Lumberton Township, New Jersey",0,0,0,0,0,0,0,1830,1718,1689,1799,1624,1768,1571,905.0,1007,1325,2833.0,3945.0,5236,6705,10461.0,12559.0
817,75077,US,125175,40.741612,-74.321282,Census,Township,NJ,"Millburn, New Jersey",0,0,0,0,0,0,0,1630,1675,1743,2437,2837,3720,4633,8602.0,11652,14560,18799.0,21089.0,19543,18630,19765.0,20149.0
827,41251,US,125006,40.910694,-74.082895,Census,Township,NJ,"Rochelle Park, New Jersey",0,0,0,0,0,0,0,0,0,1591,1829,1298,1480,2203,1768.0,2511,4483,6119.0,6380.0,5603,5587,5528.0,5530.0
841,48114,US,93449,39.8,-74.96,Census,US County,NJ,"Camden County, New Jersey",0,0,0,0,0,0,25422,34457,46193,62942,87687,107643,142029,190508,252312.0,255727,300743,392035.0,456291.0,471650,502824,508932.0,513657.0
845,10776,US,1305215,40.462445,-74.6744,Census,Census-designated place,NJ,"Belle Mead, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,216.0
904,1945,US,14076977,,,Census,Unknown,NJ,"Harrison Township, Hudson County, New Jersey",0,0,0,0,0,0,1114,2063,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
925,12614,US,125535,40.873494,-74.736828,Census,Census-designated place,NJ,"Budd Lake, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1520.0,3168.0,6523,7272,8100.0,8968.0
937,8783,US,125148,39.47868,-75.13791,Census,Census-designated place,NJ,"Rosenhayn, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,1053,1099.0,1098.0
958,9384,US,125415,40.543794,-74.31292,Census,Census-designated place,NJ,"Fords, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,14392,15032.0,15187.0
1013,11618,US,125491,40.375327,-74.23281,Census,Census-designated place,NJ,"Morganville, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,9841,11255.0,5040.0
1057,44990,US,125048,40.035677,-74.955801,Census,Township,NJ,"Riverside Township, New Jersey",0,0,0,0,0,0,0,0,0,777,1340,2581,4011,6018,7061.0,7072,7199,8474.0,8591.0,7941,7974,7911.0,8079.0
1060,41710,US,125049,40.011932,-75.014735,Census,Borough,NJ,"Riverton, New Jersey",0,0,0,0,0,0,0,0,0,582,1075,1332,1778,2341,2483.0,2354,2761,3324.0,3412.0,3068,2775,2759.0,2779.0
