,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
203,14918,US,93404,35.87,-106.31,Census,US County,NM,"Los Alamos County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10476,13037.0,15198.0,17599,18115,18343.0,17950.0
244,9231,US,125988,36.0183333333,-106.959722222,Census,Village,NM,"Cuba, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,415.0,609,760,590.0,731.0
263,11468,US,93384,34.72,-106.8,Census,US County,NM,"Valencia County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,13320,13795,16186.0,20245,22481,39085.0,40539.0,61115,45235,66152.0,76569.0
621,21304,US,125927,35.5236111111,-108.734166667,Census,City,NM,"Gallup, New Mexico",0,0,0,0,0,0,0,0,0,0,0,2948,2264,3920,5992.0,7041,9133,14089.0,14596.0,18167,19154,20209.0,21678.0
783,14378,US,93391,35.51,-105.98,Census,US County,NM,"Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,14770,15030,19567.0,30826,38153,44970.0,53756.0,75360,98928,129292.0,144170.0
981,17702,US,126033,33.1336111111,-107.252777778,Census,City,NM,"Truth or Consequences, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,455,1336.0,2940,4700,5000.0,4656.0,5219,6221,7289.0,6475.0
1081,12627,US,93388,36.57,-105.63,Census,US County,NM,"Taos County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,12008,12773,14394.0,18528,17146,15934.0,17516.0,19456,23118,29979.0,32937.0
1354,8281,US,125895,32.7594444444,-108.134166667,Census,city,NM,"Bayard, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,764,2119,2327.0,2908.0,3036,2598,2534.0,2328.0
1471,121104,US,51278,35.1108333333,-106.61,Census,City,NM,"Albuquerque, New Mexico",0,0,0,0,0,0,0,0,0,2315,3785,6238,11020,15157,26570.0,35449,96815,201189.0,244501.0,332920,384736,448607.0,545852.0
1765,36896,US,125888,32.4119444444,-104.236388889,Census,City,NM,"Carlsbad, New Mexico",0,0,0,0,0,0,0,0,0,0,0,963,1736,2205,3708.0,7116,17975,25541.0,21297.0,25496,24952,25625.0,26138.0
1964,8183,US,125972,36.7397222222,-108.345,Census,town,NM,"Kirtland, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
1966,11777,US,93386,36.48,-103.47,Census,US County,NM,"Union County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,11404,16680,11036.0,9095,7372,6068.0,4925.0,4725,4124,4174.0,4549.0
2182,16202,US,126038,34.1125,-107.237777778,Census,Village,NM,"Magdalena, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,1867,1371.0,1323,1297,1211.0,652.0,1022,861,913.0,938.0
2253,6285,US,125961,33.8791666667,-103.126388889,Census,Village,NM,"Causey, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,38.0,150.0,81,57,52.0,104.0
2375,23611,US,3553766,35.2861111111,-106.670555556,Census,City,NM,"Rio Rancho, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,9985,32551,51765.0,87521.0
2529,16602,US,93420,35.05,-106.67,Census,US County,NM,"Bernalillo County, New Mexico",0,0,0,0,0,0,7751,8769,7591,17225,20913,28630,23606,29855,45430.0,69391,145673,262199.0,315774.0,419700,480577,556678.0,662564.0
2547,7357,US,125999,35.5533333333,-106.770555556,Census,Village,NM,"San Ysidro, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,182.0,199,233,238.0,193.0
3364,7963,US,125897,32.7755555556,-108.153611111,Census,Village,NM,"Santa Clara, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1944.0,1686.0
