,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
35,18371,US,127063,41.0991666667,-74.1,Census,Village,NY,"Airmont, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,7799.0,8628.0
42,22976,US,126099,42.7247222222,-73.7061111111, USA,City,NY,"Watervliet, New York",0,0,0,0,0,4572,6900,8952,10693,8820,12967,14321,15074,16073,16083.0,16114,15197,13917.0,12404.0,11354,11061,10207.0,10254.0
55,27136,US,259775,42.9061111111,-78.6338888889,Census,Town,NY,"Lancaster, New York",0,0,0,0,0,2083,3794,4659,4336,3944,3962,8757,9663,13172,15260.0,15299,18471,25605.0,30634.0,30144,32181,39019.0,41604.0
89,9871,US,126670,40.8338888889,-73.6952777778,Census,Village,NY,"Baxter Estates, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,760,862,932.0,1026.0,911,961,1006.0,999.0
92,20499,US,126081,42.6,-73.8333333333,Census,Town,NY,"Bethlehem, New York",0,0,4430,5114,6082,3238,4102,5644,6950,3752,4187,4226,4413,4430,7160.0,9782,13065,18936.0,23427.0,24296,27552,31304.0,33656.0
102,11063,US,126172,42.2194444444,-78.8952777778,Census,Town,NY,"Napoli, New York",0,0,0,0,852,1145,1233,1238,1174,1126,962,967,741,636,578.0,570,619,670.0,778.0,886,1102,1159.0,1248.0
109,8621,US,127150,42.6730555556,-74.2061111111,Census,Town,NY,"Wright, New York",0,0,0,0,0,0,1716,1717,1525,1591,1295,1155,963,833,755.0,786,903,910.0,1068.0,1302,1385,1547.0,1539.0
118,11517,US,126231,42.2947222222,-79.2408333333,Census,Town,NY,"Charlotte, New York",0,0,0,0,886,1428,1718,1711,1682,1667,1441,1400,1258,1173,1208.0,1146,1195,1323.0,1400.0,1494,1528,1713.0,1729.0
123,9188,US,259881,42.9008333333,-75.5152777778,Census,Town,NY,"Madison, New York",0,0,0,2420,2544,2344,2405,2457,2402,2474,2316,2024,1926,1629,1515.0,1592,1615,1915.0,2221.0,2314,2774,2801.0,3008.0
149,10729,US,126430,44.4702777778,-73.4777777778,Census,Town,NY,"Chesterfield, New York",0,0,0,667,1671,2716,4171,3179,2795,2752,2548,2362,1829,1538,1599.0,1694,1903,2003.0,2010.0,2398,2267,2409.0,2445.0
160,9589,US,126119,42.0872222222,-78.1561111111,Census,Village,NY,"Richburg, New York",0,0,0,0,0,0,0,0,0,0,374,343,451,351,580.0,564,514,493.0,482.0,494,494,448.0,450.0
167,8342,US,126725,40.6230555556,-73.6969444444,Census,Village,NY,"Hewlett Neck, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.0,252,369,507.0,529.0,472,547,504.0,445.0
184,9215,US,127229,42.5308333333,-77.1875,Census,Town,NY,"Pulteney, New York",0,0,0,1162,1730,1781,1815,1470,1393,1660,1769,1590,1316,1062,983.0,957,1138,1106.0,1167.0,1274,1417,1405.0,1285.0
215,63849,US,53359,,,Census,US County,NY,"Suffolk County, New York",16400,19735,21113,23936,26780,32469,36922,43275,46924,52888,62491,77582,96138,110246,161055.0,197355,276129,666784.0,1124950.0,1284231,1321864,1419369.0,1493350.0
228,9309,US,126443,43.9963888889,-73.7213888889,Census,Town,NY,"North Hudson, New York",0,0,0,0,0,0,561,297,738,693,656,544,434,397,235.0,244,258,220.0,212.0,179,266,266.0,240.0
229,7865,US,127340,41.0202777778,-72.3122222222,Census,Village,NY,"North Haven, New York",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.0,131,153,450.0,694.0,738,713,743.0,833.0
259,13779,US,126245,42.5166666667,-79.15,Census,Town,NY,"Hanover, New York",0,0,0,2217,2614,3998,5144,4254,4037,4221,4616,4747,5601,5977,5993.0,5846,6375,7301.0,7829.0,7876,7380,7638.0,7127.0
318,13532,US,126924,41.442589,-74.013898,Census,Village,NY,"Cornwall-on-Hudson, New York",0,0,0,0,0,0,0,0,0,0,760,1966,2658,1755,1910.0,1978,2211,2785.0,3131.0,3164,3093,3058.0,3018.0
333,21361,US,260091,40.9283333333,-72.6622222222,Census,Town,NY,"Riverhead (town), New York",0,1498,1711,1857,2016,2449,2540,3044,3461,3939,4010,4503,5345,5753,7956.0,8922,9973,14519.0,18909.0,20243,23011,27680.0,33506.0
341,8336,US,127203,44.3336111111,-75.6233333333,Census,Town,NY,"Rossie, New York",0,0,0,869,650,1553,1471,1609,1661,1709,1493,1136,981,866,720.0,706,611,649.0,643.0,842,770,787.0,877.0
345,12509,US,259621,42.4738888889,-73.7922222222,Census,Town,NY,"Coeymans, New York",0,0,3574,2872,2723,3107,3050,3117,3077,2912,3669,3952,4252,4147,4542.0,4536,4713,5622.0,6715.0,7896,8158,8151.0,7418.0
355,8916,US,259914,42.8833333333,-75.25,Census,Town,NY,"Bridgewater, New York",0,1061,1170,1533,1608,1418,1308,1261,1258,1218,1073,931,832,746,730.0,743,806,966.0,1251.0,1455,1591,1671.0,1522.0
