,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
15,7109,US,130480,36.2938888889,-96.4177777778,Census,Town,OK,"Osage, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,757,627.0,628,425,220.0,170.0,243,163,188.0,156.0
25,15330,US,92085,35.04,-96.26,Census,US County,OK,"Hughes County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,24040,26045,30334.0,29189,20664,15144.0,13228.0,14338,13023,14154.0,14003.0
39,10203,US,130079,35.4136111111,-97.9105555556,Census,Town,OK,"Union City, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,301,329.0,300.0,558,1000,1375.0,1645.0
59,7667,US,130313,34.8969444444,-94.9813888889,Census,Town,OK,"Le Flore, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,175.0,322,119,168.0,190.0
145,13889,US,92041,36.747206,-95.980597,Census,US County,OK,"Washington County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,17484,27002,27777.0,30559,32880,42347.0,42277.0,48113,48066,48996.0,50976.0
162,7507,US,18419323,34.6958333333,-99.2288888889,Census,Unknown,OK,"Friendship, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,24.0
197,41914,US,92043,36.12,-95.94,Census,US County,OK,"Tulsa County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,34995,109023,187574.0,193363,251686,346038.0,401663.0,470593,503341,563299.0,603403.0
205,18512,US,92114,35.88,-98.43,Census,US County,OK,"Blaine County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,10658,17960,15875,20452.0,18543,15049,12077.0,11794.0,13443,11470,11976.0,11943.0
227,10241,US,130138,36.5441666667,-95.2205555556,Census,Town,OK,"Big Cabin, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0,270,210,228.0,198.0,252,271,293.0,265.0
231,6522,US,130510,36.1877777778,-96.4911111111,Census,Town,OK,"Terlton, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.0,245,122,90.0,111.0,155,121,1146.0,106.0
335,11287,US,130105,34.0283333333,-95.87,Census,Town,OK,"Boswell, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,828,1212,934.0,962,875,753.0,755.0,702,643,703.0,709.0
369,16006,US,130034,36.8136111111,-100.524166667,Census,Town,OK,"Beaver, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,112,326,920,1028.0,1166,1495,2087.0,1853.0,1939,1584,1570.0,1515.0
395,15993,US,130041,35.2988888889,-99.6366666667,Census,City,OK,"Sayre, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,1881,1703,3157.0,3037,3362,2913.0,2712.0,3177,2881,4114.0,4375.0
413,10461,US,130577,34.9591666667,-96.7527777778,Census,City,OK,"Konawa, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,701,896,2070.0,2205,2707,1555.0,1719.0,1711,1508,1479.0,1298.0
512,11583,US,130471,35.7986111111,-95.9961111111,Census,Town,OK,"Winchester, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,150,301,424.0,516.0
574,8255,US,130482,36.2497222222,-96.2675,Census,Town,OK,"Prue, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,271.0,554,346,433.0,465.0
576,6995,US,130130,34.62,-98.751,Census,Town,OK,"Indiahoma, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,188,195,288.0,337,319,378.0,434.0,364,337,374.0,344.0
585,11215,US,150945,35.6708333333,-97.7519444444,Census,City,OK,"Piedmont, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,255,213,148.0,151,120,146.0,269.0,2016,2522,3650.0,5720.0
720,24803,US,92109,35.91,-95.0,Census,US County,OK,"Cherokee County, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,0,16778,19872,17470.0,21030,18989,17762.0,23174.0,30684,34049,42521.0,46987.0
740,20207,US,130491,36.8836111111,-94.8761111111,Census,City,OK,"Miami, Oklahoma",0,0,0,0,0,0,0,0,0,0,0,1527,2907,6802,8064.0,8345,11801,12869.0,13880.0,14237,13142,13704.0,13570.0
