,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
21,13571,US,131022,45.2936111111,-123.1775,Census,City,OR,"Carlton, Oregon",0,0,0,0,0,0,0,0,0,243,0,145,386,552,749.0,864,1081,959.0,1126.0,1302,1289,1514.0,2007.0
72,11566,US,130966,45.4833333333,-118.830833333,Census,City,OR,"Pilot Rock, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,197,361,275.0,358,847,1695.0,1612.0,1630,1478,1533.0,1502.0
190,18126,US,130905,45.0688888889,-122.796944444,Census,City,OR,"Mt. Angel, Oregon",0,0,0,0,0,0,0,0,0,0,0,537,545,986,979.0,1032,1315,1428.0,1973.0,2876,2778,3121.0,3286.0
254,13345,US,130770,44.82,-119.420833333,Census,City,OR,"Monument, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,119,147,97.0,118,228,214.0,161.0,192,162,151.0,128.0
286,15968,US,92003,44.63,-123.09,Census,US County,OR,"Linn County, Oregon",0,0,0,0,0,0,994,6772,8717,12676,16265,18603,22662,24550,24700.0,30485,54317,58867.0,71914.0,89465,91227,103069.0,116672.0
316,10774,US,130821,44.5247222222,-121.212222222,Census,City,OR,"Culver, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0,301,301.0,407.0,514,570,802.0,1357.0
346,13929,US,130989,45.4533333333,-121.127222222,Census,City,OR,"Dufur, Oregon",0,0,0,0,0,0,0,0,0,0,0,336,523,533,382.0,392,422,488.0,493.0,560,527,588.0,604.0
366,9669,US,24325307,42.61,-122.815833333,Census,City,OR,"Shady Cove, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1097,1351,2307.0,2904.0
409,26822,US,130723,43.4063888889,-124.224166667,Census,City,OR,"North Bend, Oregon",0,0,0,0,0,0,0,0,0,84,0,0,2078,3268,4012.0,4602,6099,7512.0,8553.0,9779,9614,9544.0,9695.0
454,12379,US,130985,45.5713888889,-117.531944444,Census,City,OR,"Wallowa, Oregon",0,0,0,0,0,0,0,0,0,0,0,243,793,894,749.0,838,1055,989.0,811.0,847,748,869.0,808.0
596,13446,US,130963,45.9363888889,-118.390833333,Census,City,OR,"Milton-Freewater, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4110.0,4105.0,5086,5533,6470.0,7050.0
657,12293,US,130686,44.5405555556,-123.362777778,Census,City,OR,"Philomath, Oregon",0,0,0,0,0,0,0,0,0,224,0,343,505,591,694.0,856,1289,1359.0,1688.0,2673,2983,4056.0,4584.0
674,18079,US,130761,45.715,-120.199722222,Census,City,OR,"Arlington, Oregon",0,0,0,0,0,0,0,0,0,0,356,388,317,529,601.0,609,686,643.0,375.0,521,425,524.0,586.0
736,17171,US,130831,42.575,-121.864166667,Census,City,OR,"Chiloquin, Oregon",0,0,0,0,0,0,0,0,0,150,0,0,0,160,481.0,741,688,945.0,826.0,778,673,716.0,734.0
897,16058,US,130764,44.3908333333,-118.948888889,Census,City,OR,"Canyon City, Oregon",0,0,0,0,0,0,0,0,250,393,304,345,364,354,268.0,312,508,654.0,600.0,639,648,669.0,703.0
986,21890,US,91993,,,Census,US County,OR,"Wallowa County, Oregon",0,0,0,0,0,0,0,0,0,0,3661,5538,8364,9778,7814.0,7623,7264,7102.0,6247.0,7273,6911,7226.0,7008.0
1021,12449,US,130722,43.0647222222,-124.138888889,Census,City,OR,"Myrtle Point, Oregon",0,0,0,0,0,0,0,0,0,52,354,530,836,934,1362.0,1296,2033,2886.0,2511.0,2859,2712,2514.0,2451.0
1281,13926,US,130877,43.7397222222,-117.070833333,Census,City,OR,"Adrian, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,162,131,147.0,177.0
1443,15361,US,130724,42.8833333333,-124.073055556,Census,City,OR,"Powers, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,160,0.0,0,895,1366.0,842.0,819,682,734.0,689.0
1513,15631,US,130833,42.0127777778,-121.408611111,Census,City,OR,"Malin, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,110,215.0,535,592,568.0,486.0,539,725,638.0,805.0
1547,19142,US,130914,45.3561111111,-119.552777778,Census,City,OR,"Heppner, Oregon",0,0,0,0,0,0,0,0,0,318,675,1146,880,1324,1190.0,1140,1648,1661.0,1429.0,1498,1412,1395.0,1291.0
1629,10229,US,130850,43.9213888889,-122.782222222,Census,City,OR,"Lowell, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,503.0,567.0,661,785,857.0,1045.0
1810,13514,US,130916,45.8958333333,-119.492777778,Census,City,OR,"Irrigon, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,125,115,65.0,0,75,232.0,261.0,700,737,1702.0,1826.0
2596,17036,US,130680,44.7461111111,-118.199166667,Census,City,OR,"Sumpter, Oregon",0,0,0,0,0,0,0,0,0,261,91,2216,643,219,154.0,420,146,96.0,120.0,133,119,171.0,204.0
2706,31428,US,130754,43.2180555556,-123.356111111,Census,City,OR,"Roseburg, Oregon",0,0,0,0,0,0,0,835,600,822,1472,1690,4738,4258,4362.0,4924,8390,11467.0,14461.0,16644,17032,20017.0,21181.0
2739,20361,US,130859,44.6,-124.05,Census,City,OR,"Newport, Oregon",0,0,0,0,0,0,0,0,0,52,121,256,721,980,1530.0,2019,3241,5344.0,5188.0,7519,8437,9532.0,9989.0
2754,25343,US,92004,44.64,-123.91,Census,US County,OR,"Lincoln County, Oregon",0,0,0,0,0,0,0,0,0,0,0,3575,5587,6084,9903.0,14549,21308,24635.0,25755.0,35264,38889,44479.0,46034.0
2767,31209,US,130789,45.7066666667,-121.521666667,Census,City,OR,"Hood River, Oregon",0,0,0,0,0,0,0,0,0,200,201,766,2331,3195,2757.0,3280,3701,3657.0,3991.0,4329,4632,5831.0,7167.0
2853,11990,US,130972,45.8141666667,-118.424444444,Census,City,OR,"Weston, Oregon",0,0,0,0,0,0,0,0,0,446,568,626,499,595,384.0,498,679,783.0,660.0,719,606,717.0,667.0
3145,37321,US,48966,,,Census,US County,OR,"Washington County, Oregon",0,0,0,0,0,0,2652,2801,4261,7082,11972,14467,21522,26376,30275.0,39194,61269,92237.0,157920.0,245808,311554,445342.0,529710.0
