,article_length,country,id,lat,lon,poptype,settlement_type,state,title,y1790,y1800,y1810,y1820,y1830,y1840,y1850,y1860,y1870,y1880,y1890,y1900,y1910,y1920,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
3,26293,US,134376,34.5144444444,-82.6488888889,Census,City,SC,"Anderson, South Carolina",0,0,0,0,0,0,0,625,1432,1850,3018,5498,9654,10570,14383.0,19424,19770,41316.0,27556.0,27546,26184,25514.0,26686.0
32,7157,US,134675,34.9511111111,-82.0986111111,Census,City,SC,"Wellford, South Carolina",0,0,0,0,0,0,0,0,0,302,0,346,370,180,400.0,454,721,1040.0,1298.0,2143,2511,2030.0,2378.0
49,11650,US,91884,32.78,-81.14,Census,US County,SC,"Hampton County, South Carolina",0,0,0,0,0,0,0,0,0,18741,20544,23738,25126,19550,17243.0,17465,18027,17425.0,15878.0,18159,18191,21386.0,21090.0
222,6934,US,134559,34.3530555556,-82.0580555556,Census,Town,SC,"Waterloo, South Carolina",0,0,0,0,0,0,0,0,0,0,291,189,191,209,204.0,150,162,148.0,112.0,200,122,203.0,166.0
269,7003,US,134569,33.7655555556,-81.2463888889,Census,Town,SC,"Pelion, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,184,200.0,212,196,233.0,216.0,213,336,553.0,674.0
494,10078,US,134589,33.9136111111,-82.2891666667,Census,Town,SC,"McCormick, South Carolina",0,0,0,0,0,0,0,0,0,0,0,237,613,1284,1304.0,1456,1744,1998.0,1864.0,1725,1659,1489.0,2783.0
532,7232,US,134439,34.8055555556,-81.2405555556,Census,Town,SC,"Lowrys, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,343,194,208.0,315,368,298.0,260.0,225,200,207.0,200.0
701,8581,US,134367,33.4213888889,-81.6808333333,Census,City,SC,"New Ellenton, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2309.0,2546.0,2628,2515,2250.0,2052.0
759,6449,US,134705,33.7297222222,-79.5127777778,Census,Town,SC,"Stuckey, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,199.0,193.0,222,311,263.0,245.0
796,7012,US,134697,34.8355555556,-81.6816666667,Census,City,SC,"Jonesville, South Carolina",0,0,0,0,0,0,0,0,0,266,286,508,969,1209,1153.0,1182,1345,1439.0,1447.0,1201,1205,982.0,911.0
884,11120,US,91860,34.01,-81.73,Census,US County,SC,"Saluda County, South Carolina",0,0,0,0,0,0,0,0,0,0,0,18966,20943,22088,18148.0,17192,15924,14554.0,14528.0,16150,16357,19181.0,19875.0
998,14097,US,134434,34.7055555556,-81.2116666667,Census,City,SC,"Chester, South Carolina",0,0,0,0,0,0,0,0,0,1899,2703,4075,4754,5557,5528.0,6392,6893,6906.0,7045.0,6820,7158,6476.0,5607.0
1066,6349,US,134562,34.0605555556,-80.0772222222,Census,Town,SC,"Lynchburg, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,466,506,512.0,382,506,544.0,546.0,534,475,588.0,373.0
1072,7024,US,134570,33.9108333333,-81.1075,Census,Town,SC,"Pine Ridge, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,329.0,633.0,1287,1731,1593.0,2064.0
1125,14193,US,134718,34.9947222222,-81.2394444444,Census,City,SC,"York, South Carolina",0,0,0,0,0,0,0,1360,0,1330,1553,2012,2326,2731,2827.0,3495,4181,4758.0,5081.0,6412,6709,6985.0,7736.0
1135,15337,US,91859,34.93,-81.99,Census,US County,SC,"Spartanburg County, South Carolina",8800,12122,14259,16989,21150,23669,26400,26919,25784,40409,55385,65560,83465,94265,116323.0,127733,150349,156830.0,173724.0,201861,226800,253791.0,284307.0
1289,17657,US,91898,34.69,-81.16,Census,US County,SC,"Chester County, South Carolina",6866,8185,11479,14189,17182,17747,18038,18122,18805,24153,26660,28616,29425,33389,31803.0,32579,32597,30888.0,29811.0,30148,32170,34068.0,33140.0
1535,18585,US,91909,33.55,-81.64,Census,US County,SC,"Aiken County, South Carolina",0,0,0,0,0,0,0,0,0,28112,31822,39032,41849,45574,47403.0,49916,53137,81038.0,91023.0,105625,120940,142552.0,160099.0
1561,13866,US,134407,32.3833333333,-80.6955555556,Census,Town,SC,"Port Royal, South Carolina",0,0,0,0,0,0,0,0,0,170,524,601,363,383,353.0,342,793,686.0,2865.0,2977,2985,3950.0,10678.0
1694,23424,US,91857,34.69,-81.62,Census,US County,SC,"Union County, South Carolina",7693,10237,10995,14126,17906,18936,19852,19635,19248,24080,25363,25501,29911,30372,30920.0,31360,31334,30015.0,29230.0,30751,30337,29881.0,28961.0
1716,5990,US,134655,33.8577777778,-81.7322222222,Census,Town,SC,"Ward, South Carolina",0,0,0,0,0,0,0,0,0,0,161,135,183,234,233.0,204,122,162.0,150.0,98,132,110.0,91.0
1837,8381,US,134391,33.0958333333,-81.0133333333,Census,Town,SC,"Ehrhardt, South Carolina",0,0,0,0,0,0,0,0,0,0,0,215,315,495,432.0,407,510,482.0,478.0,353,442,614.0,545.0
1906,10292,US,134428,32.5822222222,-80.1633333333,Census,Town,SC,"Seabrook Island, South Carolina",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0.0,0,0,0.0,0.0,0,948,1250.0,1714.0
1948,8500,US,134657,35.1152777778,-82.1497222222,Census,Town,SC,"Campobello, South Carolina",0,0,0,0,0,0,0,0,0,99,137,203,255,309,340.0,389,394,420.0,530.0,472,465,449.0,502.0
2167,8035,US,134467,33.2116666667,-80.4483333333,Census,Town,SC,"Harleyville, South Carolina",0,0,0,0,0,0,0,0,0,0,0,248,295,353,371.0,381,483,561.0,704.0,606,633,594.0,677.0
2299,11159,US,151029,35.1483333333,-81.8619444444,Census,City,SC,"Chesnee, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,600,764.0,827,1051,1045.0,1069.0,1069,1280,1003.0,868.0
2319,7936,US,134415,33.5575,-80.7152777778,Census,Town,SC,"Cameron, South Carolina",0,0,0,0,0,0,0,0,0,0,0,320,421,524,620.0,624,630,607.0,476.0,536,504,449.0,424.0
2323,8282,US,134410,33.3066666667,-79.9577777778,Census,Town,SC,"Bonneau, South Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,493,408,402.0,365.0,401,374,354.0,487.0
2777,7573,US,134654,34.0030555556,-81.7716666667,Census,Town,SC,"Saluda, South Carolina",0,0,0,0,0,0,0,0,0,0,0,289,610,1203,1381.0,1516,1594,2089.0,2442.0,2752,2798,3066.0,3565.0
